#Selfie, The Chainsmokers
Overdone, Bombay Bicycle Club
Overrated, Tim McGraw
Oxygen, Thousand Foot Krutch
Oysters, Tori Amos
Pain Killer, Little Big Town
Pain Pills, Angaleena Presley
Painkiller, Three Days Grace
PAINKILLR, Erika Jayne
Paint the Town Green, The Script
Palace, Wild Beasts
Pale Aura, Periphery
Palisades Park, Counting Crows
Pallasades, Superfood
Panama City, Lee Brice
Panic Tree, Jimi Goodwin
Paper, Nick & Knight
Paperwork, T.I.
Parade, The Antlers
Paradise, Magic!
Paradise, Big Sean
Paradise Is You, La Roux
Parakeet, Damon Albarn
Parallel, Heffron Drive
Paralytic States, Against Me!
Paralyzed, In Flames
Paralyzed, Angels & Airwaves
Parties at the Disco, Asher Roth
Party Ain't a Party, Jamie Foxx
Party Drugs, Jessica Lea Mayfield
Party In The Penthouse, Jake Miller
Party Like You, The Cadillac Three
Passing Out Pieces, Mac DeMarco
Past Lives, Real Estate
Past Perfect, Wild Beasts
Pattern Walks, Cloud Nothings
Pauline Hawkins, Drive-By Truckers
Pay Attention, Big K.R.I.T.
Pay For Cool, Childhood
Pay For It, Jay Rock
Payback, Rascal Flatts
Peace, O.A.R.
Peaceful Harbor, Flying Colors
Pedicure, Courtney Barnett
Pendulum, Anastacia
Pendulum, FKA Twigs
People Loving People, Garth Brooks
Perfect Storm, Brad Paisley
Perfect World, Broken Bells
Persistent, New Found Glory
Personal, Jessie J
Peter, Jamie T.
Petit Valley, A$ap Ferg
Photograph, Ed Sheeran
Photographs (You Are Taking Now), Damon Albarn
Piano Cycle, David Nelson
Pick Me Up, Mary J. Blige
Pick Up a Gun, Ray LaMontagne
Pieces, Jessie Ware
Pills N Potions, Nicki Minaj
Pins And Needles, Nonpoint
Pissed Hot for Weed, The Meatmen
Pizza And Pinball, Rumer
Planetary Motion, Stephen Malkmus & the Jicks
Platinum, Miranda Lambert
Platoon, Jungle
Play, Katy B
Play Ball, AC/DC
Play Your Guitar, Rumer
Playing Dumb, Tom Petty & the Heartbreakers
Playland, Johnny Marr
Pocketful of Golden, Robert Plant
Poor Paul Getty, The Ghost of a Saber Tooth Tiger
Portal, Lights
"Portland, Maine", Tim McGraw
Post to Be, Omarion
Power, Alicia Keys
Power to the People, Basement Jaxx
Pray for Peace, Reba McEntire
Pray For You, The Swon Brothers
Pray To God, Calvin Harris
Prayer For The Road, Eli Young Band
Prayer In C, Lilly Wood & the Prick
Preface, FKA Twigs
Pregnant Pause, Wild Beasts
Prescription/Oxymoron, ScHoolboy Q
Pretend, Tinashe
Pretty Girls, Dierks Bentley
Pretty Girls, Little Dragon
Pretty When You Cry, Lana Del Rey
PretzelBodyLogic, Prince
Prince Johnny, St. Vincent
Priscilla, Miranda Lambert
PrizeFighter, Trisha Yearwood
Problem, Ariana Grande
Promise, Tori Amos
Promises, Wiz Khalifa
Promises, Jhené Aiko
Proper Moist, Dapper Laughs
Prototypical, Stine Bramsen
Prove It To You, Kris Allen
Psychic Trauma, Cloud Nothings
Public Service Announcement, Of Mice & Men
Pull Me Back, Leah Turner
Pulses, Karmin
Pumpin' Blood, NONONO
Puppet, Karmin
Pure Stuff, Jessica Lea Mayfield
Purple Meadows, Kyle Dion
Push It, Delta Spirit
Push The Button, Amy Lee
Pusher, Alt-J
Pushing, Andy Grammer
Pushing On, Oliver $ & Jimi Jules
Put My Heart Down, Sara Evans
Put Some South in Your Mouth, DEC3
Pyre, Nothing More
Que Sera, Justice Crew
Queens, Idles
Quit Breaking Up With Me, Little Big Town
Qwerty, Mushroomhead
Rabbit, Amy LaVere
Rage the Night Away, Steve Aoki
Ragga Bomb, Skrillex
Raging Fire, Phillip Phillips
Rain From Heaven, Eric Paslay
Rainbow, Robert Plant
Raised by Wolves, U2
Raising Alabama, Alabama
Rapt, Karen O
Rari Workout, Lethal Bizzle
Rather Be, Clean Bandit
Rattlesnake, St. Vincent
Reach For the Night, Jack Bruce
Reach Out, Rumer
Ready For Your Love, Gorgon City
Ready To Run, One Direction
Real, Years & Years
Real Girls Eat Cake, The Janoskians
Real Life (Angel), Elbow
Real Love, Clean Bandit
Real Love, Tom Odell
Really Be (Smokin N Drinkin), YG
Really Love, D'Angelo
Rebellion, Linkin Park
Recess, Skrillex
Reckless Jane, Beverley Martyn
Red Dress, Lucy Hale
Red Eye, Vance Joy
Red Eye, Andy Grammer
Red Hypergiant, Architects
Red Light Queen, Rev Theory
Red Line, DEC3
Red River, Tom Petty & the Heartbreakers
Redeemer of Souls, Judas Priest
Refuge, The Antlers
Remember Me, Augustana
Remember Me, Black Stone Cherry
Remind You, Andy Grammer
Reminds Me of You, Sam Smith
Rent I Pay, Spoon
Repelish, Mogwai
Reservoir, Metronomy
Resonance, LuvBug
Restart, Sam Smith
Resurrection, New Found Glory
Retreat!, Sharon Jones & The Dap-Kings
Reverse, SomeKindaWonderful
Rewind, Rascal Flatts
Rhythm Of Life, Klaxons
Ribcage, Mary Lambert
Rich, Kirko Bangz
Rich Is Gangsta, Rick Ross
Riding To New York, Passenger
Right Here, Jess Glynne
Right Now, Mary J. Blige
Rimbaud Eyes, Dum Dum Girls
Ring Off, Beyoncé
Ring The Bell, Pixies
Riot, Rascal Flatts
Rise, Trip Lee
Rise Like a Phoenix, Conchita Wurst
Rise Up, Saliva
Riser, Dierks Bentley
River Bank, Brad Paisley
Rivers In Your Mouth, Ben Howard
Road Between, Lucy Hale
Road Less Traveled, Sick of It All
Robots Never Lie, Mat Zo
Rock and Roll Shoes, Johnny Cash
Rock or Bust, AC/DC
Rock Star, Future
Rock the Blues Away, AC/DC
Rock the House, AC/DC
Rockstar, A Great Big World
Rodeo and Juliet, Garth Brooks
Roll of Honour, The Irish Brigade
Roller Coaster Ride, Eric Church
Rollercoaster, Bleachers
Rollin' And Tumblin', The Gaslight Anthem
Rolling Stone, Passenger
Ron O'Neal, Wu-Tang Clan
Room To Breathe, You Me at Six
Roots Reggae Music, Rebelution
Rose Dover, Tori Amos
Roses, Kaiser Chiefs
Ruckus in B Minor, Wu-Tang Clan
Rude, Magic!
Rum, Brothers Osborne
Rumble, Kelis
Run, Marsha Ambrosius
Run, Nicole Scherzinger
Run Away With You, Big & Rich
Run Wild, For King & Country
Run2me, Smashing Pumpkins
Runaway, Ed Sheeran
Runaway (U& I) , Galantis
Runaway Daydreamer, Sophie Ellis-Bextor
Runaways, Betty Who
Running With The Boys, Lights
Rusted Nail, In Flames
Sad Girl, Lana Del Rey
Sad Machine, Porter Robinson
Saint Claude, Christine and the Queens
"Saints, Sinners and Greats", Miss May I
Salad Days, Mac DeMarco
Salt The Wound, Exodus
Saltwater Heart, Switchfoot
Same Damn Life, Seether
Same Girl, Jennifer Lopez
Same Kind Of Different, Lee Ann Womack
Sanctified, Rick Ross
Sangre por Sangre (Blood for Blood) , Hellyeah
Sangria, Blake Shelton
Santa Tell Me, Ariana Grande
Sarcastrophe, Slipknot
Satellite Flight, Kid Cudi
Saturday's a Celebration, Big K.R.I.T.
Savages, Breathe Carolina
Savages, Theory Of A Deadman
Save It for a Rainy Day, Kenny Chesney
Save Today, Seether
Save Your Sin, Little Big Town
Say Goodbye, Beck
Say I Won't, Lecrae
Say It Like You Mean It, Switchfoot
Say When, Hellyeah
Say Yes, Michelle Williams
Say You Do, Dierks Bentley
Say You Love Me, Jessie Ware
Sayit, Röyksopp and Robyn
Scare Away The Dark, Passenger
Scarecrow, Alex & Sierra
Scars, Boyce Avenue
Scattegories, Stephen Malkmus & the Jicks
Scream, The Everyday Losers
Scream (Funk My Life Up), Paolo Nutini
Screen Shot, Swans
Sea of Voices, Porter Robinson
Seasons, Olly Murs
Seasons (Waiting On You), Future Islands
Second Guessing, Alesana
Second Sound, Druckfarben
Secrets, Mary Lambert
See Me Now, The Kooks
See That Boy Again, Mary J. Blige
See What You're Doing to Me, Ryan Hobler
Seen It All, Jeezy
Seen You, Example
Seeya, Deadmau5
Selfies, Nina Nesbitt
Send 'Em on Down the Road, Garth Brooks
Senile, Young Money
Sensitive Guy, McBusted
Seongah and Jimmy, Neil Diamond
September, Sweet & Lynch
Set Me Free, Dillon Francis
Set Me On Fire, Flyleaf
Set That Baggage Down, David Crosby
Seven High, Damon Albarn
Severed Crossed Fingers, St. Vincent
Sex, Lenny Kravitz
Sex Metal Barbie, In This Moment
Sex Playlist, Omarion
Sexercize, Kylie Minogue
Sexotheque, La Roux
Sexual Hallucination, In This Moment
Sexy Love, Kylie Minogue
Shades Of Cool, Lana Del Rey
Shadow, Austin Mahone
Shadow People, Tom Petty & the Heartbreakers
Shadows, Ryan Adams
Shake, MercyMe
Shake It Off, Taylor Swift
Shaking Heads, Foxes
Shatter Me, Lindsey Stirling
Shattered Glass, Brad Paisley
Shattered God, Black Veil Brides
She Came Along, Ryan Hobler
She Came to Give It to You, Usher
She Don't Love You, Eric Paslay
She Got the Best of Me, Luke Combs
She Is, Lady A
She Keeps Me Up, Nickelback
She Knows, Ne-Yo
She Looks So Perfect, 5 Seconds of Summer
She Rules, Kate Nash
She Took Him To The Lake, Mallory Knox
She Twerkin, Ca$h Out
She Used To Love Me A Lot, Johnny Cash
She Wants a Cowboy, Dustin Lynch
She's Fine, Jerrod Niemann
She's Got Me Runnin' Round, Nickelback
She's Not Me, Jenny Lewis
She's The One, Ray LaMontagne
Sheezus, Lily Allen
Shell Shocked," Juicy J, Wiz Khalifa, Ty Dolla $ign"
Shining Now, Rachel Holder
Shirtsleeves, Ed Sheeran
Sho Me Love, Juvenile
Shooting Helicopters, Benny Benassi
Short Movie, Laura Marling
Shorty Don't Wait, A Great Big World
Shot Me Down, David Guetta
Shotgun Rider, Tim McGraw
Shotgun Wedding, Jamie Lynn Spears
Shoulders, For King & Country
Shout At The Moon, Mallory Knox
Shout It Out, Red Dragon Cartel
Show Me A Miracle, Klaxons
Show Me Love, Hundred Waters
Show You, Shawn Mendes
Show You Off, Dan + Shay
Show You Off, Jason Aldean
Shower, Becky G
Shut Me Up, Lindsay Ell
Shut The Catflap, Baskery
Shut Up And Dance, Walk the Moon
Sick Like Me, In This Moment
Sierra, Maddie & Tae
Silent Partner, La Roux
Silver and Gold, Little Big Town
Silver Snail, Pixies
Silver Spoon, Lily Allen
Simple and Sure, The Pains of Being Pure at Heart
Simple Mess, DEC3
Simplethings, Miguel
Sing, Ed Sheeran
Sinner, Andy Grammer
Sip It Slow, Colt Ford
Sippin' On Fire, Florida Georgia Line
Siren Charms, In Flames
Sirens, Cher Lloyd
Sirens, Lee Brice
Six Six Six, Say Anything
Skeptic, Slipknot
Skydive, O-Town
Slave To The Rhythm, Michael Jackson
Sledgehammer, Fifth Harmony
Sleep Like A Baby Tonight, U2
Sleep Sound, Jamie xx
Sleeping With a Friend, Neon Trees
Sleepless, Cazzette
Slipping Away, Switchfoot
Slow, Leonard Cohen
Slowburn, Howling Bells
Small Things, Ben Howard
Small Town Throwdown, Brantley Gilbert
SmartPhones, Trey Songz
Smiler with Knife, Morrissey
Smiling, Black Lips
Smoke, 50 Cent
Smoke When I Drink, Kelleigh Bannen
Smokin' and Drinkin', Miranda Lambert
Snakebite, Judas Priest
Snakes, Pixies
Sneaky, Trey Songz
Snow In Vegas, David Gray
So Be It, Lisa Stansfield
So Divine..., Tesla
So Far Away, Mary Lambert
So Good, Jennifer Lopez
"So Long, See You Tomorrow", Bombay Bicycle Club
So Now What, The Shins
So Now You Know, The Horrors
So Others May Live, Atreyu
So Unfair, Korn
So What, Avi Buffalo
Sober, Childish Gambino
Sober & Sorry, Kayla Adams
Soldier of Fortune, Bryan Ferry
Solemn Skies, Childhood
Solo, California Breed
Solo Dancing, Indiana
Some Things We Do, Swans
Somebody There, Robert Plant
Somebody To You, The Vamps
Someone New, Hozier
Somethin' Bad, Miranda Lambert
Something Big, Shawn Mendes
Something Different, Godsmack
Something From Nothing, Foo Fighters
Something Good, Estelle
Something I Need, Ben Haenow
Something in the Water, Carrie Underwood
Something New, Axwell and Ingrosso
Something Wicked This Way Comes, Lucinda Williams
Sometimes, Black Stone Cherry
Somewhere Else, Lydia Loveless
Somewhere Tonight, James Otto
Son, Warpaint
Song About A Girl, Eric Paslay
Song for My Father, Sarah McLachlan
Song For Someone, U2
Songs On 12 Play, Chris Brown
Songs That Said It All, The Swon Brothers
Sorry Momma, YG
Sound Of A Woman, Kiesza
Sounded Good at the Time, Lady A
Sounds of Summer, Dierks Bentley
South Alabam Christmas, Jamey Johnson
Southsiders, Atmosphere
Sovereign Over Us, Michael W. Smith
Space Enough To Grow , Of Mice & Men
Space Invader, Ace Frehley
Spaces, One Direction
Spark, Amber Run
Spark The Fire, Gwen Stefani
Sparrows Will Sing, Marianne Faithfull
Speak Out Reach Out, Johnny Marr
Speakers, Sam Hunt
Speech Coma, Blood Red Shoes
Spend All My Time, Marsha Ambrosius
Spinners, The Hold Steady
Spit Three Times, Neneh Cherry
Spooks, Jonny Greenwood
Spotless Mind, Jhené Aiko
SPS, Kasabian
Squeeze Me, N.E.R.D
Staircase at the University, Morrissey
Stars, Sixx: A.M.
Stars, Cheryl Cole
Starship, Ace Frehley
Start A Fire, Passenger
Start a Fire, Lil Wayne
Stay, No Devotion
Stay a Little Longer, Brothers Osborne
Stay Gold, First Aid Kit
Stay Vicious, The Gaslight Anthem
Stay With Me, Sam Smith
Stayin Out All Night, Wiz Khalifa
Steal Me Away, Olivia Lane
Steal My Girl, One Direction
Steeple, Down
Stereotype, Chris Brown
Stevie, Kasabian
Still, Katy B
Still Madly Crazy, Robin Thicke
Stirring, Flying Lotus
Stockholm Syndrome, One Direction
Stoner, Young Thug
Stop Drop + Roll , Dan + Shay
Storm, Soundgarden
Storyline, Hunter Hayes
Straight for the Knife, Sia
Strange Weather, Anna Calvi
Stranger, Skrillex
Stranger, The New Basement Tapes
Stranger to My Happiness, Sharon Jones & The Dap-Kings
Stray Paper, The Gaslight Anthem
Stronger, Clean Bandit
Stronger Than Ever, Raleigh Ritchie
Strut, Lenny Kravitz
Stubborn, New Found Glory
Stuck on a Feeling, Prince Royce
Studio, ScHoolboy Q
Stupid Little Things, Anastacia
Style, Taylor Swift
Subterranean, Foo Fighters
Sucker, Charli XCX
Sue (Or In A Season Of Crime), David Bowie
Suffering, The War on Drugs
Sugah Daddy, D'Angelo
Sugar, Maroon 5
Sugar on the Side, Blondie
Suit and Tie, Ryan Hobler
Summer, Calvin Harris
Summer Dem, Basement Jaxx
Sun Daze, Florida Georgia Line
Sun Goes Down, David Guetta
Sun Structures, Temples
Sunbathing Animal, Parquet Courts
Sunlight, The Magician
Sunny Disposition, Neil Diamond
Sunshine, DEC3
Sunshine & Whiskey, Frankie Ballard
Superheroes, The Script
Supernatural, Mariah Carey
Supernova, Ray LaMontagne
Surfboard, Cody Simpson
Surrender, Cash Cash
Surrender, The Antlers
Surround You, Echosmith
Sweet Albion Blues, Frank Turner
Sweet Amarillo, Old Crow Medicine Show
Sweet Disarray, Dan Croll
Sweet Little Somethin', Jason Aldean
Sweet Spot, Wild Beasts
Sweet Talker, Jessie J
Sweet Tea, California Breed
Sweet Victory, Trip Lee
Swimmin' Time, Shovels & Rope
Sword of Damocles, Judas Priest
Sydney, Robin Gibb
Symphony of the Night, DragonForce
System on Loud, Stalley
Systematic, Arkells
T.I.N.A., Fuse ODG
Tacky, Weird Al Yankovic
Tacoma, Garth Brooks
Taiga, Zola Jesus
Take It Back, Ed Sheeran
Take It On Back, Chase Bryant
Take Kare, Rich Gang
Take Me, Paloma Faith
Take Me As I Am, Example
Take Me To Church, Sinéad O'Connor
Take My Place, Lily Allen
Take Out The Gunman, Chevelle
Take U There, Jack U
Take Your Time, Sam Hunt
Talkin' Hawkin', Pink Floyd
Talking Body, Tove Lo
Talking In Tones, The Charlatans UK
Talladega, Eric Church
Tally Ho!, Wishbone Ash
Tarpeian Rock, Protomartyr
Taste It, Little Boots
Tattoo, Hunter Hayes
Tatu Bom de Bola, Arlindo Cruz
Teach Me, Bakermat
Teacher, Nick Jonas
Tear The Roof Up, Alesso
Teenager In Love, Neon Trees
Telemiscommunications, Imogen Heap
Telephone Banking, Clean Bandit
Tell Her, Rizzle Kicks
Tell Her You Love Her, Echosmith
Tell Me If You Wanna Go Home, Keira Knightley
Tell Me Something Good, North 40
Tell Me Why, Rich Gang
Tell The World, Eric Hutchinson
Temporary Ground, Jack White
Temporary Nature (Of Any Precious Thing), Lucinda Williams
Ten Feet Tall, Afrojack
Ten Tonne Skeleton, Royal Blood
Tenerife Sea, Ed Sheeran
Tennessee, Johnny Cash
Terracotta Warrior, Jimi Goodwin
Testify, August Alsina
Texas, Natalie Merchant
Text Me in the Morning , Neon Trees
Text Me Merry Christmas, Straight No Chaser
Thank God (Interlude), YG
Thank You, Jennifer Nettles
Thanks For Listening, Colt Ford
Thanks for the Line, The Birds of Satan 
That Black Bat Licorice, Jack White
That Don't Sound Like You, Lee Brice
That Kind of Town, Big & Rich
That's Christmas to Me, Pentatonix
The Angel and the Fool, Broken Bells
The Art Of Love, Neil Diamond
The Back Of My Mind, Boggy Creek
The Back Roads and the Back Row, Cole Swindell
The Bells! The Bells!!, LostAlone
The Best That Money Can Buy, Simon Felice
The Big Revival, Kenny Chesney
The Black Market, Rise Against
The Blanket of Night, Elbow
The Body Electric, Hurray for the Riff Raff
The British Are Coming, Weezer
The Bullfighter Dies, Morrissey
The Burden of Being Wonderful, Steel Panther
The Changing Lights, Broken Bells
The Charade, D'Angelo
The Closer I Get To You, Asia
The Crying Game, Nicki Minaj
The Damned, Chevelle
The Days, Avicii
The Dealer, Stevie Nicks
The Devil In I, Slipknot
The Devil Is a Lonely Night, The Pierces
The Devil Is Near, Architects
The Distant Blue, Architects
The Dreamers, Klaxons
The Drop, Lethal Bizzle
The Energy Never Dies, The Script
The Feast and The Famine, Foo Fighters
The Fighter , In This Moment
The First Time, Ella Henderson
The Flood, The Lyre Ensemble
The Gallows, Simon Felice
The Game, Kelly Rowland
The Game, DragonForce
The Gig That Matters, Amy Ray
The Gospel of John Hurt, Alt-J
The Great Die-Off, Rise Against
The Greatest Bastard, Damien Rice
The Hanging Tree, Jennifer Lawrence
The Hardest Part, Nina Nesbitt
The Haunting Idle, The War on Drugs
The Healing, Joshua Scott Jones
The Heart, Needtobreathe
The Heart Of A Graveyard, Demon Hunter
The Heart Wants What It Wants, Selena Gomez
The High Life, Colt Ford
The History of a Cheating Heart, Damon Albarn
The Key, Breach
The Langdon House, Issues
The Last Garrison, Enter Shikari
The Last Goodbye, Billy Boyd
The Last One Alive, Demon Hunter
The Levels, Ben Watt
The Long Way Around, Jackson Browne
The Long Way Home, Rosanne Cash
The Love You're Given, Jack Garratt
The Man, Ed Sheeran
The Mechanic, Rascal Flatts
The Mechanism, Disclosure
The Miracle (of Joey Ramone), U2
The Moon Song, Karen O
The Morgue, Loudon Wainwright III
The Most Immaculate Haircut, Metronomy
The Motherload, Mastodon
The Negative One, Slipknot
The Neighborhood, Common
The Next Jet to Leave Moscow, Manic Street Preachers
The Night Is Still Young, Nicki Minaj
The Nights, Avicii
The One Moment , OK Go
The One That Kills The Least, Slipknot
The One That Really Matters, Michael W. Smith
The One Thing, Shakira
The Only Reason, 5 Seconds of Summer
The Only Way Out , Bush
The Opposite of Me, Robin Thicke
The Other Woman, Lana Del Rey
The Outcome, Nina Nesbitt
The Part of Him, Drive-By Truckers
The Pictures of Sasha Grey, Kristeen Young
The Pressure, Jhené Aiko
The Prophet, Jamie T.
The Protest, Flying Lotus
The Quantum Enigma (Kingdom Of Heaven Part II), Epica
The Remains of Rock and Roll, Broken Bells
The Remedy, Mallory Knox
The Return, Nonpoint
The Runaway, The Word Alive
The Sadness of Graves, Islander
The Secret, David Nail
The Selfish Giant, Damon Albarn
The Silent Orchestra, Hamilton Leithauser
The Skeleton Getdown, Tuatara
The Soul of All Natural Things, Linda Perhacs
The Soundmaker, Rodrigo y Gabriela
The Stocking Song, Steel Panther
The Stranger, Stars
The Summer Jam, Periphery
The Sunken Lands, Rosanne Cash
The Take Off and Landing of Everything, Elbow
The Trap, Johnny Marr
The Troubles, U2
The Truth, Ledisi
The Unholy, Slash
The Upsetter, Metronomy
The View from Stow Hill, Manic Street Preachers
The Voice of My Doctor, Sinéad O'Connor
The Voyager, Jenny Lewis
The Wall, Bruce Springsteen
The Wall, Willie Nelson
The War, Josh Record
The Way, California Breed
The Way, Macy Gray
The Way I'm Livin', Lee Ann Womack
The Way That I Live, Ed Harcourt
The Way Things Go, Thomas Rhett
The Weight, Shawn Mendes
The Whisperer, David Guetta
The Wish, Sweet & Lynch
The Wolfpack, Angels & Airwaves
The Wolves Die Young, Sonata Arctica
The World You Want, Switchfoot
The Writing's on the Wall, OK Go
Therapy, Mary J. Blige
There Goes My Baby, Enrique Iglesias
There Is an Answer, A Great Big World
There Is No Other Time, Klaxons
There Is Only You, The Xcerts
There Must Be More To Life Than This, Queen and Michael Jackson
These Days, Take That
These Things Happen, G-Eazy
They Don't Love You No More, DJ Khaled
They Want My Soul, Spoon
Thicket, Phillip Phillips
Thinking Out Loud, Ed Sheeran
Third Eye, Big K.R.I.T.
Thirsty, Mariah Carey
This Angel, Jennifer Nettles
This Blue World, Elbow
This Could Be Us, Prince
This Is Heavy Metal, Nina Persson
This Is Not a Game, The Chemical Brothers
This Is the Time (Ballast), Nothing More
This Is Where You Can Reach Me Now, U2
This Is Your Sword, Bruce Springsteen
This Love, Taylor Swift
This One's for Me and You, Johnny Gill
This One's for You, Jennifer Nettles
This Side of Heaven, The Swon Brothers
This Tension, Johnny Marr
Thread, Flyleaf
Three Hammers, DragonForce
Three Hearts, Alex Clare
Three Women, Jack White
Thrive, Casting Crowns
Through Oblivion, In Flames
Throw Sum Mo, Rae Sremmurd
Throwback, Cheryl Cole
Thug Cry, Rick Ross
Thug Cry, Tinashe
TICTACTOE, Prince
Tidal Wave, Karmin
Til Everyone Can See, Mike Einziger
Til He's Dead or Rising, Drive-By Truckers
Til It's Gone, Kenny Chesney
Til That Day, Tesla
Till the End, Logic
Time, Jungle
Time Has Come, Bayside
Time Machine, Ingrid Michaelson
Time Of Our Lives, Pitbull
Timebomb, Tove Lo
Tin Soldier, Winger
Tis A Pity She Was A Whore, David Bowie
Title, Meghan Trainor
To Be Alone, Hozier
To Love and Die, Jhené Aiko
Tomorrow's Kings, DragonForce
Tonight, KJ-52
Tonight, Fozzy
Tonight (We Live Forever), Union J
Tonight Looks Good On You, Jason Aldean
Too Bad I Have to Destroy You Now, Kid Cudi
Too Fast, Jason Aldean
Too Little Too Late, Robin Thicke
Too Much You for Me, Jason Aldean
Too Wild, Afrojack
Too Young To Feel This Old, You Me at Six
Top of the World, Mike Posner
Toreador, Band of Skulls
Touch, Shift K3Y
"Touchin, Lovin", Trey Songz
Tough Love, Jessie Ware
Town Called Ugley, Ward Thomas
Trailer Hitch, Kristian Bush
Trainwreck 1979, Death From Above 1979
Traitor, Flyleaf
Transcendence, Steve Aoki
Transgender Dysphoria Blues, Against Me!
Transitive Property, Bayside
Trap Queen, Fetty Wap
Tread Lightly, Mastodon
Treading Water, SOJA
Treat, Kasabian
Trembling, About a Mile
Tremors, SOHN
Tribal, Imelda May
Trini Dem Girls, Nicki Minaj
Tropical Chancer, La Roux
Troubeaux, Jennifer Lopez
Trouble, Gloriana
Trouble, TV on the Radio
Trouble, Iggy Azalea
Trouble with My Baby, Paloma Faith
Trouble's Lament, Tori Amos
True Colors, Wiz Khalifa
True Love, Coldplay
True Trans Soul Rebel, Against Me!
Truffle Butter, Nicki Minaj
Trust, Christina Perri
Try, Colbie Caillat
Try, Dolly Parton
Try Harder Than That, Meghan Linsey
Try Me, Dej Loaf
Tryin' To Love Me, Jason Aldean
Tsunami (Jump), DVBBS & Borgeous
Tuesday, IloveMakonnen
Tumble and Fall, Little Big Town
Tunnels, Angels & Airwaves
Turn Blue, The Black Keys
Turn It Up, Josh Thompson
Turn It Up, Robert Plant
Turn on the Light, Jamie T.
Turn The Lights On, Little Big Town
Turning It Inside Out, Phil Selway
Turning To Stone, Godsmack
Twisted, 50 Cent
Twisted, Stevie Nicks
Two Coffins, Against Me!
Two for One Special, Rachele Lynae
Two Night Town, Jason Aldean
Two Rings Shy, Miranda Lambert
Two Weeks, FKA Twigs
U, Austin Mahone
U Get Me High, Tom Petty & the Heartbreakers
U Guessed It, OG Maco
U Know, Prince
Ugly Heart, G.R.L.
"Ulay, Oh", How I Became the Bomb
Ultraviolence, Lana Del Rey
Unapologetic Bitch, Madonna
Unconditional Love, Against Me!
Under Pressure, Logic
Underneath The Ground, The Gaslight Anthem
Unmissable, Gorgon City
Unrepentant Geraldines, Tori Amos
Up, Olly Murs
Up Again, Clean Bandit
Up We Go, Lights
Upside Down & Inside Out, OK Go
Uptight Downtown, La Roux
Uptown Funk, Mark Ronson
UR, The Madden Brothers
URL Badman, Lily Allen
Us Again, Chuck Wicks
Valkyrie, Asia
Vegas, Bad Meets Evil
Vertigo, Mini Mansions
Vicious Love, New Found Glory
Victims Of Contingency, Epica
Vida, Ricky Martin
Video Girl, FKA Twigs
Video Model, Young Money
Vigil, Tim Wheeler
Virgins, Death From Above 1979
Voices in My Head, SBTRKT
Volcano, U2
Vow of Silence, Matisyahu
W.A.Y.S., Jhené Aiko
W.R.O.H, Ab-Soul
Wait On Me, Rixton
Waiting for My Time to Come, Colony House
Waiting Game, Banks
Waitress Song, First Aid Kit
Wake Me Up, Gareth Malone's All Star Choir
Waking Light, Beck
Waking The Fallen: Resurrected, Avenged Sevenfold
Walk, Kwabs
Walk It Out, Jennifer Hudson
Walk Me to the Bridge, Manic Street Preachers
Walk On, Lucinda Williams
Walk This Way, Mø
Walk With Me, Richie Kotzen
Walking With Elephants, Ten Walls
Wallace, Azealia Banks
Waltz Me to the Grave, Kimbra
Wanderlust, Wild Beasts
Wanna Be A Gangsta, Body Count
Want and Able, Jack White
Want Some More, Nicki Minaj
Wanted Me Gone, Josh Thompson
War, Common
War On the East Coast, The New Pornographers
War Ready, Rick Ross
Warm Foothills, Alt-J
Warm Winds, SZA
Warriors, Papa Roach
Wasted, Red Dragon Cartel
Wasted, Old 97's
Wasted, Tiesto
Wasted Love, Steve Angello
Wasted Love, Matt McAndrew
Wasteland, Needtobreathe
Wastelands, Linkin Park
Water Fountain, tUnE-yArDs
Waterfall, Chris Tomlin
Wave, Beck
Way We Are, Kove
We All Die Trying To Get It Right, Vance Joy
We Alright, Young Money
We Are Done, The Madden Brothers
We Are Here, Alicia Keys
We Are Impossible, Dillon Francis
We Are Not Alone, Basement Jaxx
We Are One (Ole Ola) , Pitbull
We Dem Boyz, Wiz Khalifa
We Get Along, Sharon Jones & The Dap-Kings
We Like the Zoo ('Cause We're Animals Too), Walter Martin
We're All Friends, DEC3
We've Seen Birds, Smoke Fairies
Weapon, Bastille
Weapons, Hudson Taylor
Weatherman, Tori Amos
Wedding Day, Tori Amos
Weight of Love, The Black Keys
Weighted, FrnkIero And The Cellabration
Welcome To America, Lecrae
Welcome to New York, Taylor Swift
Welcome To The Jungle, Neon Jungle
West Coast, Lana Del Rey
Wet Dreamz, J. Cole
What Are You Holding On To?, Arkells
What Are You Waiting For, The Saturdays
What Are You Waiting For?, Nickelback
What Can I Do, SecondCity
What Did I Do?/God As My Witness, Foo Fighters
What God Wants For Christmas , Darius Rucker
What Happened To Your Band, McBusted
What I Can't Put Down, Jon Pardi
What I Did for Love, David Guetta
What I'm Not, Demon Hunter
What is Love?, Janelle Monáe
What You Wanna Hear, Dustin Lynch
What's Broken, David Crosby
What's Next , Godsmack
When Are We Waking Up?, Mallory Knox
When I Get My Hands On You, The New Basement Tapes
When It Was Ours, Paul Heaton & Jacqui Abbott
When The Beat Drops Out, Marlon Roudette
When the Master Calls the Roll, Rosanne Cash
When They're Gone (Lyle County), David Nail
