#1 Fan, Plies
The Wind Blows, The All-American Rejects
The Winner's Song, Geraldine McQueen
The World Should Revolve Around Me, Little Jackie
Therapy, T-Pain
There Was A Time, Guns N' Roses
There Will Be a Day , Jeremy Camp
There's a War Tonight, Los Lonely Boys
There's Gold In Them Hills, The Black Crowes
There's No One As Irish As Barack Obama, The Corrigan Brothers
Theremin, The Aliens
These Four Walls, Miley Cyrus
These Stones Will Shout, The Raconteurs
They Say, Scars on Broadway
Things Ain't Like They Used to Be, The Black Keys
Thinking of You, Katy Perry
Thinking Out Loud, Lesley Roy
This Afternoon, Nickelback
This Ain't Sex, Usher
This Cold Black, Slipknot
This End of the Telescope, Jakob Dylan
This Is A Fix , The Automatic
This Is A Test, Attack! Attack!
This Is An Emergency, The Pigeon Detectives
This is Exile, Whitechapel
This is Home, Switchfoot
This Is Me, Demi Lovato
This Is Me You're Talking To, Trisha Yearwood
This Is Not The World, The Futureheads
This Town, O.A.R.
Those Days, Matt York
Thou Shalt Always Kill, dan le sac Vs Scroobius Pip
Thought I Knew, Weezer
Threads, Portishead
Through My Veins, Richard Marx
Tie My Hands, Lil Wayne
Tiffany Blews, Fall Out Boy
Tiger Mountain Peasant Song, Fleet Foxes
Til the Last Shot's Fired, Trace Adkins
Time That It Would Take , Toby Keith
Time to Shine, Queen & Paul Rodgers
Tired of England, Dirty Pretty Things
To A Little Radio / (Words Flew) Right Around The World, Chumbawamba
To America, Joan as Police Woman
To Be Where There's Life, Oasis
To Be With You, David Archuleta
To Be with You, Sara Groves
To Die Like Mouchette, Funeral for a Friend
To Know That You're Alive, Kutless
To Survive, Joan as Police Woman
Today's Lesson, Nick Cave & the Bad Seeds
Toe Jam, Brighton Port Authority
Toes, Zac Brown Band
Told You So, Jesse McCartney
Tomato in the Rain, Kaiser Chiefs
Tonight, Jonas Brothers
Too Bad Son, Attack! Attack!
"Too Bright to See, Too Loud to Hear", Underoath
Too Drunk..., Buckcherry
Too Late, Foreigner
Torn Between Scylla And Charybdis, Trivium
Touch My Body, Mariah Carey
Touch My Hand, David Archuleta
Touchdown, Delays
Touching the Void, Soulfly
Toy Packaging, Sara Groves
Traci Brown, Hanson
Trading Places, Usher
Traffic Light, The Ting Tings
Train, 3 Doors Down
Tried By Twelve, Daniel May
Trojan Horse, Bloc Party
Tron, Foals
Troublemaker, Weezer
Troublemaker, Akon
True As The Night, The Vines
Trust, Keyshia Cole
Turn My Swag On, Soulja Boy
Turnin' Me On, Keri Hilson
Turning the Gun On Myself, Teddy Thompson
Twelve Days Of Christmas, Straight No Chaser
Twilight of the Thunder God, Amon Amarth
Two Become One, Jewel
Two Daughters And A Beautiful Wife, Drive-By Truckers
Two Halves, My Morning Jacket
Two Magpies, The Fireman
Two Silver Trees, Calexico
U Want Me 2, Sarah McLachlan
Unbeautiful, Lesley Roy
Undead, Hollywood Undead
Underneath, Alanis Morissette
Underneath the Concrete, Secret Machines
Undisputed, Ludacris
Universal Mind Control, Common
Unleash, Soulfly
Until The Day Is Done, R.E.M.
Up, The Saturdays
Up All Night, The Young Knives
Up All Night, Hinder
Up All Night, Take That
Uptown, Primal Scream
Ur So Gay, Katy Perry
Us Against the World, Christina Milian
Use Me, Hinder
Use Somebody, Kings of Leon
Vacation, Jeezy
Valium Skies, The Verve
Valle Místico (Ruben's Song), Conor Oberst
Valley of the Low Sun, Jakob Dylan
Vegetable Car, Joshua Radin
Vendetta, Slipknot
Vengeance is Mine, Alice Cooper
Venus in Overdrive, Rick Springfield
Veronika, Tricky
Very Last Country Song, Sugarland
Via Dolorosa, Sandi Patti
Victor Jara's Hands, Calexico
Video Girl, Jonas Brothers
Violet Hill, Coldplay
Viva La Vida, Coldplay
Voices, Madonna
Voices, Chris Young
Voodoo, Queen & Paul Rodgers
w.a.m.s., Fall Out Boy
Waffle House, Colt Ford
Wait and See, Brandon Heath
Wait For Me, Theory Of A Deadman
Waiting for the Bus to Take Me Home, Chumbawamba
Waiting for the Rapture, Oasis
Wake the Dead, Alice Cooper
Waking The Demon, Bullet For My Valentine
Waking Up In Vegas, Katy Perry
Walcott, Vampire Weekend
Walk Believer Walk, The Black Crowes
Walk On, Billy Currington
Walking On A Dream, Empire of the Sun
Wang Dang Doodle, Randy Jackson
Wannabe in LA , Eagles of Death Metal
"Want It, Need It", Plies
War Machine, AC/DC
War Song, O.A.R.
Warm It Up (with Love), Brandy
Warm This Winter, Gabriella Cilmi
Warwick Avenue, Duffy
Watch Out, Alex Gaudino
Waterfront Dance Club, Funeral for a Friend
Waving Flags, Sea Power
We Are Rockstars," Does It Offend You, Yeah?"
We Are The Involuntary, Underoath
We Are The People, Feeder
We Are The People, Empire of the Sun
We Break the Dawn, Michelle Williams
We Carry On, Portishead
We Cry, The Script
We Don't Care , Akon
We Fight/We Love, Q-Tip
We Give You Praise , Delirious?
We Gon' Fight, Jennifer Hudson
We Made It, Busta Rhymes
We Run, Sugarland
We Started Nothing, The Ting Tings
We Walk, The Ting Tings
We Wanna Party, Girls Aloud
We Who See The Deep, The Black Crowes
We're So Starving, Panic! At The Disco
Wearing My Rolex, Wiley
Weather To Fly, Elbow
Weight of the World, Lemar
Welcome to Heartbreak, Kanye West
Welcome to the Dollhouse, Danity Kane
Welcome to the World, Kevin Rudolf
Welcome to Thr33 Ringz Intro, T-Pain
"Well, Well, Well", Lucinda Williams
West Coast Smoker, Fall Out Boy
"What a Catch, Donnie", Fall Out Boy
What a World, Common
What I'd Give, Sugarland
What If, Simple Plan
What Them Girls Like, Ludacris
What Took You So Long, The Courteeners
"What Up, What's Haapnin'", T.I.
What You Got, Colby O'Donis
What You Thought You Need, Jack Johnson
What's It Gonna Be, Platnum
What's the Matter, Ne-Yo
What's Your Problem, The Zutons
Whatcha Think About That, The Pussycat Dolls
Whatever, Gnarls Barkley
Whatever Is Wrong With You (Is So Right For Me), Marillion
Whatever It Is, Zac Brown Band
Whatever You Like, T.I.
Wheels, AC/DC
When Angels and Serpents Dance, P.O.D.
When I, Ciara
When I Grow Up, The Pussycat Dolls
When I Needed You, Supergrass
When It Hurts, Avant
When It's Good, Marc Broussard
When the Day Met the Night, Panic! At The Disco
When The Night, Annie
Where Did It Go Wrong?, Sharleen Spiteri
Where Does Love Come From?, Tim O'Brien
Where is your God?, Amon Amarth
Where Were You , Jackson Browne
Where'er Ye Go, Paul Weller
Wherein Lies Continue, Slipknot
While I Still Got the Time, Darius Rucker
Whirring, The Joy Formidable
Whisky and Green Tea, Supergrass
White Diamonds, Friendly Fires
White Horse, Taylor Swift
White is in the Winter Night, Enya
White Trash Circus, Mötley Crüe
White Trash Toodle oo, Cherry Poppin' Daddies
White Winter Hymnal, Fleet Foxes
Who Am I?, Aruba Red
Who's Gonna Save My Soul, Gnarls Barkley
Whoa Mule, The Black Crowes
Why Don't You Love Me, Beyoncé
Why Me?, Ice Cube
Why Walk When You Can Run, Paul Weller
Why We Sing, Dionne Warwick
"Wild, Wild, Wild", Lyfe Jennings
Wilde About Boys, Jonathan King
Will I Ever, Lyfe Jennings
Will You Marry Me, Lenny Kravitz
Williams' Blood, Grace Jones
Wire to Wire, Razorlight
Wired For Light, School of Seven Bells
Wish You Would, Ludacris
Without You, The Feeling
Without You, Hinder
Without You, Empire of the Sun
Wobble, V.I.C.
Woman, Raheem DeVaughn
Womanizer, Britney Spears
Won't Go Away, The Feeling
Wonder, Delirious?
Word Bomber, Chumbawamba
Word Play, Jeezy
Working on a Dream, Bruce Springsteen
Wounded Bird, The Black Crowes
Wrestlers, Hot Chip
Writer's Minor Holiday, Calexico
Yes, Coldplay
Yes We Can, will.i.am
Yes We Can, Boy George
Yesterday's Gone, Hal Ketchum
"Yesterday, Today & Probably Tomorrow", The Courteeners
You Ain't Got Nuthin, Lil Wayne
You Ain't Missin' Nothin', T.I.
You Already Love Me , Toby Keith
You And Me, Attack! Attack!
You Belong With Me, Taylor Swift
You Can Do Better Than Me, Death Cab for Cutie
You Can't Count On Me, Counting Crows
You Can't Fail Me Now, Loudon Wainwright III
You Can't See the Forest for the Wolves, Funeral for a Friend
You Complete Me, Keyshia Cole
You Could Make The Four Walls Cry, The Zutons
You Cross My Path, The Charlatans UK
You Didn't Have a Good Time, Randy Travis
You Don't Know A Thing, Steve Azar
You Don't Know Me, Ben Folds
You Don't See Me, Keane
You Found Me, The Fray
You Haven't Told Me Anything, Keane
You Let Me Down, Sharleen Spiteri
You Make It Real, James Morrison
You Next To Me, Jason Michael Carroll
You So Tough, G-Unit
You Want History, Kaiser Chiefs
You Will Make It , Jem
You'll Find A Way , Santigold
You're Everything, Bun B
"You're Gonna Go Far, Kid", The Offspring
You're My Sunday, Jessica Simpson
You're Not Sorry, Taylor Swift
You've Got the Love I Need, Al Green
Your Call, Secondhand Serenade
Your Love Is a Lie, Simple Plan
Your New Twin Sized Bed, Death Cab for Cutie
Your Turn, Lauren Harris
Youthless, Beck
Zephyrus, Bloc Party
