#29 Strafford Apts, Bon Iver
Truth, Gwen Stefani
Truth In Your Eyes, Kiefer Sutherland
Truthfully, DNCE
Try Everything, Shakira
Turn Off The Radio, A Day to Remember
Twice, Catfish and the Bottlemen
Twin Thing, Pixie Geldof
Twist, Nathan Sykes
Two, Heart
"Two Birds, One Stone", Drake
Two Dead Cops, Parquet Courts
Two Vines, Empire of the Sun
Two Way, KT Tunstall
U with Me? , Drake
Uber Everywhere, Madeintyo
Ugly Lights, Miranda Lambert
Ultralight Beam, Kanye West
Unbreakable, Chrisette Michele
Under You, Nick Jonas
Underage, Jordan Rager
Undertow, Lisa Hannigan
Undone, Bonnie Raitt
Unintended Consequence of Love, Bonnie Raitt
Universal Death Squad , Epica
Unsettled, Justin Rutledge
Unstoppable, Sia
Until The Day, Killswitch Engage
untitled 01 | 08.19.2014, Kendrick Lamar
untitled 02 | 06.23.2014, Kendrick Lamar
untitled 03 | 05.28.2013 , Kendrick Lamar
untitled 04 | 08.14.2014, Kendrick Lamar
untitled 05 l 09.21.2014 , Kendrick Lamar
untitled 06 | 06.30.2014, Kendrick Lamar
untitled 07 | 2014-2016, Kendrick Lamar
untitled 08 | 09.06.2014., Kendrick Lamar
Up All Night, Charlie Puth
Use My Heart, Miranda Lambert
Used, Strangers You Know
Used to This, Future
Valleys Of The Young , Andrew Bird
Vaporize, Amos Lee
Versace on the Floor , Bruno Mars
Version Of Me, Melanie C
Vexatious, Candlebox
Vice, Lisbon
Vice, Miranda Lambert
Victorious, Wolfmother
Views, Drake
Ville Mentality, J. Cole
Violescent, Gone Is Gone
Voldemort, With Confidence
Voodoo, Nick Jonas
Voodoo In My Blood, Massive Attack
Vowels, Capital Cities
Vroom Vroom, Charli XCX
Vulture, Iggy Pop
VW Van, Jake Owen
Wait a Minute, Phresher
Waiting for the Thunder, Blackberry Smoke
Wake Up, Fetty Wap
Wake Up The Sun, Edward Sharpe & the Magnetic Zeros
Walkway Blues, M83
Wanna Know, Dave
War, Sum 41
War Pain, Meek Mill
War Zone, T.I.
Warmth, Bastille
Warning Call, Chvrches
Warpaint, Beach Slang
Waste A Moment , Kings of Leon
Wasted Time, Keith Urban
Wasteland, Against The Current
Wasteland, Jonathan Jackson + Enation
"Wat U Mean (Aye, Aye, Aye) ", Dae Dae
Watch Me Do, Meghan Trainor
Water, Ra Ra Riot
Water, Anna Atkinson
Water Rising, Katy B
Waves, Kanye West
Waving Goodbye, Sia
Way Back Home, Jennifer Nettles
Way We Won't, Grandaddy
Ways I Can't Tell, Crystal Fighters
We Carry On, Killswitch Engage
We Don't Talk Anymore, Charlie Puth
We Gon Ride, Dreezy
We Got This, A Day to Remember
We Never Met, Donovan Woods
We Should Be Friends, Miranda Lambert
We the People...., A Tribe Called Quest
We Turn Red, Red Hot Chili Peppers
We Will Not Go Quietly , Sixx: A.M.
Weaker Girl, Banks
Weathered, Jack Garratt
Welcome to Earth (Pollywog), Sturgill Simpson
Welcome To The Show , Adam Lambert
Welcome to Your Life, Grouplove
Weston Road Flows, Drake
What a Beautiful Name, Hillsong Worship
What Comes Naturally, Blackberry Smoke
What I'm Trying To Tell You , Suede
What If It Was Me , Tech N9ne
What Ifs, Kane Brown
What It Means, Drive-By Truckers
What Makes You Happy, Izzy Bizu
What the Hell Did I Say, Dierks Bentley
What You Really Mean , Violent Femmes
What You Talking About?, Peter Bjorn and John
What You Want , Tenth Avenue North
What You're Doin' to Me, Bonnie Raitt
Whelk Then, Deadmau5
When Children Cry, Lucifer's Friend
When Christmas Comes Around, Matt Terry
When I Met You , David Bowie
When in Disgrace With Fortune and Men's Eyes (Sonnet 29), Rufus Wainwright
When In Love, Savages
When It Rain, Danny Brown
When The Bassline Drops, Craig David
When the Sun Don't Shine, Drive-By Truckers
When We Were Lovers, Jack Savoretti
When We Were Young, Passenger
When We Were Young, Anna Atkinson
When Will I Return?, Swans
When You Are Young, Suede
When You Love Someone, Jake Owen
When You Love Someone, James TW
When You're Gone, Lucifer's Friend
Where Are You Now? , Royal Blood
Where Do We Go, Lindsey Stirling
Where I Am, Jake Owen
Where The Light Gets In, Primal Scream
Where the Light Shines Through, Switchfoot
Wherever I Go, OneRepublic
While He's Still Around, Florida Georgia Line
Whirling Eye, The Kills
Whiskey, Joey Landreth
Whistleblower, Dan Mangan
White Bird, The Coral
White Ferrari, Frank Ocean
White Knuckles, Tegan and Sara
White Offerings, AFI
White Privilege II, Macklemore & Ryan Lewis
Who Am I, Katy B
Who Am I, Dej Loaf
Who Do You Think Of?, M.O
Who Needs The Young, Meat Loaf
Who Shot Me?, YG
Why Do I Feel, Dierks Bentley
Why You Always Hatin?, YG
Wicked, Future
Widow's Peak, Bat for Lashes
WiFi, D.R.A.M.
Wild Forever, Sophie Ellis-Bextor
Wild Season, Banks and Steelz
Wild West, Lissie
Wildflower, The Avalanches
WildHorse, RaeLynn
Will O The Wisp, Opeth
Winter Bird, Aurora
Wish That You Were Here, Florence + the Machine
Wishing, DJ Drama
With You, Drake
Without a Fight, Brad Paisley
Wolf Nation, Shelley Morningsong
Wolves Of Winter, Biffy Clyro
Woman Up, Meghan Trainor
Wona, Mumford & Sons
Woo, Rihanna
Wordless, Lauren Daigle
Work, Rihanna
Work From Home, Fifth Harmony
Work it Out, Bizzle
Work To Do, Lee Fields
World Is Mine, A$ap Ferg
World On Sticks, Sam Phillips
Worthless Words , Tom Chaplin
"Wrapped Up, Tangled Up in Jesus (God's Got It)"," Hank Williams, Jr."
Wreak Havoc, Skylar Grey
Wristband, Paul Simon
Write On Me, Fifth Harmony
Wrong, Zayn
Wrong Crowd, Tom Odell
Wrote My Way Out, Nas
X, 21 Savage and Metro Boomin
Yamborghini High, A$AP Mob
"Yea, Babe, No Way", LANY
Yes Girl, Bea Miller
Yesterday's Song, Hunter Hayes
You & Me, Marc E. Bassy
You Are Free , Jimmy Eat World
You Could've Loved Me, Frankie Ballard
You Don't Get Me High Anymore, Phantogram
You Don't Know Love, Olly Murs
You Don't Know Me, Jax Jones
You Don't Know My Heart, Rachel Platten
You Gotta Go Through Hell , George Strait
You Gotta Not, Little Mix
You Hold It All (Every Mountain) , Newsboys
You Hold It All Together, All Sons & Daughters
You Leave Alone, Hayes Carll
You Love Me 'Cause I Hate You, Lacuna Coil
You Make It Look So Good, Thompson Square
You Want It Darker, Leonard Cohen
You Want Me, Tom Zanetti
You Was Right, Lil Uzi Vert
You With Me, Jimmy Eat World
"You're a Man Now, Boy", Raleigh Ritchie
You're Not Alone, Joe and Jake
You're Not There, Lukas Graham
You're Welcome, Dwayne Johnson
You've Changed My Mind, Bonnie Raitt
You've Got My Number , Cole Swindell
Youngblood, Green Day
Your Love, Charles Kelley
Your Love Awakens Me , Phil Wickham
Your Mercy, Paul Baloche
Your Version of Me, Steady Holiday
Youth, Glass Animals
Zero, Otep
