(I Called Her) Tennessee, Tim Dugger
Scat Cat, Toby Keith
Science, Tanita Tikaram
Scream, Usher
Scream, Dizzee Rascal
Scream & Shout, will.i.am
Scream Hallelujah, Black Light Burns
Scream If You're Crazy, D.R.U.G.S.
Screw You, Cheryl Cole
Sea Fog, Keane
Search Party, Enter Shikari
Seasons, DragonForce
Secrets from the Underground, The Offspring
See About a Girl, Lee Brice
See Through Blue, Beth Orton
See Thru to U, Flying Lotus
See You Again, Carrie Underwood
Seen It All, Jake Bugg
Self Made, Little Big Town
Self-Starter, Anberlin
Seneca , Patti Smith
Senorita, Tenacious D
September, The Shins
Serpents, Sharon Van Etten
Settle, Two Door Cinema Club
Settle Down, No Doubt
Seven Cities Of Gold, Rush
Seven Days a Thousand Times, Lee Brice
Seven Years Gone, Richie Sambora
Sex, Mötley Crüe
Sex, The 1975
Sex In the Lounge, Nicki Minaj
Sexy Den A Mutha, Cheryl Cole
Shackled and Drawn, Bruce Springsteen
Shades of Grey, Delilah
Shadow Days, John Mayer
Shady, Adam Lambert
Shady Love, Scissor Sisters
Shakin' Hands With The Holy Ghost, Blackberry Smoke
Shannon Ain't Dead (She's Under My Bed), Kunt and the Gang
She Got a Wiggle, Dexys Midnight Runners
She Hates Me, Big Boi
She Is, Ne-Yo
She Slipped Away, Geoff Tate
She Wolf (Falling to Pieces) , David Guetta
She's 22, Norah Jones
She's Just A Girl Eddie, The Darkness
She's So Mean, Matchbox Twenty
She's The Woman, Van Halen
Shepherd's Bush Lullaby, Ben Gibbard
Sherane a.k.a Master Splinter's Daughter, Kendrick Lamar
Shine, The Used
Shine On You, Matisyahu
Shine Ya Light, Rita Ora
Shinin' On Me, Jerrod Niemann
Shoot A Hole Into The Sun, Noel Gallagher's High Flying Birds
Shooting Star, Owl City
Shots Fired, Slash
Should Be You, Ne-Yo
Shout Out, Birdman
Show Me, Usher
Show Me The Place, Leonard Cohen
Show Me Your Tattoo, Craig Morgan
Sifters, Andrew Bird
Sight Of You, Tulisa
Silence, The Ting Tings
Silenced By The Night, Keane
Silhouettes, Avicii
Silver Lining (Crazy Bout You), Jessie J
Simple as This, Jake Bugg
Simple Song, The Shins
Simply Amazing, Trey Songz
Sinematic, Motionless in White
Sing, Gary Barlow and The Commonwealth Band
Sing 'Em Good My Friend, Kenny Chesney
"Sing About Me, I'm Dying of Thirst", Kendrick Lamar
Sing For Me, Christina Aguilera
Single Tear, Tyler James
Sinner In The Sea, Calexico
Sins of My Father, Usher
Sister Everett, Mystery Jets
Six Degrees Of Separation, The Script
Six Directions of Boxing, Wu-Tang Clan
Sixteen, Rick Ross
Sixteen Saltines, Jack White
Skinny Dippin', Edens Edge
Skipping, Eddie Vedder
Skyfall, Adele
Skyhighatrist, DJ Fresh
Sleep Alone, Two Door Cinema Club
Sleeping Ute, Grizzly Bear
Slide, Jake Bugg
Slim Pickens Does the Right Thing and Rides the Bomb to Hell, The Offspring
Slow Cruel Hands Of Time, Band of Horses
Slow It Down, Amy MacDonald
Slow It Down, The Lumineers
Slowly One, The Maccabees
Slut Like You, Pink
Smilin' In My Face, Ca$h Out
Smooth Criminal, Glee
Snapbacks & Tattoos, Driicky Graham
So Far Gone, Thousand Foot Krutch
So Good, B.o.B
So Good To Me, Chris Malinchak
So Hard To Breathe, B.o.B
So He Begins To Lie, Bloc Party
So High, Jay Sean
So Listen, Cody Simpson
So Long Soldier, All Time Low
So Long You Pretty Thing, Spiritualized
"So Long, And Thanks For All The Booze", All Time Low
So Much, Raghav feat. Kardinal Offishall
So Sick, Brandy
So We Meet Again My Heartache, Melody Gardot
So You Don't Have to Love Me Anymore, Alan Jackson
Sober, Little Big Town
Soldier Song, Gloriana
Some Girls, Madonna
Some Nights, Fun.
Some Place, Nick Waterhouse
Someday, Two Door Cinema Club
Somedays, Lostprophets
Someone Special, Blaze Kelly Coyle
Someone to Hate, Demon Hunter
"Someone, Anyone", Anberlin
Someplace, Jake Bugg
Somethin' 'Bout a Truck, Kip Moore
Something, Nelly Furtado
Something, Aerosmith
Something About December, Christina Perri
Something Like Olivia, John Mayer
Something More Beautiful, Beth Orton
Something New, Girls Aloud
Something To Do With My Hands, Thomas Rhett
Somewhere, Jimi Hendrix
Somewhere in Neverland, All Time Low
Song of the Lonely Mountain, Neil Finn
Song Of You , Rufus Wainwright
Soon After Midnight, Bob Dylan
Soon Enough, Aimee Mann
Sooner Than Later, Sixpence None the Richer
Sorry, Ciara
Sorry, T.I.
Soul Companion, Mary Chapin Carpenter
Soul Killing, The Ting Tings
Sound Proof Room, Elle Varner
Southern Comfort Zone, Brad Paisley
Sovereign Light Café, Keane
Sparks, Cover Drive
Sparrow, Audrey Assad
Speak for Me, John Mayer
Spiral, Alanis Morissette
Spirit Indestructible, Nelly Furtado
Spring, Two Door Cinema Club
St. Francis, Gretchen Peters
Stalagmites, The Cribs
Stalemate, Enter Shikari
Standing At The Sky's Edge, Richard Hawley
Standing In The Dark, Lawson
Standing in the Sun, Slash
Staring At The Stars, Passenger
Staring At The Sun , Jason Aldean
Starlight, Taylor Swift
Starring Role, Marina
Stars, Grace Potter & the Nocturnals
Stars Align, Lindsey Stirling
Starships, Nicki Minaj
Starting Over, Macklemore & Ryan Lewis
State Hospital, Frightened Rabbit
State of Grace, Taylor Swift
Stay, Rihanna
Stay, Florida Georgia Line
Stay Frosty, Van Halen
Stay Schemin', Rick Ross
Stay Stay Stay, Taylor Swift
Steal My Show, tobyMac
Step With Me, Mika
Still Swinging, Papa Roach
Stingin' Belle, Biffy Clyro
Stockport To Memphis, Barb Jungr
Stompa, Serena Ryder
Storm King, Dar Williams
Straight for the Sun, Lamb Of God
Strange Fruition, Lupe Fiasco
Strange Love, Karen O
Strangeland, Keane
Stray Heart, Green Day
Street Jesus, Aerosmith
Streets Of Glory, Paloma Faith
Stuck in the Middle, Boys Like Girls
Studio Backpack Rap, Speech Debelle
Study In Blue, Paul Weller
Stupid, Bobby Womack
Sugar, Garbage
Suitcase, Emeli Sandé
Summer Love, One Direction
Summer Moon, Craig Morgan
Summer on Smash, Nas
Summertime Sadness, Lana Del Rey
Sun, Two Door Cinema Club
Sun In Your Eyes, Grizzly Bear
Sun's Coming Up , Tame Impala
Sunday (Psychic Conversation #9), Crocodiles
Sundown, Labrinth
Sunrise, Rascal Flatts
Sunset, The xx
Sunset Lovin', Gloriana
Sunshine, Matisyahu
Sunshine & City Lights, Greyson Chance
Super Rich Kids, Frank Ocean
Supernatural, Kesha
Superstar, Madonna
Supremacy, Muse
Surprise Surprise, Billy Talent
Survival, Muse
Sweat, Ciara
Sweet, Dave Matthews Band
Sweet Annie, Zac Brown Band
Sweet Georgia Girls, Mac Powell
Sweet Life, Frank Ocean
Sweet Love, Chris Brown
Sweet Nothing, Calvin Harris
Sweet Riot, Labrinth
Sweet Spot, Flo Rida
Sweet Summertime, Candlebox
Sweet Talk, Jessie Ware
Sweetheart, M. Ward
Swept Away, The xx
Swimming Pools (Drank), Kendrick Lamar
Swing Lo Magellan, Dirty Projectors
Swingin' Door, Edens Edge
Switch Up, Big Sean
Synthetica, Metric
System..., Enter Shikari
Table Tennis Music, Hot Chip
Take a Bullet, Geoff Tate
Take a Chance, Monica
Take A Hint, Victorious Cast
Take a Little Ride, Jason Aldean
Take a Walk, Passion Pit
Take It All Away, Owl City
Take It Out on Me, Chairlift
Take it to the Head, DJ Khaled
Take Me Away, Phillip Phillips
Take Me Back to Where I Was, Shiny Toy Guns
Take Me To The King, Tamela Mann
Take Me With You When You Go, Jack White
Take Off Your Shoes, Sinéad O'Connor
Take Up Your Spade, Sara Watkins
Take You, Justin Bieber
Taking In Water, Jessie Ware
Taking Over Me, Lawson
Talk, Jason Aldean
Talk to Me, Hinder
Talking to Myself, Chiddy Bang
Taree, Soundgarden
Tarkovsky (The Second Stop is Jupiter) , Patti Smith
Taro, Alt-J
Taste It, Jake Bugg
Tattoo, Van Halen
Tavern Song, Jon and Roy
Teach Me How Love Goes, Kris Allen
Team A, Bloc Party
Tear Out My Eyes, As I Lay Dying
Teardrop Windows, Ben Gibbard
Tears Always Win, Alicia Keys
Teen Idle, Marina
Teenage Icon, The Vaccines
Teenage Sounds, Neon Trees
Tel Aviv'n, Matisyahu
Tell Me, Aerosmith
Tell Me a Story, Phillip Phillips
Tell Me a Tale, Michael Kiwanuka
Tell Me How You Like It, Florida Georgia Line
Temper Temper, Bullet For My Valentine
Tempest, Bob Dylan
Tempest, Deftones
Ten, Yellowcard
Ten Jesus Pieces, Rick Ross
Tessellate, Alt-J
Testing The Water, Thompson Square
Thank God for Hometowns, Carrie Underwood
That Could Be Us, Maino
That Dangerous Age, Paul Weller
That Feeling, Travis Porter
That Girl, The Noisettes
That Wasn't Me, Brandi Carlile
That Way Again, Lee Brice
That's What Angels Do, Laura Bell Bundy
That's What Daddy's Do, Billy Ray Cyrus
That's What We Do, Ashanti
That's When I Knew , Alicia Keys
That's When You Know It's Over, Lee Brice
That's Why God Made the Radio, The Beach Boys
That's Why I Pray, Big & Rich
The 2nd Law: Isolated System, Muse
The 2nd Law: Unsustainable, Muse
The Afterman, Coheed and Cambria
The Anarchist, Rush
The Apple Tree, Nina Nesbitt
The Art of Peer Pressure, Kendrick Lamar
The Attic, Paul Weller
The Autumn Carnival, The Dandy Warhols
The Baddest Man Alive, The Black Keys
The Ballad of Mr. Jones, Jake Bugg
The Ballad of Rush Limbaugh, Nona Hendryx
The Beauty of the End, Paloma Faith
The Bed Song, Amanda Palmer
The Bluff, Wiz Khalifa
The Boys, Nicki Minaj
The Bravest Man in the Universe, Bobby Womack
The Celestials, Smashing Pumpkins
The Chimera, Smashing Pumpkins
The Circle, Black Country Communion
The City, The 1975
The Coma Kid, Motion City Soundtrack
The Days That We Die, Loudon Wainwright III
The Devil And The Deed, Yeasayer
The Devil Is Me, Kiss
The Don, Nas
The End Is Where We Begin, Thousand Foot Krutch
The Evolution Of Man, Example
The Fallen, Hoobastank
The Feeling, DJ Fresh
The Fighter, The Fray
The Fire, Matt Cardle
The Forgotten, Green Day
The Freedom Song, Jason Mraz
The Future Is Now, The Offspring
The Garden, Rush
The Girl With the Holiday Smile, Lyle Lovett
The Giver, Black Country Communion
The Good Life , Casey James
The Good Life (Is Wasted), Lambchop
The Great Escape, Pink
The Green and the Blue, Amy MacDonald
The Haunted Man , Bat for Lashes
The Here & The Now, Loudon Wainwright III
The House That Heaven Built, Japandroids
The Hurt & The Healer, MercyMe
The Industrialist, Fear Factory
The Introduction, Thousand Foot Krutch
The Introduction, T.I.
The John Wayne, Little Green Cars
The Keepers, Santigold
The Killing Type, Amanda Palmer
The Last Song I'll Write For You, David Cook
The Last Time, Taylor Swift
The Letter (To Daddy), Kellie Pickler
The Light And The Sea, Dar Williams
The Lion's Roar, First Aid Kit
The Lucky One, Taylor Swift
The Malkin Jewel, The Mars Volta
The Man Who Never Lied, Maroon 5
The Marvelous Dream, Damon Albarn
The Matador, Gretchen Peters
The Menu, The Johnstones
The Mirror, Kid Rock
The Moment I Knew, Taylor Swift
The Moon Exalted, Damon Albarn
The Morning, Raekwon
The Most Beautiful Thing, Nelly Furtado
The Movement, Rusted Root
The National Health, Maxïmo Park
The Number Six, Lamb Of God
The Official Fit Les Olympics Anthem, Fit Les
The One, Olly Murs
The Only Place, Best Coast
The Only Way I Know, Jason Aldean
The Palace, The Big Pink
The Party, Regina Spektor
The Place Lives, Mount Eerie
The Power, DJ Fresh
The Power Of Love, Gabrielle Aplin
The Puritan, Blur
The Question, Mac Miller
The Recipe, Kendrick Lamar
The Reckless And The Brave, All Time Low
The Reign, Diggy
The Riff, Dave Matthews Band
The Rifle's Spiral, The Shins
The Riot's Gone , Santigold
The Rising Tide, The Killers
The Same Love, Paul Baloche
The Shelter Of Your Wings, Jim Sonefeld
The Size I Wear, Toby Keith
The Slot Tech, The Killers
The Socialites, Dirty Projectors
The Sound Of The Life Of The Mind, Ben Folds Five
The Starting Line, Keane
The State of Dreaming, Marina
The Struggle, Tenth Avenue North
The Swarm, You Me at Six
The Sweeper Of Dreams, Alma Deutscher
The Tally, Mona
The Truth About Love, Pink
The Undercurrents, Maxïmo Park
The Upside Of Down, Chris August
The Veil of Isis, The Sword
The Veldt, Deadmau5
The Victory, Third Day
The Void, Cancer Bats
The Wanderlust, Metric
The Wasteland, Shadows Fall
The Way It Was, The Killers
The Wheel , SOHN
The Whole World Needs a Kitchen, Craig Morgan
The Wind, The Fray
The Wind, Zac Brown Band
The Wolf Is Getting Married, Sinéad O'Connor
The Woman I Love, Jason Mraz
The Wood Collier's Grave, Richard Hawley
The Woodpile, Frightened Rabbit
The World Is Watching, Two Door Cinema Club
The Wreckers, Rush
The Wretched, Attack Attack!
The Wrong Direction, Passenger
Theme From Velodrome, The Chemical Brothers
There She Goes, Taio Cruz
There's A Key, M. Ward
These Glory Days, Geoff Tate
These Lights, Your Demise
These Times, SafetySuit
Things To Stop You Dreaming, Passenger
Think Like A Man, Jennifer Hudson and Ne-Yo
Thinking About You, Calvin Harris
Thinking of You, Dierks Bentley
Thinking Of You, Kesha
Thirty Bands, Travis Porter
This Depression, Bruce Springsteen
This Feels a Lot Like Love, Easton Corbin
This Fire, Birds of Tokyo
This I Know, Demon Hunter
This Is Gonna Hurt, Hoobastank
This is Love, will.i.am
This is Real, Enemy
This is the Girl, Patti Smith
This Is What Makes Us Girls, Lana Del Rey
This Is Your Time, Black Country Communion
This Isn't Our Parade , Santigold
This Kiss, Carly Rae Jepsen
This Nothin' Town, Jason Aldean
This Ocean, Gordon Bahary
This Old Routine, First Aid Kit
This One's Different, Howler
This Time, Melanie Fiona
This Time I Won't Forget, Kongos
Those Who Wait, Daley
Thought Of You, Justin Bieber
Thrift Shop, Macklemore & Ryan Lewis
Through the Ghost, Shinedown
Throw It Away, Slaughterhouse
Tidal Wave, Sub Focus
Tides, The xx
Til You, Alanis Morissette
Till I Die, Chris Brown
Time, Big Wreck
Time Flies, Kenny Chesney
Time For Me To Come Home, Blake Shelton
Timebomb, Kylie Minogue
Timebomb, Pink
Timelines, Motion City Soundtrack
Tiny Little Bows, Carly Rae Jepsen
Tip It Back, Florida Georgia Line
Tip it on Back, Dierks Bentley
Tip Toes, Jayme Dee
To the World, Kanye West
Today's Supernatural, Animal Collective
Together Burning Bright, The Used
Tomorrow Became Yesterday, Billy Ray Cyrus
Tomorrow Never Comes, Demon Hunter
Tomorrow Will Be Kinder, The Secret Sisters
Tonight (Best You Ever Had), John Legend
Tonight I'm Getting Over You, Carly Rae Jepsen
Too Deep to Fill, Ryan Bingham
Too Good To Be True, Edens Edge
Too Much Blood, Howler
Too Much Blood, The Gaslight Anthem
Top of the World, Raghav
Tornado, Little Big Town
Totem and Taboo, Hugh Cornwell
Touch 'N You, Rick Ross
Tough People Do, Trace Adkins
Town Drunk, Love and Theft
Transformer, J. Dash
Trash Tongue Talker, Jack White
Traumatized, Meek Mill
Travelin' On, Norah Jones
Travelling Light, The Noisettes
Treacherous, Taylor Swift
Treasure, Bruno Mars
Treat Me Like Fire, Lion Babe
Treatment, Labrinth
Tremendous Damage, Big Boi
Trespassing, Adam Lambert
Trip The Darkness, Lacuna Coil
Triumphant (Get 'Em), Mariah Carey
Trouble Town, Jake Bugg
Troublemaker, Green Day
Troublemaker, Olly Murs
Truck Yeah, Tim McGraw
True Believers, Darius Rucker
True Love, Pink
True Romance, Motion City Soundtrack
True Shred Guitar, Sleigh Bells
Trust and Believe, Keyshia Cole
Truth Hurts, Bullet For My Valentine
Try, The xx
Try, Pink
Trying To Get Over You, Mac Powell
Turn Around, Conor Maynard
Turn Me On, The Fray
Turn My World Around, Gloriana
Turn On The Lights, Future
Turn To You (Mother's Day Dedication), Justin Bieber
Turn Up The Love, Far East Movement
Turn Up The Music, Chris Brown
Turn Up the Radio, Madonna
Turning Into You, The Offspring
Twilight, Cover Drive
Twisted, Usher
Two Black Cadillacs, Carrie Underwood
Two Fingers, Jake Bugg
Two Up, Diggy
Type Of Way, Rich Homie Quan
Ugly Noise, Flotsam and Jetsam
Unbreakable Heart, Three Days Grace
Undefeated, Jason Derulo
Under The Sun, Cheryl Cole
Under the Westway, Blur
Under-Estimate The Girl, Kate Nash
Undercover, No Doubt
Underneath, Adam Lambert
Underwater Bimbos From Outer Space, Every Time I Die
Undone, No Doubt
Unfold, The xx
Unhappy is the Only Happy That You'll Ever Be, Matthew Pryor
Unity, Shinedown
Unknow, The Maccabees
Unstable, Anberlin
Until It Breaks, Linkin Park
Up All Night, Kip Moore
Up In Flames, Nicki Minaj
Up In It, Wiz Khalifa
Us & Ourselves, Morning Parade
Use Me, Miguel
V.I.P., Sinéad O'Connor
Va Va Voom, Nicki Minaj
Valentine, Fiona Apple
Valley of the Dolls, Marina
Valtari, Sigur Rós
Van Fan Gor Du, Friends
Vanishing Mind, Calexico
Vegas Girl, Conor Maynard
Victimized, Linkin Park
Violence (Enough Is Enough), A Day to Remember
Violet Rays, Smashing Pumpkins
Visa, Tulisa
Vision of Love, Kris Allen
Vultures, Labrinth
Waiting, Geoff Tate
Waiting for the Night, Nelly Furtado
Wake, Demon Hunter
Wake Up, Two Door Cinema Club
Walk Like a Giant, Neil Young & Crazy Horse
Walk Of Shame, Pink
Walk Over Me, The All-American Rejects
Walk the Edge, Shadows Fall
Walking Away , Jason Aldean
Walking On Air, Anise K
War of Change, Thousand Foot Krutch
Warm Smiles Do Not Make You Welcome Here, Enter Shikari
Warrior, Kesha
Wasted, Lukas Nelson and Promise of the Real
Wasted Years, Maroon 5
Watch How You Go, Keane
Watch The Show, M. Ward
Watch The World End, Trace Adkins
Watching You Watch Him, Eric Hutchinson
Watchtower, Devlin
Water Tower, Jason Aldean
We All Fall Down, Aerosmith
We Are, Thousand Foot Krutch
We Are, Hollywood Undead
We Are Alive, Bruce Springsteen
We Are Fine, Sharon Van Etten
We Are Here, Randy Stonehill and Buck Storm
We Are Never Ever Getting Back Together, Taylor Swift
We Are Trayvon, Plies
We Both Know, Colbie Caillat
We Bring an Arsenal, Lostprophets
We Can't Be Beat, The Walkmen
We Don't Care, Demon Hunter
We Don't Grow Tobacco, Old Crow Medicine Show
We In This Bitch, DJ Drama
We Might Be Dead by Tomorrow, Soko
We Take Care of Our Own, Bruce Springsteen
We Will Roam, Slash
We'll Be Coming Back, Calvin Harris
Weapons, Lostprophets
Weave On, Serj Tankian
Wedding Party, Paul Buchanan
Weep Themselves To Sleep, Jack White
Weirdo, The Vaccines
Welcome To The Ball, Rufus Wainwright
Welcome To The Fishbowl, Kenny Chesney
Went Away, The Maccabees
Werewolf, Fiona Apple
What a Buzz, Olly Murs
What About Us, The Saturdays
What Could Have Been Love, Aerosmith
What Happened to U, Usher
What I Wouldn't Do, Serena Ryder
What If I Was Nothing, All That Remains
What It Look Like, Curren$y
What It Takes, Montgomery Gentry
What Love Is This, Kari Jobe
What Makes a Good Man, The Heavy
What Now, Rihanna
What To Keep And What To Throw Away, Mary Chapin Carpenter
What's Patsy Cline Doing These Days Pts. I & II, Marvin Etzioni
Wheels Rollin', Jason Aldean
When Can I See You Again?, Owl City
When I Saw You Leaving (For Nisey), Alan Jackson
When I Was Young, Nada Surf
When I Was Your Man, Bruno Mars
When I'm Gone , Joey + Rory
When It's All Over, Alicia Keys
When She Says Baby, Jason Aldean
When She Was Mine, Lawson
When You Gonna Come Around, Dierks Bentley
When Your Garden's Overgrown, Paul Weller
Where Are You (B.o.B vs. Bobby Ray), B.o.B
Where Are You Now?, Mumford & Sons
Where Did The Beat Go?, Pink
Where I Come From, Passion Pit
Where I Sleep, Emeli Sandé
Where In The Hell Did You Go With My Toothbrush, The Reverend Horton Heat
Where My Heart Belongs, Gloriana
Where We Gonna Go, Jon and Roy
Where We Left Off, Hunter Hayes
Where's God?, Insane Clown Posse
Where's Tammy Wynette, Kellie Pickler
Where's the Fun in Forever, Miguel
Wherever I Go, Buckcherry
Wherever You Are, Lil' Twist
Wherever You Are, Kesha
While He Still Knows Who I Am, Kenny Chesney
Whip It, Nicki Minaj
Whiskey Kind of Way, Jerrod Niemann
Whispers in the Dark, Mumford & Sons
Whistle, Flo Rida
White, Frank Ocean
White Dress, Kanye West
White Flag, Dave Barnes
White Light, George Michael
White Walls, Macklemore & Ryan Lewis
White Wind, School of Seven Bells
Who, David Byrne / St. Vincent
Who Am I Drinking Tonight?, Edens Edge
Who Am I Now?, Air
Who Are You, Carrie Underwood
Who We Are, Uncle Kracker
Who's Thinking About You Now?, Jason Mraz
Whore, In This Moment
Why Am I the One, Fun.
Why'd You Have to Be So Good, Heidi Newfield
Wicked Games, The Weeknd
Wide Awake, Katy Perry
Wide Eyed, Animal Collective
Wild For The Night, A$AP Rocky
Wild In Your Smile, Dustin Lynch
Wildest Dreams, Brandy
Wildest Moments, Jessie Ware
Wildflower, Smashing Pumpkins
Wildside, T.I.
Window Seat, Our Lady Peace
Windows Down, Big Time Rush
Windup Robot, VCMG
Wine After Whiskey, Carrie Underwood
Wing$, Macklemore & Ryan Lewis
Wings, Little Mix
Winner, The Noisettes
Winner, Pet Shop Boys
Wiseman, Frank Ocean
Wish Them Well, Rush
Wish U Were Here, Cody Simpson
Wishes, Beach House
With A Woman, The Darkness
Wobble, Travis Porter
Wolf, First Aid Kit
Wolf's Law, The Joy Formidable
Woman Down, Alanis Morissette
Woman to Woman, Keyshia Cole
Won't Make A Fool Out of You, Marcus Canty
Wonder, Naughty Boy
Wonderful, Angel
Wonderful Life, Estelle
Wonderful Life, T.I.
Wonderland, Kesha
Words, Hawk Nelson
Work, The 2 Bears
Work Hard Play Hard, Wiz Khalifa
World, Richie Sambora
World Scum, Soulfly
Worry Walks Beside Me, Michael Kiwanuka
Wrecking Ball, Bruce Springsteen
Wrecking Ball, Aubrey O'Day
Wrecking Ball Heart, Jack's Mannequin
Write This Down, Maxïmo Park
Write This Number Down, Dar Williams
Wrong Side of a Love Song, Melanie Fiona
X-Kid, Green Day
Y.O.U, Violet
"Ye, Renew the Plaintiff", Of Montreal
Yeah Dats Me, Big K.R.I.T.
Yeah Yeah, Willy Moon
Yet Again, Grizzly Bear
You, Raghav
You, The 1975
You Ain't Alone, Alabama Shakes
You Ain't Alone, Toby Keith
You and Me, Sara Watkins
You Are I Am, MercyMe
You Are My Everything, Third Day
You Are Young, Keane
You Before Me, Hoobastank
You Bring Me Joy, Amelia Lily
You Call Me a Bitch Like It's a Bad Thing, Halestorm
You Can Only Get So High, Richie Sambora
You Lost Me, Sleigh Bells
You Possess Me, Marvin Etzioni
You Were Young, The Dead Ships
You Will Ride With Me Tonight, Dar Williams
You're A Lie, Slash
You're All My Little Monsters, Lady Gaga
You're Gonna Love This, 3OH!3
You're My Song, A Rocket to the Moon
You've Got It, Bruce Springsteen
Young, Tulisa
Young Forever, Nicki Minaj
Young Girls, Bruno Mars
"Young, Sexy and Single", Rita Ora
Youngblood, 3OH!3
Your Body, Christina Aguilera
Your Early Stuff, Pet Shop Boys
Your Love, Ashley Waters
Your Plan, Dustin Lynch
Your Side Of The Bed, Little Big Town
Youth in Revolt, Candlebox
Youth Without Youth, Metric
Yuck!, 2 Chainz
¿Which Side Are You On?, Ani DiFranco
…Meltdown, Enter Shikari
