Road Regrets, Dan Mangan
Roadsinger, Yusuf Islam
Robots, Dan Mangan
Rock That Body, The Black Eyed Peas
Rockin' That Thang, The-Dream
Rocking Horse, The Dead Weather
Rockstar 101, Rihanna
Roger That, Young Money
Rollacoasta, Robin Thicke
Roller Disco Dreams, Maxïmo Park
Rome, Phoenix
Rosalyn, Bon Iver
Roswell's Spell, Chevelle
Roter Sand, Rammstein
Rubber Lover, Marmaduke Duke
Rubik's Cube, Athlete
Rude Boy, Rihanna
Rugs From Me To You, Owl City
Run Over By A Truck, Weezer
Run This Town, Jay-Z
Run with the Wolves, The Prodigy
Runaway, Love and Theft
Runnin', Lil Wayne
Russian Roulette, Rihanna
Rusted from the Rain, Billy Talent
S.O.S. (Let the Music Play), Jordin Sparks
Sabotage, Kristinia DeBarge
Sacred Trickster, Sonic Youth
Sad Song, Blake Lewis
Safe, Phil Wickham
Saga, Basement Jaxx
Sagittarius Silver Announcement, The Flaming Lips
Saint Veronika, Billy Talent
Salivating, The Broken Family Band
Salome, Pete Doherty
Salute, Whitney Houston
Same Kind of Crazy, George Strait
Same Side Imaginary, Jeremy Enigk
Same Song & Dance, Eminem
Satellite Mind, Metric
Saturday Come Slow, Massive Attack
Save Me From Myself, Vertical Horizon
Save Me San Francisco, Train
Save The Day, Halfdown Thomas
Save You, Kelly Clarkson
Saving Grace, Crash Kings
Say Aah, Trey Songz
Say Goodbye, Katharine McPhee
Say It, Booty Luv
Say It, Evans Blue
Say Its Over, N-Dubz
Say Please, Monsters of Folk
Say Something, Timbaland
Scheme Eugene, Red Light Company
Scorpio Sword, The Flaming Lips
Scream, Chris Cornell
Scream With Me, Mudvayne
Scumbag Blues, Them Crooked Vultures
Sea Within a Sea, The Horrors
Search & Destroy, 30 Seconds to Mars
Searching, Speech Debelle
Secret Alphabets, Kasabian
Secret Door, Arctic Monkeys
Secrets, OneRepublic
Secrets Of The Dead, Chimaira
Secular Praise, Timothy B. Schmit
See the Leaves, The Flaming Lips
See The Light, The Hours
See the Light, Green Day
Seeing Stars, Grand Duchy
Seeing Stars, Jack Ingram
Send Him Away, Franz Ferdinand
Send It On, Disney's Friends For Change
Send Me All Your Angels, Kris Allen
September, DAUGHTRY
Set Apart This Dream, Flyleaf
Seven, Dave Matthews Band
Seven Mile Breakdown, Taylor Hicks
Seventeen Hands, The Maccabees
Sex Therapy, Robin Thicke
Sexy Bitch, David Guetta
Sh-t on 'Em, Gorilla Zoe
Shadows, Westlife
Shadowside, a-ha
Shake Me Like a Monkey, Dave Matthews Band
Shake My, Three 6 Mafia
Shaken, Paul Baloche
Shakin' it 4 Daddy, Robin Thicke
Shallow Life, Lacuna Coil
Shame Is The Name, Morrissey
Shark In The Water, V.V. Brown
Sharp Knife, Third Eye Blind
She (For Liz), Parachute
She Ain't Got..., LeToya
She Bathed Herself in a Bath of Bleach, Manic Street Preachers
She Came Along, Sharam
She Don't Wanna Man, Asher Roth
She Is Love, Parachute
She Likes (Bittersweet Love), Forever the Sickest Kids
She Loves Everybody, Chester French
She Wolf, Shakira
She Won't Be Lonely Long, Clay Walker
She Won't Follow You, Say Anything
She'd Be California, Rascal Flatts
She's A Dream, Backstreet Boys
She's a Genius, Jet
She's Got a Boyfriend Now, Boys Like Girls
She's Got Me Dancing, Tommy Sparks
She's So Bendable, The Bravery
She's Turning 50 Today, Reba McEntire
She's With Me, Collin Raye
Sheepskin Tearaway , Pete Doherty
Shock Horror, The View
Shone, Flo Rida
Shoot for the Moon, Busta Rhymes
Shooting The Moon, OK Go
Short Change Hero, The Heavy
Shot In The Back Of The Head, Moby
Shots, LMFAO
Should Be Loved, Blue October
Should Let U Go, Sean Kingston
Should've When You Could've, Skillet
Shoulda Put Something On, N-Dubz
Show Me a God, Tech N9ne
Show Me What I'm Looking For, Carolina Liar
Shroud of Turin, Echo & the Bunnymen
Shut It Down, Drake
Shut It Down, Pitbull
Shuttin' Detroit Down, John Rich
Sick Muse, Metric
Sick of Hanging On, Hoobastank
Sick Of It, Evans Blue
Sideways, Dierks Bentley
Sigh No More, Mumford & Sons
Silence, Matisyahu
Silent Voices Kill, Madina Lake
Silly Boy, Eva Simons
Silver Cruiser, Röyksopp
Silver Spoon, Enemy
Silver Trembling Hands, The Flaming Lips
Simple Prayer, Bruce Hornsby
Simple Things, Paolo Nutini
Sin for a Sin, Miranda Lambert
Sin of My Own, September
Since We've Been Wrong, The Mars Volta
Since You Brought It Up, James Otto
Sing It Out, Switchfoot
Sing Like Me, Chris Brown
Sing Me a Love Song, BarlowGirl
Sing Sang Sung, Air
Sing This, I See Stars
Sink Into Me, Taking Back Sunday
Sink Or Swim, Bad Lieutenant
Sinkin' Or Swimmin' With You, Steve Azar
Siren Song, Bat for Lashes
Sister Sinead, Kris Kristofferson
Sitting On The Top Of Time, Jim McCarty
Sixteen, The Heavy
Skeletons, Yeah Yeah Yeahs
Skull City, Rancid
Sky Might Fall, Kid Cudi
Skynyrd Nation, Lynyrd Skynyrd
Sleep, Chester French
Sleep Alone, Bat for Lashes
Sleep Apnea, Chevelle
Sleepwalker, Adam Lambert
Sleepwalking, Erin McCarley
Sleepyhead, Passion Pit
Slice, Five for Fighting
Sliver, Queensrÿche
Slow Down Jo, Monsters of Folk
Slow Poison, The Bravery
Slush, Jarvis Cocker
Small Town U.S.A., Justin Moore
Smile, Uncle Kracker
Smoke a Little Smoke, Eric Church
SMS (Shine), David Crowder Band
Snoop Dogg Millionaire, Snoop Dogg
So Ambitious, Jay-Z
So Close So Far, Hoobastank
So Cold, Chris Brown
So Disrespectful, 50 Cent
So Far Away, Painkiller Hotel
So Far So Great, Demi Lovato
So Fine, Sean Paul
So High, Ian Brown
So Human, Lady Sovereign
So Light is Her Footfall, Air
So Special, Mavado
Soaked, Adam Lambert
Soap On a Rope, Chickenfoot
Solar Midnite, Lupe Fiasco
Solidarity, Enter Shikari
Solo Dolo (Nightmare), Kid Cudi
Somebody to Love, Leighton Meester
Somebody's Gonna Get (Their Head Kicked In Tonite), Joe Perry
Someday, Elliott Yamin
Someday, Rob Thomas
Someday When I Stop Loving You , Carrie Underwood
Someone Told Me, Marshall Crenshaw
Somethin' Grand, Madeleine Peyroux
Something Beautiful, Needtobreathe
Something Good Can Work, Two Door Cinema Club
Something Is Squeezing My Skull, Morrissey
Something That I Like, Ryan Leslie
Something to Die For, Carolina Liar
Sometimes, Alexis Babini
Sometimes, Skillet
Somewhere Trouble Don't Go, Miranda Lambert
Song Away, Hockey
Songs Like This, Carrie Underwood
Soon You'll Go, Howard Jones
Sooner Or Later, Michelle Branch
Soul Cake, Sting
Soul Survivor, Beverley Knight
Sounds Like Life to Me, Darryl Worley
Soundtrack 2 My Life, Kid Cudi
Sour Patch Kids, Asher Roth
South Philadelphia (Drug Days), Alec Ounsworth
Southern Point, Grizzly Bear
Southern Voice, Tim McGraw
Souverian, Andrew Bird
Space is the Place, Bruce Hornsby
Spaceman, Dave Matthews Band
Spade, Brighton Port Authority
Spanish Fly, Aventura
Spare Me from the Mold, The Gossip
Speech Therapy, Speech Debelle
Speechless, Lady Gaga
Speed of Light, Corbin Bleu
Speed Of Sound, Pearl Jam
Spellbound, Doves
Spellbound, Lacuna Coil
Spider's Web, Jamie T.
Splitting The Atom, Massive Attack
Spotlight, Gucci Mane
Spotlight, MUTEMATH
Spy, Shakira
Squirm, Dave Matthews Band
Stadium Love, Metric
Stand, Kiss
Stand (In the Light), James Ingram
Stand Up, The Prodigy
Stand Up, Cheryl Cole
Stand Up Comedy, U2
Standing O, Mariah Carey
Standing Right in Front of You, Keith Urban
Starfish Sleeping, Boh Runga
Staring Down, Collective Soul
Stars Come Out, Calvin Harris
Starstruck, Robbie Williams
Start the Simulator , a-ha
Starting All Over , Jeremih
Statistics, Madina Lake
Stay, Fabolous
Stay Still, blessthefall
Staying Together, Gene Watson
Stella The Artist, David Gray
Stellify, Ian Brown
Step Up, Enter Shikari
Stereo Love, Edward Maya
Sticks 'N' Stones, Jamie T.
Stiff Upper Lip, Mr. Hudson
Still, Tim McGraw
Still My God, Avalon
Still Unbroken, Lynyrd Skynyrd
Stillness Is the Move, Dirty Projectors
Stone Cold Sober, Paloma Faith
Stoned, Puddle of Mudd
Stop & Listen, Bethany Dillon
Stop the Bleeding, FFH
Stop the World, Maxwell
Stop the World, Demi Lovato
Stop! Before It's Too Late and We've Destroyed It All, Atreyu
Storm, Lynyrd Skynyrd
Storm to Pass, Atreyu
Straight Away, Mat Kearney
Straight From My Heart, Sean Paul
Straight No Chaser, Mr. Hudson
Straight Through My Heart, Backstreet Boys
Strange, Reba McEntire
Stranger In A Strange Land, 30 Seconds to Mars
Strawberry Avalanche, Owl City
Street Fighter (War), Sick Puppies
Streets Lack Love, Nneka
Strong Black Vine, Tori Amos
Stronger, Mary J. Blige
Strut, Adam Lambert
Stuck, Norah Jones
Stuck, The Heavy
Stuck On Repeat, Little Boots
Stuck With Each Other, Shontelle
Stupid In Love, Rihanna
Substitution, Silversun Pickups
Successful, Drake
Sudden Movements, Billy Talent
Sugar, Flo Rida
Sugar, Busta Rhymes
Suicide Dive Bombers, Juliette Lewis And The New Romantiques
Sulphur to Sugarcane, Elvis Costello
Summer Job Days, David Nail
Summer Nights, Rascal Flatts
Summertime Clothes, Animal Collective
Sunburn, Owl City
Sunday Night, Ryan Leslie
Sunken Eyes, Weinland
Sunny, Joey DeGraw
Sunny Side Up, Martina McBride
Sunshine, Steve Azar
Sunshine People, Detroit Social Club
Supa Sexxy, Charlie Wilson
Superblind, Robbie Williams
Superhero, Candye Kane
Superhuman Touch, Athlete
Superman Tonight, Bon Jovi
Supernova, Mr. Hudson
Supersonic, Pearl Jam
Sure Fire Winners, Adam Lambert
Surfing in a Hurricane, Jimmy Buffett
Surgical Gloves, Raekwon
Swarfiga, Kasabian
Sweat It Out, The-Dream
Sweet By And By, Pete Doherty
Sweet Child O' Mine, Taken by Trees
Sweet Disposition, The Temper Trap
Sweet Dreams, Beyoncé
Sweet Revenge, Chris Cornell
Sweet Silver Lining, Kate Voegele
Swim, Jack's Mannequin
Swing, Taking Back Sunday
Swoon, Imogen Heap
Symmetry, Little Boots
Symphony, Timbaland
Take A Bow, Sister Hazel
Take Aim, Kasabian
Take It Slow, Forever the Sickest Kids
Take Me Back, Tinchy Stryder
Take Me to the Hospital, The Prodigy
Take That, Wiley
Takin' Back My Love, Enrique Iglesias
Talk Me Down, Westlife
Talkin' Smooth, Kate Voegele
Tanned, Maxïmo Park
Taste, Animal Collective
Te Amo, Rihanna
Tear It Up, Hollywood Undead
Tears Into Wine, Billy Talent
Tears of Yesterday, Hoobastank
Teenagers, Hayley Williams
Teeth, Lady Gaga
Telephone, Lady Gaga
Tell Me, Jake Owen
Tell Me It's Not Over, Starsailor
Tell Me That You're Wrong, Rescue Signals
Tell Me You Love Me, Amerie
Temazcal , Monsters of Folk
Temecula Sunrise, Dirty Projectors
Temporary Home, Carrie Underwood
Temptation Dice, The View
Tender as I Wanna Be, Toby Keith
Tennessee, Harper Simon
Tennessee Line, DAUGHTRY
Tenuousness, Andrew Bird
Thank You, Keith Urban
Thank You, Jay-Z
That Golden Rule, Biffy Clyro
That Year, Brandi Carlile
That's All I Know, Jason Michael Carroll
That's Just The Way It Is Now, Rancid
That's the Way The World Goes 'Round, Miranda Lambert
The Alamo, Red Light Company
The Architect, Red Light Company
The Awakening, Lukas Nelson and Promise of the Real
The Ballad of Jack and Haley, Ike Reilly
The Ballad of John Henry, Joe Bonamassa
The Bandstand, a-ha
The Barry George Song, Kunt and the Gang
The Best of Times, Dream Theater
The Big Sleep, Bat for Lashes
The Bird and the Worm, Owl City
The Black Rats of London, Bruce Hornsby
The Bravest Kids, Rancid
The Breach, Bob Mould
The Breath You Take, George Strait
The Burning Babe, Sting
The Calculation, Regina Spektor
The Call, Matt Kennon
The Captain, Biffy Clyro
The Cave, Mumford & Sons
The Chanukah Song, Neil Diamond
The Cherry Tree, Sting
The Climb, Miley Cyrus
The Count of Tuscany, Dream Theater
The Crooked Line, Elvis Costello
The Crying Light , Antony and the Johnsons
The Cure, India.Arie
The Cure, Jordin Sparks
The Cure, Tegan and Sara
The Curtains Are Twitchin, Bell X1
The Czar, Mastodon
The Day I Died, Just Jack
The Dead Can't Testify, Billy Talent
The Difference, Westlife
The Disappearing Sun, Chimaira
The Distance , Taylor Hicks
The Ego's Last Stand, The Flaming Lips
The End, Pearl Jam
The End, Blue October
The First Days Of Spring, Noah and the Whale
The Fixer, Pearl Jam
The Gambler, Fun.
The Girl and the Robot, Röyksopp
The Girl From Tiger Bay, Shirley Bassey
The Girl Got Hot, Weezer
The Good Life, Three Days Grace
The Gospel Singer, Lydia Lunch
The Great Defector, Bell X1
The Great Forgiver, Gallows
The Greatest Denier, Doves
The Hardest Moment, Mario
The Hardest Part of Letting Go...Sealed With a Kiss, Megadeth
The Hazards Of Love 1 (The Prettiest Whistles Won't Wrestle the Thistles Undone), The Decemberists
The Heart Of It All, Chimaira
The High Road, Broken Bells
The Highway, Rancid
The Hollow Earth, Thom Yorke
The House That Built Me, Miranda Lambert
The Impossible, Mariah Carey
The Impulse, The Flaming Lips
The Invitation, 50 Cent
The Jamie Rap, Harry Hill
The Jester, Enter Shikari
The Jimmy Choos, Chester French
The Kids Are Sick Again, Maxïmo Park
The Killer, Queensrÿche
The Last Baron, Mastodon
The Last Carnival, Bruce Springsteen
The Last Word, Carolyn Arends
The Letters II, Weinland
The Liberty Of Norton Folgate, Madness
The Long Fall, Jars of Clay
The Lost Get Found, Britt Nicole
The Loving Kind, Nanci Griffith
The Man I Want to Be, Chris Young
The Man's Machine, Jamie T.
The Middle Ground, Vertical Horizon
The Motions, Dashboard Confessional
The Nerve, MUTEMATH
The Next Time You Say Forever, Neko Case
The Official BBC Children In Need Medley, Peter Kay's Animated All Star Band
The One, Mary J. Blige
The One I Love, Timbaland
The Only Exception, Paramore
The Only Place I Call Home, Justin Moore
The Outsiders, Doves
The Outsiders, Needtobreathe
The Penultimate Clinch, Maxïmo Park
The Performance of My Life, Shirley Bassey
The Power of One (Change the World), Israel Houghton
The Price Of Love , White Lies
The Privateers, Andrew Bird
The Queen's Rebuke / The Crossing, The Decemberists
The Rain, Yusuf Islam
The Rake's Song, The Decemberists
The Reformed Church of the Assault Rifle Band, Ike Reilly
The Rent Is Always Due, Neil Young
The Right Place, Monsters of Folk
The Right To Go Insane, Megadeth
The Riverbank, Gallows
The Riverbed, Gallows
The Road, Frank Turner
The Room, The Twilight Sad
The Royal We, Silversun Pickups
The Saltwater Room, Owl City
"The Sandman, the Brakeman and Me", Monsters of Folk
The Scene Is Dead; Long Live the Scene, Cobra Starship
The Shape I'm In, Joe Nichols
The Shattered Fortress, Dream Theater
The Silence, Alexandra Burke
The Sky And The Earth, Boh Runga
The Sound (John M. Perkins' Blues), Switchfoot
The Sparrow Looks Up at the Machine, The Flaming Lips
The Spell, Alphabeat
The Static Age, Green Day
The Testimony of Patience Kershaw, The Unthanks
The Time Of Our Lives, Miley Cyrus
The Tip of the Iceberg, Owl City
The Truth, Jason Aldean
The Truth, Kris Allen
The Unknown, Athlete
The Venom Inside, Chimaira
The Very Best Of Neil Diamond, Super Furry Animals
The Voice, Queensrÿche
The Vulture (Act I & II), Gallows
The Way I Live, KRS-One & Buckshot 
The Weary Kind , Ryan Bingham
The Wind Did Move, Dex Romweber Duo
The Wine, Leonard Mynx
The Woman Of The Snow, Faith & the Muse
The Wrestler, Bruce Springsteen
The Young Eyes, Sara Lov
Then, Brad Paisley
Therapy, India.Arie
Therapy, All Time Low
There Goes My Baby, Charlie Wilson
There Will It End, Sweet Billy Pilgrim
There's a Memory, Jimmy Wayne
"There, There, Katie", Jack's Mannequin
These Are My Twisted Words, Radiohead
These Roads Don't Move, Jay Farrar and Ben Gibbard
Thick As Thieves, Kasabian
Things I Believe, Jimmy Wayne
Things That Matter, Rascal Flatts
Think I Need It Too, Echo & the Bunnymen
Thinkin' About You, Mario
This Ain't Goodbye, Train
This Close, Flyleaf
This Could Be the Year, Ryan Star
This Day We Fight! , Megadeth
This Dream of You, Bob Dylan
This House is Full of Noise, Editors
This Is It, Michael Jackson
"This is not a Song, it's a Sandwich", Psychostick
This Is War, 30 Seconds to Mars
This Joke Sport Severed, Manic Street Preachers
This Momentary, Delphic
This Place, Rancid
This Sacrifice, Jann Klose
This Time, Shirley Bassey
This Tornado Loves You, Neko Case
Through The Pain, Madina Lake
Throw It In the Bag, Fabolous
Thumb Hang, Anvil
Thunder, The Prodigy
Thunderclap for Bobby Pyn, Sonic Youth
Tidal Wave, Owl City
Tie Me Down, New Boyz
Tigerlily, La Roux
TiK ToK, Kesha
Til Summer Comes Around, Keith Urban
Tim Smith, The Wildhearts
Time, Chris Cornell
Time, Creed
Time Bomb, Dave Matthews Band
Time Flies, Porcupine Tree
Time For Miracles, Adam Lambert
Time to Get a Gun, Miranda Lambert
Time To Let Me Go, Gloriana
Time to Unwind, Chester French
Time Turns Elastic, Phish
Time's Arrow, Thursday
Timshel, Mumford & Sons
Tiny Heart, Flyleaf
To All the Lights in the Windows, Conor Oberst
To Be Still, Alela Diane
To Be What You Must, Yusuf Islam
To Break Free, Alexis Babini
To Hell & Back, blessthefall
To Lose My Life, White Lies
To Lose Someone, Taken by Trees
To Love Again, Alesha Dixon
To the Top, Ryan Leslie
Together, Ruben Studdard
Tomorrow, Sean Kingston
Tomorrow in the Bottle, Timbaland
Tonight, Jay Sean
Tonight, The Answer
Tonight's Today, Jack Peñate
Too Far Gone, The Answer
Too Many Rappers, Beastie Boys
Torch Song, AFI
Tough Love, Forever the Sickest Kids
Tourist, Julian Casablancas
Toy Boy, Mika
Transformation, David Gray
Trapped in a Basement, Black Lips
Treasure Hunt, Howling Bells
Treat Me Like Your Mother, The Dead Weather
Trinity, Paper Tongues
Triple Mass, Flipper
Trippin' Down The Freeway, Weezer
Triumph, Wale
Trouble Train, The Brian Setzer Orchestra
Truck Stop Blues, New Found Glory
True Love 1980, Ash
Truth is a Lie, Day26
Try Sleeping With a Broken Heart, Alicia Keys
Try To Survive, Chimaira
Tryna Be Me, Tinchy Stryder
Tulip, Jesca Hoop
Turn It Off, Paramore
Turn It On, Franz Ferdinand
Turn It Up, Pixie Lott
Turn Right, Jonas Brothers
Turn Your Back, Billy Talent
Turned to Stone, Beverley Knight
Turning Home, David Nail
Turntables, Ciara
Twang, George Strait
Twerk, Basement Jaxx
Twilight Galaxy, Metric
Twilight Omens, Franz Ferdinand
Two Hands, Jars of Clay
Two Is Better Than One, Boys Like Girls
Two Planets, Bat for Lashes
Two Weeks, Grizzly Bear
Typical Time 2, The View
Ulysses, Franz Ferdinand
Umbrella Beach, Owl City
Un-thinkable (I'm Ready), Alicia Keys
Unafraid, Queensrÿche
Unapologize, Carrie Underwood
Unbalanced Pieces, Soulsavers
Under Control, Parachute
Under The Sheets, Ellie Goulding
Underdog , Kasabian
Undisclosed Desires, Muse
Undo It, Carrie Underwood
Undone, Backstreet Boys
Unexpected, The View
Unfinished Business, White Lies
Unintended Long Term Effects, Thursday
United Breaks Guitars, Sons of Maxwell
United States of Eurasia, Muse
Unknown Caller, U2
Unnatural Selection, Muse
Unstoppable, Rascal Flatts
Unthought Known, Pearl Jam
Until The Whole World Hears, Casting Crowns
Untouchable, Girls Aloud
Up In Smoke, Blackberry Smoke
Up Out My Face, Mariah Carey
Up To No Good, Rancid
"Up, Up & Away", Kid Cudi
Uppercut, Stereophonics
Uprising, Muse
Uptown, Drake
Used to Be, UGK
Useful Chamber, Dirty Projectors
Usual Suspects, Rick Ross
Valentina, Prince
Valley of Death, Rick Ross
Valley Of The Kings, Saxon
Vanilla Twilight, Owl City
Vanity Kills, Codeine Velvet Club
Vanity Kills, Ian Brown
Veronica Sawyer Smokes, AFI
Vertical Rhythm, The Gossip
Very Busy People, The Limousines
Vices, Brand New
Video Phone, Beyoncé
Virginia Bluebell, Miranda Lambert
Virginia State Epileptic Colony, Manic Street Preachers
Virgo Self-Esteem Broadcast, The Flaming Lips
Vlad The Impaler, Kasabian
Voices, Rev Theory
Vortex The Plug Monster, Paddy Wex
Vox Populi , 30 Seconds to Mars
Waidmanns Heil, Rammstein
Wait, Chris Brown
Wait for You, Atreyu
Wait It Out, Imogen Heap
Wait Your Turn, Rihanna
Waiting, Norah Jones
Walk, Jet
Walk Away, Five Finger Death Punch
Walk on the Water, Britt Nicole
Walk That Walk, Dorrough
Walk The Fleet Road, Editors
Walkin' Blue, Sonic Youth
Walkin' Mat, The Answer
Walkin' On The Moon, The-Dream
Wall, Enter Shikari
Wall Of Arms, The Maccabees
Wall of Berlin, Prince
Wallet, Regina Spektor
Want, Natalie Imbruglia
Wanted, Jessie James Decker
Wapas Karna, Taken by Trees
War, Sean Kingston
War, Jay Sean
War Is the Answer, Five Finger Death Punch
War of My Life, John Mayer
Warrior's Dance, The Prodigy
Wasted, Gucci Mane
Watch The Sun Come Up, Example
Watch You Go, Jordin Sparks
Watching the Planets, The Flaming Lips
Water, Brad Paisley
Water and a Flame, Daniel Merriweather
Wavin' Flag, K'NAAN
We All Are One, Donnie McClurkin
We Are Golden, Mika
We Got Hood Love, Mary J. Blige
We Made You, Eminem
We Might Fall, Ryan Star
We Miss You, Busta Rhymes
We Must Be Heard, DJ Drama
We Run the World, Wonderlick
We Run Things, Jamie Cullum
We Threw It All Away, Jason Michael Carroll
We Want In, Busta Rhymes
We Were Wasted, The Leisure Society
We Weren't Born To Follow, Bon Jovi
We'll Be a Dream, We the Kings
Wedding Day Blues, Taylor Hicks
Weightless, All Time Low
Welcome Home, Yusuf Islam
Welcome to England, Tori Amos
Welcome To Oblivion, Madina Lake
Welcome to the Future, Brad Paisley
West Ryder Silver Bullet, Kasabian
What Am I Waiting For, Heidi Newfield
What Are We Going to Do Now, Diamond Rio
What Are You Waiting For?, Miranda Cosgrove
What Can I Say, Carrie Underwood
What Did I Do to Your Heart, Jonas Brothers
What Do I Have To Do, Martina McBride
What Do You Want From Me, Forever the Sickest Kids
What Faith Can Do, Kutless
What I Do, Chris Brown
What If, Jadakiss
What If , Ashley Tisdale
What It Feels Like, FFH
What It Means To Be Loved, Mark Schultz
What Love Can Do, Bruce Springsteen
What She Came For , Franz Ferdinand
What We Know, Sonic Youth
What We Talkin' About, Jay-Z
What Would I Want? Sky, Animal Collective
What's Right Is Right, Taylor Hicks
What?, Rob Zombie
Whataya Want From Me, Adam Lambert
Whatcha Say, Jason Derulo
Whatever You Want, Consequence
Wheel of Fortune, Busta Rhymes
Wheels, Foo Fighters
Wheels, Jamie Cullum
When I Look at You, Miley Cyrus
When I Still Believed, Rescue Signals
When I'm Small, Phantogram
When It Comes To Love, Foreigner
When Lightning Strikes, Kiss
When Love Takes Over, David Guetta
When She Took Off Her Shirt, Wonderlick
When We Were Beautiful, Bon Jovi
Where Did All The Love Go?, Kasabian
Where Have I Been All My Life, George Strait
Where My Christmas Lives, 3 Doors Down
Where the Lines Overlap, Paramore
Where We Are, Westlife
While You Wait For The Others, Grizzly Bear
White as Snow, U2
White Blank Page, Mumford & Sons
White Boy From Sacramento, Timothy B. Schmit
White Liar, Miranda Lambert
White Lies, Mr. Hudson
White Shoes, Conor Oberst
White Socks/Flip Flops, Super Furry Animals
White Sparrows, Billy Talent
Who Can Say, The Horrors
Who I Am, Nick Jonas & the Administration
Who I Was Born To Be, Susan Boyle
Who Says, John Mayer
Who'd Have Known, Lily Allen
Whole Lotta Losin' , Monsters of Folk
Why, Rascal Flatts
Why, Basshunter
Why Don't We Just Dance, Josh Turner
Why Don't You, Gramophonedzie
Why I Am, Dave Matthews Band
Why R U?, Amerie
Why U Wanna Go?, Sean Kingston
Why Wait, Shakira
Why'd You Change Your Mind, The Answer
Why's It Feel So Long, Keith Urban
Whyyawannabringmedown, Kelly Clarkson
Wide Open, Jason Aldean
Wide Open Spaces, FFH
Wiener Blut, Rammstein
Wilco (The Song), Wilco
Wild About It, Natalie Imbruglia
Wild at Heart, Gloriana
Wild Girl, Rickie Lee Jones
Wild Horses, Susan Boyle
Wild Young Hearts, The Noisettes
William's Last Words, Manic Street Preachers
Winter Hill, Doves
Winter Winds, Mumford & Sons
With Lights Out, Red Light Company
With Twilight as My Guide, The Mars Volta
Wither, Dream Theater
Won't Do That, Robbie Williams
Won't Let Go, Newton Faulkner
Won't Want For Love (Margaret In The Taiga), The Decemberists
Wonderful, Gary Go
Woods, Bon Iver
Word Forward, Foo Fighters
Words of Spectacular, Red Light Company
Wordshaker, The Saturdays
Work, Ciara
Work, The Saturdays
Work For The Working Man, Bon Jovi
"Work Hard, Play Harder", Gretchen Wilson
Working Week, Speech Debelle
World Behind My Wall, Tokio Hotel
World Go Round, Busta Rhymes
World Machine (Universal), Wedlock
World of Chances, Demi Lovato
World So Cold, Three Days Grace
World Tour, Wale
World War III, Jonas Brothers
World's on Fire, The Prodigy
Worldwide, Conor Oberst
Worm Mountain, The Flaming Lips
Worst Day, Calvin Harris
Worst Enemy, Gucci Mane
Worth It, Whitney Houston
Would I Be Wrong? , Game
Wraithlike, Maxïmo Park
Written All Over My Face, Kris Allen
Written On Her, Birdman
Wrong, Depeche Mode
Wrong Baby Wrong Baby Wrong, Martina McBride
Wrong Team, Ishmael McLean
WTF?, OK Go
Yacht Music, DJ Drama
Yeah Yeah Yeah La La La, Calvin Harris
Yesterday, Toni Braxton
Yet, Switchfoot
Yet To Say, Halfdown Thomas
You, Collective Soul
You And I, Wilco
You and Me, Dave Matthews Band
You And Me Are Gone, Jamie Cullum
You Better Pray, The Red Jumpsuit Apparatus
You Broke My Heart, Alexandra Burke
You Can Get It All, Bow Wow
You Do the Math, Brad Paisley
You Don't Care, Leona Lewis
You Don't Have a Clue, Röyksopp
You Don't Know Me, Allison Iraheta
You Got Me, Crash Kings
You Know Me, Robbie Williams
You Love Me Anyway, Sidewalk Prophets
You Make it Feel Like Christmas, Neil Diamond
You Never Know, Wilco
You Never Know, Darryl Worley
"You Want It, You Got It", Rancid
You Were Good In Your Time, Morrissey
You Won't Relent (Seal), Misty Edwards
You Wouldn't Cry (Andrew's Song), Mandisa
You'll Always Find Your Way Back Home, Hannah Montana
You're a Jerk, New Boyz
You're Not Alone, Tinchy Stryder
You're Not in on the Joke, Cobra Starship
You're Not My Girl, Ryan Leslie
You're the One, Hoobastank
Young Blood, Norah Jones
Young Forever, Jay-Z
"Young, Dumb, and Stung", Say Anything
Your Bats, The Flaming Lips
Your Decision, Alice in Chains
Your Heels, Day26
Your Love Is A Song, Switchfoot
Zero, Yeah Yeah Yeahs
Zorbing, Stornoway
Zzzonked, Enter Shikari
¡Viva La Gloria!, Green Day
¿Viva La Gloria? (Little Girl), Green Day
