#Beautiful, Mariah Carey
Permanent Stain, Backstreet Boys
Permawar, Ministry
Phantom Limb, Alice in Chains
Pheromone Cvlt, Letlive
Phoenix, A$AP Rocky
Picasso Baby, Jay-Z
Picture A Knife Fight, Biffy Clyro
Picture In A Frame, Rod Stewart
Picture Me In A Hospital, Babyshambles
Picture Perfect, Escape the Fate
Piece By Piece, Anna Calvi
Pieces, Gary Allan
Pigs," Tyler, the Creator"
Pink Champagne, Caitlin Rose
Pink Fields, Neon Hitch
Pink Rabbits, The National
Pinstripes, Goodie Mob
Pioneer, The Band Perry
Plain View, Amos Lee
Planets, Avenged Sevenfold
Plastic Roses, Jessica Sanchez
Play It Again, Luke Bryan
Playing With Fire, Katie Armiger
Please Don't Say You Love Me, Gabrielle Aplin
Pocket, Biffy Clyro
Point At You, Justin Moore
Polaroid Picture, Frank Turner
Pom Poms, Jonas Brothers
Pompeii, Bastille
Pop Bottles, SkyBlu
Pop?, Wretch 32
Popular Song, Ariana Grande
Postcards, James Blunt
Pound Cake/Paris Morton Music 2, Drake
Power, Kat Graham
Power, Goodie Mob
Power Of A Love Song, Tate Stevens
Power of a Song, Randy Houser
Power Trip, J. Cole
Powerless, Rudimental
Pray, Sanctus Real
Pray, Kodaline
Preacher, OneRepublic
Preacher's Daughter, Maggie Rose
Prehistoric Dog, Red Fang
Prelude, Foals
Pressing On A Bruise, Brad Paisley
Pressure, Max Marshall
Pressure, Chase & Status
Pretty, The Weeknd
Pretty Brown Eyes, Cody Simpson
Pretty Hurts, Beyoncé
Pretty Lady, Jake Bugg
Pretty Time Bomb, Sam Phillips
Prey For Me, Korn
Pride, Buckcherry
PrimeTime, Janelle Monáe
Promise (You Won't Break My Heart), Eddie Murphy
Proof, Paramore
Proof of Life, Scott Stapp
Providence, Foals
Provider, Midlake
Provision, August Burns Red
Psalm, Apocalyptica
Pump And Squeeze Me, Wrong Direction
Punk (La Vie Antérieure), Deerhunter
Punkyoungirl, Adam Ant
Purple Shadows, Seasick Steve
"Purple, Yellow, Red And Blue", Portugal. The Man
Push The Sky Away, Nick Cave & the Bad Seeds
Pusher Love Girl, Justin Timberlake
"Put On, Cologne", Donovan Woods
Put Your Two's Up, Rizzle Kicks
PYD, Justin Bieber
Pyres Of Varanasi, 30 Seconds to Mars
Q.U.E.E.N, Janelle Monáe
Quand C'est, Stromae
Queen of Hearts, We the Kings
Queen of the Field, Alicia Keys
Queenie Eye, Paul McCartney
R U Crazy, Conor Maynard
R.A.F., Lil Wayne
Radiant, Everything Everything
Radiate, Enter Shikari
Radiate, Jack Johnson
Radio, Darius Rucker
Radio Silence, Frightened Rabbit
Railroads, Holly Williams
Raise 'Em Up, Keith Urban
Raising Hell, Bullet For My Valentine
Ramblin' Jack, Kris Kristofferson
Rap God, Eminem
Rat a Tat, Fall Out Boy
Rat Farm, Meat Puppets
Rat Race, Enter Shikari
Ratchet, Bloc Party
Raven, Mark Owen
Ravo, Sam and the Womp
Raw Material, Deap Vally
Reach Out Richard, Mayer Hawthorne
Read My Lips, Ciara
Ready, Fabolous
Ready, B.o.B
Ready Set Roll, Chase Rice
Ready to Die, The Stooges
Ready To Question, Gabrielle Aplin
Real, Gorgon City
Real & True, Future
Really Don't Care, Demi Lovato
Rebel Beat, The Goo Goo Dolls
Recover, Chvrches
Recovery, Frank Turner
Recovery, Justin Bieber
Recovery, James Arthur
Red Camaro, Keith Urban
Red City, Stone Sour
Red Eye, Kid Cudi
Red Lights, Tiesto
Red Nose, Sage The Gemini
Redemption, Queensrÿche
Redneck Crazy, Tyler Farr
Redshift, Darwin Deez
Reflections, Petula Clark
Reflektor, Arcade Fire
Release The Panic, Red
Reload, Wiley
Reload, Sebastian Ingrosso
Remember, Mac Miller
Remember Me, The Red Jumpsuit Apparatus
Remix (I Like The), New Kids on the Block
Rendez-vous, Dani Clay
Repent Replenish Repeat, dan le sac Vs Scroobius Pip
Replay, Zendaya
Requiem, Avenged Sevenfold
Requiem, Gary Barlow
Rescue, Yuna
Resolution, Matt Corby
Retrograde, James Blake
Reverse Running, Atoms For Peace
Revolution, Building 429
Rewind, Devlin
Rewind The Film, Manic Street Preachers
Rhyme Or Reason, Eminem
Ribs, Lorde
Rick James, Nelly
Right, Bubba Sparxxx
Right Action, Franz Ferdinand
Right Hand, Drake
Right Here, Rudimental
Right Now, One Direction
Right There, Ariana Grande
Ring For Sale, Kellie Pickler
Riot, Bullet For My Valentine
Riptide, Vance Joy
Rise, Skillet
Rise & Fall, Michael Molloy & Alex Evans
Rise Up, Beyoncé
River Of Pain, Primal Scream
Road, Paul McCartney
Roar, Katy Perry
Robbers, The 1975
Rock, Orianthi
Rock City, Kings of Leon
Rock N Roll, Avril Lavigne
Rocket, Beyoncé
Roller Coaster, Justin Bieber
Roller Coaster, Luke Bryan
Room 24, Volbeat
Rose Tattoo, Dropkick Murphys
Rough Detective, The Dead Weather
Rough Water, Travie McCoy
Route 3 Box 250 D, Randy Houser
Royals, Lorde
Ruby Puts Her Red Dress On, Joel Crouse
Rumour, Chlöe Howl
Run, Sick Puppies
Run, Joel Compass
Run From You, Max Gomez
Runaway, J. Cole
Runnin' Outta Moonlight, Randy Houser
Running, John Newman
Running from the Moon, Dean Madonia
Running If You Call My Name, Haim
Running Out Of Fantasy, Manic Street Preachers
Running To The Sea, Röyksopp
Rusty," Tyler, the Creator"
Ruthless, DevilDriver
RVA All Day, No BS! Brass Band
S.A.D., Mark Owen
S.D.S., Mac Miller
S.N.I.T.C.H., Pusha T
S.O.S. In Bel Air, Phoenix
Sabotage, Suede
Sacred Heart, The Civil Wars
Sacrilege, Yeah Yeah Yeahs
Sad Angel, Fleetwood Mac
Sadako Folding Cranes, Laura Veirs
Safe, Katie Armiger
Safe In Sound, Sub Focus
Safe to Say I've Had Enough, Seether
Safe With Me, Sam Smith
Sailor's Prayer, The Devil Wears Prada
Saints & Sinners, Bullet For My Valentine
Sally Ride, Janelle Monáe
Salute, Little Mix
Salvation, Gabrielle Aplin
Salvation, Skillet
Same Disease, Red
Same Old Same Old, The Civil Wars
Same On The Inside, Stone Temple Pilots
Sandman, Hurts
Santa's Prayer, Restless Heart
Sasquatch, Earl Sweatshirt
Satellite, Nine Inch Nails
Satellite Call, Sara Bareilles
Saturday, Rebecca Black
Saturday Night, Natalia Kills
Save Me, Bo Bruce
Save Rock and Roll, Fall Out Boy
Save The Day, Selena Gomez
Save the Night, John Legend
Save Us, Paul McCartney
Say Demesne, Johnny Marr
Say It's Not True, Roger Taylor
Say Something, A Great Big World
Say You Like It, Blue Sky Riders
Scared, Zendaya
Scared, Paul McCartney
Screwdriver, Prince
Sea Of Love, The National
Searchlight, Thousand Foot Krutch
Seasonal Love, Sean Kingston
Second Bite Of The Apple, Beady Eye
Secret To The End, Depeche Mode
See Me Like This, Stooshe
See You Tonight, Scotty McCreery
Seen It All Before, Bring Me The Horizon
Selma Drye, Kellie Pickler
Semicolon, The Lonely Island
Send It Up, Kanye West
Settle Down, The 1975
Seven Nights Seven Days, The Fratellis
Seven Shades Of Nothing, Babyshambles
Seven Ways To Die, Buckcherry
Sever, We As Human
Sex Never Felt Better, TGT
Sexodus, M.I.A.
Sexual Religion, Rod Stewart
Sexxx Dreams, Lady Gaga
Sexy Lady, Jessie J
Sexy People (The FIAT Song) , Arianna
Shabba, A$ap Ferg
Shadow Moses, Bring Me The Horizon
Shadow to Shadow, Dean Madonia
Shake It Off, Secondhand Serenade
Shaker Aamer, PJ Harvey
Shame, Keith Urban
Shame The Devil, No Malice
Shameless, Lissie
Shape, Tinie Tempah
Shape Shifter, Amon Amarth
Share With Me, Dayshell
She, Laura Mvula
She Ain't Speakin' Now, Of Montreal
She Changes the Weather, Swim Deep
She Knows, J. Cole
She Knows, Dani Clay
She Makes Me Happy, Rod Stewart
She Will, Savages
She's So Fine, The Strypes
Shepherd Of Fire, Avenged Sevenfold
Shine A Light, Beady Eye
Shine My Shoes, Robbie Williams
Shock To Your System, Tegan and Sara
Shot At The Night, The Killers
Shot Reverse Shot, Jack Johnson
Shotgun, Sheryl Crow
Shotgun Shoes, The Fratellis
Should Be Higher, Depeche Mode
Should've Gone To Bed, Plain White T's
Shouldn't Come Back, Demi Lovato
Shouting In The Evening, Pet Shop Boys
Shovel In Hand, Amy Grant
Show 'Em (What You're Made Of), Backstreet Boys
Show Me, Kid Ink
Show Me Love (America), The Wanted
Show Me The Wonder, Manic Street Preachers
Show Me What You're Workin' With, Toby Keith
Show Out, Juicy J
Shut it Down, Luke Bryan
Shut Up, Savages
Shut Up (And Give Me Whatever You Got), Amelia Lily
Shut Up And Hold On, Toby Keith
Sick of It, Skillet
Side A (Old), Danny Brown
Side Effects Of You, Fantasia
Sierra Leone, Big Sean
Sight Of The Sun, Fun.
Silhouettes, Of Monsters and Men
Silver and Gold, Noah and the Whale
Simone, Goldfrapp
Simple Man, Wale
Sing Like a Wire, Sleigh Bells
Sing To Me, Anna Calvi
Sirens, Tom Odell
Sirens, Cher
Sirens, Pearl Jam
Sitting on the Roof of the World, Dido
Skip To The Good Bit, Rizzle Kicks
Skirt, Kylie Minogue
Sky Walker, Kelly Rowland
Skylight, Biffy Clyro
Skyscraper, Sam Bailey
Slave, Yeah Yeah Yeahs
Sleepwalker, Bonnie McKee
Sleepwalking, Bring Me The Horizon
Sleepwalking, Lissie
Slip, Stooshe
Slipped, The National
Slipping Away, Mudhoney
Sloth, Buckcherry
Slow Down, Selena Gomez
Slow It Down, The-Dream
Slow Me Down, Sara Evans
Slow Suicide, Scott Stapp
Slumville Sunrise, Jake Bugg
Small Plane, Bill Callahan
Small Town Big Time, Blake Shelton
Smile Mona Lisa, will.i.am
Smokin' Rollin, Juicy J
Smooth Sailing, Queens of the Stone Age
SMS (Bangerz), Miley Cyrus
Snake Road, Ron Sexsmith
Snap Out Of It, Arctic Monkeys
Sneak Out The Back Door, Ron Sexsmith
Snow In California, Ariana Grande
So Far Away, Red
So Far..., Eminem
So Much Better, Eminem
So NY, Fabolous
So She, David Bowie
Soda Pop, Robbie Williams
Soldierhead, Newsted
Solo Dolo Part II, Kid Cudi
Somebody Else, Mario
Somebody Loves Somebody, Celine Dion
Somebody Loves You, Betty Who
Somebody To Die For, Hurts
Someday, Julian Lennon
Someday (Place in the Sun), Tinie Tempah
Someone (2.0), Boston
Someone Else, Miley Cyrus
Someone Somewhere Tonight, Kellie Pickler
Something Better, Flyleaf
Something Great, One Direction
Something I Need, OneRepublic
Something More, Scotty McCreery
Something Really Bad, Dizzee Rascal
Sometimes, Jay Nash
Somewhere East of Eden, Joe Grushecky and the Houserockers
Somewhere In My Car, Keith Urban
Somewhere Only We Know, Lily Allen
Somewhereinamerica, Jay-Z
Song For Someone, Vertical Horizon
Song For Zula, Phosphorescent
Sonnentanz (Sun Don't Shine), Klangkarussell
Soon Come Tomorrow, Beady Eye
Sophomore, Ciara
Sorry, Naya Rivera
Sorry For Partying, Thomas Rhett
Soul Love, Beady Eye
Soulmates to Strangers, Joan Jett
Soundbwoy, Stylo G
Sounds Like Balloons, Biffy Clyro
Southern Girl, Tim McGraw
Southern Way Of Life, Deana Carter
Spaceship Coupe, Justin Timberlake
Spaghetti, Emblem3
Spanish Radio, Biffy Clyro
Spark, Hawthorne Heights
Sparks Will Fly, J. Cole
Special Delivery, Bridget Kelly
Special Education, Goodie Mob
Speed, Avicii
Spicy Moments, Badi Assad
Spiderhead, Cage the Elephant
Spike In My Veins, Korn
Spirit Breaker, August Burns Red
Spiritual, Katy Perry
Spitfire, LeAnn Rimes
Spread The Love, Kenny Chesney
Stand On The Horizon, Franz Ferdinand
Standing On One Leg, Nina Nesbitt
Standing on the Sun, Beyoncé
Starlight, Dionne Warwick
Stars, Mark Owen
Start Anew, Beady Eye
Started From The Bottom, Drake
Stay At Home Mother, Sheryl Crow
Stay Awake, Ellie Goulding
Stay Away, Charli XCX
Stay Out, Nina Nesbitt
Stay Ready, Jhené Aiko
Stay The Night, Zedd
Stay With Me, OMD
Stay Young, Okkervil River
Step, Vampire Weekend
Step Off, Kacey Musgraves
Stepson, Foals
Sticks & Stones, Stryper
Still Got A Finger, Blake Shelton
Still Into You, Paramore
Stitches, Crystal Bowersox
Stoicville, T-Pain
Stolen Dance, Milky Chance
Stone, Alice in Chains
Stoop So Low, Gov't Mule
Stop It, Juicy J
Stop the World I Wanna Get Off With You, Arctic Monkeys
Stories Don't End, Dawes
Storm Passes Away, Jake Bugg
Story of My Life, One Direction
Straight Out the Gate, Tech N9ne
Strangely Dim, Francesca Battistelli
Strawberry Bubblegum, Justin Timberlake
Street Dreamin', Bridget Kelly
Strife, Savages
Strife, Trivium
Strike Back, We As Human
Stripes, Brandy Clark
Strong, Will Hoge
Strong, London Grammar
Strong, One Direction
Strong Hand, Chvrches
Stronger Than I Was, Eminem
Stuck Together, Atoms For Peace
Stunner, dan le sac Vs Scroobius Pip
Subway, Yeah Yeah Yeahs
Suddenly, Hugh Jackman
Suddenly, Anna Calvi
Suffering From Success, DJ Khaled
Sugar, Editors
Sugar and Spice, Willow Smith
Sugarcane, Sleigh Bells
Sugarstone, Peace
Suit & Tie, Justin Timberlake
Suitcase, Gwen Sebastian
Summer Fling, Melodic Chaotic
Summer Forever, Megan Nicole
Summertime of Our Lives, Cody Simpson
Sun, Belinda Carlisle
Sun & Moon, Johnny Marr
Sunday, Earl Sweatshirt
Sunny and 75, Joe Nichols
Super Collider, Megadeth
Super Turnt Up, Ciara
Superhuman, Andy Mineo
SuperLove, Charli XCX
Superpower, Beyoncé
Supersoaker, Kings of Leon
Supersymmetry, Arcade Fire
Supposed To Be, Tom Odell
Sure Be Cool If You Did, Blake Shelton
Surprise, Filter
Surrender to Reason, Dream Theater
Survival, Eminem
Susanna, Lori McKenna
Swallow My Pride, Billy Bragg
Swallowed Whole, Pearl Jam
Sway, Blue October
Sweat Shock, J Roddy Walston & The Business
Sweater Weather, The Neighbourhood
Sweet, Meat Puppets
Sweet Darlin', Portage and Main
Sweet Serenade, Pusha T
Sweeter Than Fiction, Taylor Swift
Swine, Lady Gaga
Swings Both Ways, Robbie Williams
Symphony of Light, Renaissance
Take A Fall For Me, James Blake
Take a Little Pill, Brandy Clark
Take Back the Night, Justin Timberlake
Take It Back, The Temperance Movement
Take It Easy On Me, Robin Thicke
Take It Like a Man, Cher
Take It or Leave It, Cage the Elephant
Take Me Home, Cash Cash
Take Me to Church, Hozier
Take That Knife Out Of My Back, Filter
Take the Bullets Away, We As Human
Take The Night Off, Laura Marling
Take You Home, Thomas Rhett
Tales Of Woe, Leslie West
Talk A Good Game, Kelly Rowland
Talk Dirty, Jason Derulo
Talkin' Bout, Juicy J
Tamale," Tyler, the Creator"
Tape Deck, Jack Johnson
Tapout, Rich Gang
Tattoo, Jason Derulo
Tattooed Heart, Ariana Grande
Taurobolium, Devendra Banhart
Team, Lorde
Tears on Tape, HIM
Tears Run Dry, Tinie Tempah
Teenage Kings, Emblem3
Teeth, Cage the Elephant
Telescope, Cage the Elephant
Tell Me How To Live, Capital Cities
Tell Tale Signs, Frank Turner
Temple, Kings of Leon
Ten Times Crazier, Blake Shelton
Tennis Court, Lorde
Text Me Texas, Chris Young
Thank You, Busta Rhymes
That Girl, Justin Timberlake
That Girl, Jennifer Nettles
That Kind Of Lonely, Patty Griffin
That's Alright, Laura Mvula
That's Alright With Me, Olly Murs
That's Classic, Rizzle Kicks
That's How I Know You Love Me, Justin Moore
That's How I Was Raised, Alabama
That's Just Me, Deana Carter
That's My Game, Tech N9ne
That's My Kind of Night, Luke Bryan
That's So Me and You, Thompson Square
That's Why God Made A Front Porch, Craig Campbell
The 90's, Lisa Loeb
The Americans Theme, Nathan Barr
The Appetite, DevilDriver
The Appleblossom Rag, Josh Ritter
The Art Of Letting Go, Mariah Carey
The Ballad of Keenan Milton, Devendra Banhart
The Ballad Of Travis Alexander (The Jodi Arias Trial Song), Michael Reichstein
The Bear With The Maiden Fair, The Hold Steady
The Beginning..., John Legend
The Bell, Villagers
The Best Thing (That Never Happened), We Are the In Crowd
The Bigger Picture, Dream Theater
The Call, Garth Brooks
The Call (No Need To Say Goodbye), The Poppy Girls
The Conversation, Texas
The Crack Up, Johnny Marr
The Crow, Hurts
The Curse, Agnes Obel
The Day After Thanksgiving, Brandon Heath
The Death of Me, Asking Alexandria
The Departed, The Stooges
The Devil Is A Lie, Rick Ross
The Devil Put Dinosaurs Here, Alice in Chains
The Distance, Funeral for a Friend
The Diving Board, Elton John
The Divinity of Purpose, Hatebreed
The Dress Makes the Man, Hawksley Workman
The Eater Of Dreams, Nine Inch Nails
The End Of All Things, Panic! At The Disco
The End of the Night, Dropkick Murphys
The Enemy Inside, Dream Theater
The First Day of School, Joe Grushecky and the Houserockers
The First Step, August Burns Red
The Fisher King Blues, Frank Turner
The Fog, Biffy Clyro
The Fox, Ylvis
The Future Will Be Silent, OMD
The Game of Love, Daft Punk
The Garden, Devlin
The Ghost Of The Mountain, Tired Pony
The Giving Tree, Plain White T's
The Good Good, Snoop Lion
The Good Life, Robin Thicke
The Great Velocipede Migration, S. J. Tucker
The Greatest Gift, Wanz
The Hate Song, Soil
The Heart of Dixie, Danielle Bradbery
The Hell in Me, Killswitch Engage
The Highway, Holly Williams
The Hopie Song, Jon Patrick Walker
The House Is Dust, Everything Everything
The House of Gold & Bones, Stone Sour
The House Of The Rising Sun, Five Finger Death Punch
The House Of Wolves, Bring Me The Horizon
The Hurry and The Harm, City and Colour
The Informer, David Bowie
The Joke's On Us, Biffy Clyro
The Language, Drake
The Last Ship, Sting
The Leopard and the Lung, The Joy Formidable
The Light In Your Name, These New Puritans
The Little Drummer Boy, Pentatonix
The Looking Glass, Dream Theater
The Love Club, Lorde
The Low Highway, Steve Earle
The Magic Kid, Hayes Carll
The Man, Aloe Blacc
The Messenger, Johnny Marr
The Mighty Fall, Fall Out Boy
The Moment We Come Alive, Red
The Mona Lisa, Brad Paisley
The Monster, Eminem
The Moon is Shining (Somewhere Over the Sea), Blackmore's Night
The Morning After, Ashley Monroe
The Morning Light, Ron Sexsmith
The Mother We Share, Chvrches
The Motion, Drake
The Nameless One, Volbeat
The New Kings, Attila
The Next Day, David Bowie
The Old and the Young, Midlake
The One, Tamar Braxton
The One That Got Away, The Civil Wars
The Other Side, Jason Derulo
The Other Side, The Winery Dogs
The Other Side Of Him, Toby Keith
The Outsiders, Eric Church
The Peaks, Everything Everything
The Perfect Life, Moby
The Perfect Song, Michael Ball
The Phoenix, Fall Out Boy
The Puppet Has Cut His Strings, Elvis Costello
The Race, 30 Seconds to Mars
The Right Thing Right, Johnny Marr
The Road, Hurts
The Road, Asking Alexandria
The Road You Take, Court Yard Hounds
The Saints, Andy Mineo
The Simple Life, Drake White
The Sinking Night, AFI
The Songs Of Danny Galway, Prefab Sprout
The South, The Cadillac Three
The Spark, Afrojack
The Star Room, Mac Miller
The Stars (Are Out Tonight), David Bowie
The Sting, Gabriella Cilmi
The Temptation of St. Anthony, Alkaline Trio
The Terror, The Flaming Lips
The Thaw, Biffy Clyro
The Town, The Weeknd
The Turnaround, The Joy Formidable
The Turnaround, Eels
The Uncanny Valley, Stone Sour
The Uninvited, Alter Bridge
The Universe Expanded, Franz Ferdinand
The Vampyre of Time and Memory, Queens of the Stone Age
The Vapors, Jhené Aiko
The Walker, Fitz and the Tantrums
The Way, Ariana Grande
The Way I Do, Seasick Steve
The Way I Tend To Be, Frank Turner
The Way It Used To Be, Mike Posner
The Way We Fall, Alela Diane
The Way You Look Tonight, Boston
The Wire, Haim
The Woman I Am, Kellie Pickler
The Woods, Juicy J
The World Is Ours, David Correy
The World We Knew, DAUGHTRY
The Worst, Lisa Loeb
The Worst, Jhené Aiko
The Wrong Side of Heaven, Five Finger Death Punch
Then We Kiss, Icona Pop
There Goes Our Love Again, White Lies
There's A Beast And We All Feed It, Jake Bugg
These Four Walls, Little Mix
They Decided Not to Like Us, Hawksley Workman
They Don't Know, Rico Love
Things We Lost in the Fire, Bastille
Think About It, Naughty Boy
Third Arm, Josh Ritter
Thirst, City and Colour
This is Amazing Grace , Phil Wickham
This Is America, Ashton Shepherd
This Is Gospel, Panic! At The Disco
This Is How We Do, Katy Perry
This Is How We Roll , Florida Georgia Line
This Is What It Feels Like, Armin van Buuren
This Ladder is Ours, The Joy Formidable
This Life, The Afters
This Means War, Avenged Sevenfold
This Moment, Katy Perry
This Side Of The Sky, Cast of Stephen Ward the Musical
This Sullen Welsh Heart, Manic Street Preachers
Those Crazy Christians, Brad Paisley
Three Months, Local Natives
Through Blood and Dirt and Bone, Trivium
Through It All, Device
Through The Dark, One Direction
Throwback, B.o.B
Thunder, Jessie J
Thursday, Pet Shop Boys
Ticking Bomb, Aloe Blacc
Tie It Up, Kelly Clarkson
Tiger Kit, Sleigh Bells
Tik Tik Boom, Britney Spears
Til It's Gone, Britney Spears
Timber, Pitbull
Time Machine, The Winery Dogs
Time Machine, Devon Allman
Time Machine, Frank Turner
Time Will Not Remain, Killswitch Engage
Time Will Tell, Dave Hause
Timeless, The Airborne Toxic Event
Tin Can On A String, Brad Paisley
Tin Star, Lindi Ortega
Tinted Windows, Tim McGraw
Tired of Running, Snoop Lion
Tis The Season, Dropkick Murphys
TKO, Justin Timberlake
To Hell With You, Sleigh Bells
Together, Steven Curtis Chapman
Together, Disclosure
Tom Ford, Jay-Z
Tom the Drum, Palma Violets
Tomorrow, Stone Temple Pilots
Tonight, Jessica Sanchez
Tonight, Miles Kane
Tonight, Kings of Leon
Tonight I'm Playin' Possum, Randy Travis
Too Many Friends, Placebo
Too Much, Drake
Top Floor (Cabana) , Naughty Boy
Top Of The World, Robin Thicke
Torn Apart, Snoop Lion
Torn To Pieces, Pop Evil
Torso Of The Week, Everything Everything
Torture, Danny Brown
Torus, Sub Focus
Touch, Daft Punk
Tough Goodbye, Gary Allan
Tower (Don't Look Down), Skylar Grey
Toxic, Peace
Trading One Heartbreak for Another, Pistol Annies
Traitor, DAUGHTRY
Trampoline, Tinie Tempah
Treason! Animals., Franz Ferdinand
Treatment, August Burns Red
Trenches, Pop Evil
Trials & Tribulations, Ace Hood
Tribute, John Newman
Trippy, Lil Wayne
Triumph Of Disintegration, Of Montreal
Trophies, Drake
Trouble, J. Cole
Trouble, Neon Jungle
True Blood, Justin Timberlake
True North, Bad Religion
True Original, Eels
Trumpet Or Tap, Biffy Clyro
Trumpets, Jason Derulo
Truth, Bloc Party
Try It Out (Neon Mix), Skrillex
Try To Explain, The Flaming Lips
Trying To Be Cool, Phoenix
Tunnel Vision, Justin Timberlake
Turn Back Time, Sub Focus
Turn Down For What, DJ Snake
Turn It Around, Sub Focus
Turn The Night Up, Enrique Iglesias
Turning Violent, The Flaming Lips
Turnt, The-Dream
Tuscan Leather, Drake
Tuxedos, Cold War Kids
Twerk, Lil' Twist
Two Cents, Cosmodrome
Two Lanes of Freedom, Tim McGraw
Two Pieces, Demi Lovato
Two Step, Laura Bell Bundy
Two Weeks Late, Ashley Monroe
U.O.E.N.O. (You Ain't Even Know It), Rocko
UK Shanty, Clean Bandit
Un Alma Mas, Josh Groban
Unbelievers, Vampire Weekend
Unbreak My Mixtape, M.I.A.
Unconditionally, Katy Perry
Uncover, Zara Larsson
Under Control, Calvin Harris
Under Control, Ellie Goulding
Under The Earth, Yeah Yeah Yeahs
Under the Tide, Chvrches
Underneath the Tree, Kelly Clarkson
Undine, Laura Marling
Undiscovered, Laura Welsh
Undrowned, Everything Everything
Unfinished Songs, Celine Dion
Ungrateful, Escape the Fate
Unhappily Married, Pistol Annies
Unstoppable Momentum, Joe Satriani
Until I'm One With You, Ryan Bingham
Until We Die, Escape the Fate
Up All Night, Jon Pardi
Up Down (Do This All Day), T-Pain
Up In The Air, 30 Seconds to Mars
Upstarts, Johnny Marr
Used, Ashley Monroe
Used 2, 2 Chainz
Used Cars, Sunny Sweeney
Used To Be, Mindless Behavior
V.S.O.P., K. Michelle
Valentine, Tricky
Valentine's Day, David Bowie
Vampire Depression, Vamps
Vandalizer, Sam Hunt
Vegas Lights, Panic! At The Disco
Venus, Lady Gaga
Venus and Serena, Super Furry Animals
Versace, Migos
Versace, DVS
Vertigo, Jason Derulo
Victory Over The Sun, Biffy Clyro
Vilify, Device
Villuminati, J. Cole
Vince Taylor, Adam Ant
Vincent Price, Deep Purple
Violins and Tambourines, Stereophonics
Vocal, Pet Shop Boys
Voices, Alice in Chains
Voyeur, James Blake
Wait a While, Rae Morris
Wait for a Minute, Tyga
Wait For Me, Kings of Leon
Waiting, Ella Henderson
Waiting All Night, Rudimental
Waiting for Superman, DAUGHTRY
Waiting Here For You, Martin Smith
Waiting on June, Holly Williams
Wake Me Up, Avicii
Wake Up Lovin' You, Craig Morgan
Walk Of Shame, Deap Vally
Walk Through Exits Only, Philip H. Anselmo and the Illegals
Walk Thru, Rich Homie Quan
Walking On Air, Katy Perry
Walks Like Rihanna, The Wanted
Warning Sign, Travis
Warrior, Demi Lovato
Warriors, M.I.A.
Washing Dishes, Jack Johnson
Wasting All These Tears, Cassadee Pope
Wasting My Young Years, London Grammar
Watch The Sun Come Out Tonight, Filter
Watching Movies, Mac Miller
Water, Buckcherry
Water And A Flame, Celine Dion
Water Me, FKA Twigs
Water Under Bridges, Gregory Porter
Waterproof Mascara, Sheryl Crow
Waters Rising, Alter Bridge
Waves, Mr. Probz
Way Back When, Kodaline
Ways to Go, Grouplove
We Are Shangri-La (Emerald City Mix), S. J. Tucker
We Are Tonight, Billy Currington
We Can't Stop, Miley Cyrus
We Don't Die, Tricky
We Don't Play Around, Dizzee Rascal
We Exist, Arcade Fire
We Loved It, John Legend
We Made It, Drake
We Need Medicine, The Fratellis
We No Who U R, Nick Cave & the Bad Seeds
We Ought to Be Drinkin', Sheryl Crow
We Own It (Fast & Furious), 2 Chainz
We Own the Night, The Wanted
We Real Cool, Nick Cave & the Bad Seeds
We Remain, Christina Aguilera
We Still In This Bitch, B.o.B
We Up, 50 Cent
We Were Us, Keith Urban
We Won't Be Shaken, Building 429
We'll Come Back Around, Craig Morgan
We're The Greatest, LL Cool J
Wear Me Out, Skylar Grey
Wedding Song, Yeah Yeah Yeahs
Weed Instead Of Roses, Ashley Monroe
Weirdo, Skylar Grey
Welcome Oblivion, How To Destroy Angels
Welcome To Cabana, Naughty Boy
Whaddup, LL Cool J
What A Night, Loveable Rogues
What A Shame, The Strypes
What About Love, Austin Mahone
What About Now, Bon Jovi
What Am I Gonna Do (Daddy's Song), Thompson Square
What Are They Doing In Heaven Today, Mavis Staples
What Are You Listening To, Chris Stapleton
What Do You Say, Filter
What Doesn't Kill You, Jake Bugg
What Goes Boom, Pixies
What Have I Done, LeAnn Rimes
What I Believe, Skillet
What I Might Do, Ben Pearce
What If, Five for Fighting
What Is Right, Chase & Status
What Is This Thing Called Love, Editors
What Love Is Made Of, Katy B
What The People Don't See, The Strypes
What We Ain't Got, Jake Owen
What You Gonna Do, Hunter Hayes
What's Left Of Me, Bon Jovi
Whatcha Got in That Cup, Thomas Rhett
Whatever She's Got, David Nail
Wheels on Fire, Truly
When a Fire Starts to Burn, Disclosure
When He Plays his Guitar, Dean Madonia
When I Lost My Bet, The Dillinger Escape Plan
When I See This Bar, Kenny Chesney
When I Was Your Girl, Alison Moyet
When I'm Alone, Sam Phillips
When Love Starts to Die, HIM
When The Ship Goes Down, Jillette Johnson
When You Get To Know Me, Cast of Stephen Ward the Musical
When You Really Loved Someone, Agnetha Fältskog
When You Were My Girl, Matt Cardle
Where All the Songs Come From, Sons Of The Sea
Where Are We Now? , David Bowie
Where Did I Leave That Fire, Neko Case
Where Did The Party Go, Fall Out Boy
Where Dreams Go To Die, Queensrÿche
Where I Stood, LeAnn Rimes
Where I Used To Live, Tracy Lawrence
Where You Are, Jay Sean
Where You Go, Ciara
