$ave Dat Money, Lil Dicky
Scars, James Bay
Scars, Alesso
Scars, Metal Allegiance
Scars to Your Beautiful, Alessia Cara
Scream, Halestorm
SCREAM, Grimes
Scream It Out , Ellie Goulding
Sea Creatures, SOAK
Sea Of Love, Def Leppard
Sealed to Me, Brand New
Second Hand Heart, Dwight Yoakam
Second Hand Heart, Ben Haenow
Secondhand Smoke, Kelsea Ballerini
Secret Love Song, Little Mix
Secret Wings, Gary Lucas & Jann Klose
See You Again, Wiz Khalifa
Selfish Art, Noah Gundersen
Send My Love (To Your Lover) , Adele
Sensimilla, Joss Stone
Sequential Circuits, Panda Bear
Seven Walls, Gaz Coombes
Seventeen, Alessia Cara
Señorita, Vince Staples
Shadow and Soul, Red
Shadowmaker, Apocalyptica
Shake It Off , Ryan Adams
Shame, Tyrese
Shasta, Mat Kearney
She Ain't, Julio Bashmore
She Used to Be Mine, Sara Bareilles
She's Crazy, Moonshine Bandits
She's Kinda Hot, 5 Seconds of Summer
Shine, Gwen Stefani
Shine, Years & Years
Ship To Wreck, Florence + the Machine
Shipwrecked, LoCash
Shockwave Supernova, Joe Satriani
Shotgun, Christina Aguilera
Shots, Imagine Dragons
Should Have Known Better, Sufjan Stevens
Should've Been Us, Tori Kelly
Show Me, Flo Morrissey
Showbiz Christmas, Mr. Showbiz
Shroud, Tech N9ne
Shut Up, Stormzy
Shut Up and Fish, Maddie & Tae
Shutdown, Skepta
Sick Individual, Halestorm
Sideways, KB
Silence, The Maccabees
Silence In The Snow, Trivium
Silent Key , Frank Turner
Silhouette, Julia Holter
Silk, Wolf Alice
Simple and Plain, Everclear
Simple Song #3, Sumi Jo
Sing, Pentatonix
Sing Along, Ryan Cabrera
Single Girl, Thomas Rhett
Singularity, New Order
Siren's Song , Jon Foreman
"Sit Still, Look Pretty", Daya
Skeletons, Papa Roach
Skills in Pills, Lindemann
Slamming Doors, Ben Haenow
Sleep Won't Ever Come, Best Coast
Slip Slide, Donnie Trumpet & The Social Experiment
Slow Dancer, Noah Gundersen
Slow Down, Nichole Nordeman
Slow Motion, Trey Songz
Slow Sun, The Maccabees
Small Poppies, Courtney Barnett
"Smile Mama, Smile ", Rick Ross
Smoke, A Thousand Horses
Smoke, Maddie & Tae
Smoke, Plumb
Smoke and Mirrors, Imagine Dragons
Smoke Break, Carrie Underwood
Smooth Sailin', Leon Bridges
Smuckers," Tyler, the Creator"
Snake Charmer, Drowning Pool
Snake Eyes, Mumford & Sons
Snake Oil, Foals
Snapback, Old Dominion
Snow Falls in June, Ryan Bingham
SnowTime , James Taylor
Snug Slacks, John Grant
So Freakin' Tight, Tough Love
So Good, Louisa Johnson
So I Could Find My Way, Enya
So I Sang, Darius Rucker
So Long, Circa Waves
So Long, Leon Bridges
So Many Pros, Snoop Dogg
So Oh, The Charlatans UK
So Over You, Charli XCX
So What, Three Days Grace
Sober, Selena Gomez
Sober Saturday Night , Chris Young
Sockets, Slaves
Sodomites, Soulfly
Soldierstown, Black Star Riders
Somebody, Natalie La Rose
Somebody Else Will , Mickey Guyton
Somebody To Love, Kacey Musgraves
Someday, Peace
Someone For Everyone, Jamie Lawson
Something Better, Audien
Something in the Way You Move, Ellie Goulding
Something Like Happiness, The Maccabees
Something More Than Free, Jason Isbell
Something Special, John Newman
Something's Gotta Give, All Time Low
Something's Not Right, Lily Allen
Sometimes I Cry, Chris Stapleton
Sometimes I Feel, Richard Hawley
Sometimes It's Hard, Jamie Lawson
Somewhere in Paradise, Chance the Rapper
Somewhere in Stockholm, Avicii
Song Cry, August Alsina
Song For Another Time, Old Dominion
Song For Josh , Frank Turner
Songs For The Summer, Stereophonics
Soror Irrumator, Anthrax
Sorry, Justin Bieber
Sorry, Rick Ross
Sorry Not Sorry, Bryson Tiller
SOS, Brandon Heath
Soul Hacker, Fear Factory
Sound & Color, Alabama Shakes
Soundboy Kill, Raekwon
South Side, Thomas Rhett
Southern Belle, Scotty McCreery
Southern Drawl, Alabama
Southern Gravity, Kristian Bush
Southern Style, Darius Rucker
Southernality, A Thousand Horses
Space Bootz, Miley Cyrus
Spaceship, k-os
Sparks, Hilary Duff
Sparks, Beach House
Spectre, Radiohead
Speed Of Light, Iron Maiden
Speedom (WWC2), Tech N9ne
Spit It Out, The Maccabees
Spring (Among The Living), My Morning Jacket
Spring / Sun / Winter / Dread, Everything Everything
Spring Breakdown, Luke Bryan
Square Pegs, Kelsea Ballerini
St. Jude, Florence + the Machine
St. Tristan's Sword, Led Zeppelin
Stand By You, Rachel Platten
Standing in the Cold, Drenge
Star67, Drake
Start a Family, Texas
Start Again, Conrad Sewell
Started Right, Hot Chip
State Of My Head, Shinedown
Stay, Kygo
Stay High, Spector
Stay In My Corner, The Arcs
Steel Sharpens Steel, k-os
Stick Talk, Future
Stilettos, Kelsea Ballerini
Still Calling It News, Clint Black
Still Echoes, Lamb Of God
Still In Love With You, Electro Velvet
Still Smiling, Cody Simpson
Still Want You, Brandon Flowers
Still Yours, Jamie Lawson
Stillbirth, Alice Glass
Stitches, Shawn Mendes
Stone, Alessia Cara
Stone Cold , Demi Lovato
Stone Cold Sober, Brantley Gilbert
Stonemilker, Björk
Stop Plastic Pollution, Florian Schneider
Stranded, Gang of Four
Stray Dog, New Order
Strength of the Mind, Killswitch Engage
Stressed Out, Twenty One Pilots
Stretch of the Highway, James Taylor
Strip It Down, Luke Bryan
Strong, Justin Bieber
Stronger, Kiesza
Style, Ryan Adams
Suburban Smell, The Districts
Suffer, Charlie Puth
Suffer in Peace, Tyler Farr
Suga Mama, Fifth Harmony
Sugar, Robin Schulz
Summer Breaking, Mark Ronson
Summer Forever, Billy Currington
SummerThing, Afrojack
Summerville, Rissi Palmer
Sun Is Shining, Axwell and Ingrosso
Sunday Candy, Donnie Trumpet & The Social Experiment
Sunday Morning, A Thousand Horses
Sunny Side Up, Faith No More
Sunset Jesus, Avicii
Sunshine, Jake Miller
Sunshine, Pusha T
Superego, Disclosure
Superficial Love, Ruth B
Superheated, New Order
Superhero, Faith No More
Superlove, Don Broco
Supernova, The Devil Wears Prada
Superpower, X Ambassadors
Superstar Wonderful Weirdos, Alanis Morissette
Surface Envy, Sleater-Kinney
Surrender, Hurts
Survival, Tesseract
Survivors, Selena Gomez
Swan Song , Lana Del Rey
Sweet Life, Jeezy
Sweet Love of Mine, Joy Williams
Sweet Lovin', Sigala
Sweet Sweet Lovin', Rissi Palmer
Sweetest Devotion, Adele
Sweetie Little Jean, Cage the Elephant
Swings & Waterslides, Viola Beach
Swords, M.I.A.
T-Shirt, Thomas Rhett
T-Shirt Weather, Circa Waves
T.I.W.Y.G., Savages
Take Care My Baby, Matthew E. White
Take It All, Pop Evil
Take It Back, Nate Ruess
Take It Easy , Vanessa Carlton
Take It From Me, Trace Adkins
Take Me Home, Jess Glynne
Take Me Home, Pentatonix
Take Me To Texas, George Strait
Take This Chance, Anastacia
Take You High, Kelly Clarkson
Taking All The Blame, The Subways
Talk, Against The Current
Talk Me Down, Troye Sivan
Talk To Me, Nick Brewer
Talking About, Conor Maynard
Talking Out Loud, Circa Waves
Tallest Girl, Alesha Dixon
Tangled, Thomas Rhett
Tapedeck, Silversun Pickups
Tapping on the Line, Calexico
Tattoo, Hilary Duff
Teach Me, Joey Bada$$
Tear In My Heart, Twenty One Pilots
Tear Me Apart, Allison Moorer
Tears Of A Clown, Iron Maiden
Teenage Talk, St. Vincent
Tell Me Why, Three Days Grace
Tell Your Friends, The Weeknd
Telomere, Mystery Jets
Temporary Fix , One Direction
Tennessee Whiskey, A Thousand Horses
Tennessee Whiskey, Chris Stapleton
Terminal, Jon Foreman
Terrence Loves You , Lana Del Rey
Thank God for Girls, Weezer
Thank You , Sevendust
That Look, Aaron Watson
That Old Flame, Don Henley
That's Alright With Me, Kip Moore
That's How You Know, Nico & Vinz
That's When I Knew, Reba McEntire
The Affidavit , Clutch
The American Dream Died, Agnostic Front
The Angel Islington, Frank Turner
The Answer, Joss Stone
The Answer, Savages
The Audience, Coheed and Cambria
The Awakening, P.O.D.
The Bad Thing, Periphery
The Big Love Has Died, Seal
The Blacker the Berry, Kendrick Lamar
The Blade, Ashley Monroe
The Body, Wale
The Book Of Souls, Iron Maiden
The Bottom Line, Alanis Morissette
The Brown Stains of Darkeese Latifah Part 6-12 (Remix)," Tyler, the Creator"
The Calling, Rene LaVice
The Cat with the Cream, Belle & Sebastian
The Citizen, Billy Sherwood
The Conversation, Mat Kearney
The Cost of Living, Don Henley
The Day is My Enemy, The Prodigy
The Day You Stop Looking Back, Thomas Rhett
The Devil Named Music, Chris Stapleton
The Devil's Footprint , Saxon
The Divine Zero , Pierce the Veil
The Drinking Song , Rod Stewart
The Driver, Charles Kelley
The Dying Of The Light, Noel Gallagher's High Flying Birds
The Edge of Tonight, All Time Low
The End Is Not The Answer, Three Days Grace
The Everlasting Muse, Belle & Sebastian
The Exchange, Torres
The Fall, As Lions
The Fall, Imagine Dragons
The Feeling, Justin Bieber
The Fix, Nelly
The Floyd Song (aka Sunrise), Miley Cyrus
The Forge of the Angels, Enya
The Game, Sugarcane Jane
The Ghost of Love, Simply Red
The Ghost That's Haunting You, Trivium
The Ghosts of Beverly Drive, Death Cab for Cutie
The Gift Of Music, Dream Theater
The Girl In The Yellow Dress, David Gilmour
The Girl Who Slept for Scotland, The Waterboys
The Girl You Think I Am, Carrie Underwood
The Girls on Drugs, Wale
The Globalist, Muse
The Good News, Bloc Party
The Great Unknown, Rob Thomas
The Greatest, Alabama Shakes
The Greatest Show On Earth, Nightwish
The Handler, Muse
The Hills, The Weeknd
The Honeymoon Suite, Creeper
The Humming, Enya
The Ideal Husband, Father John Misty
The Intro About Nothing, Wale
The Kids Aren't Alright, Fall Out Boy
The Killer Instinct, Black Star Riders
The Last Song, Brian Wilson
The Last Vampire, The Hollywood Vampires
The Law, Editors
The Less I Know the Better, Tame Impala
The Light, Disturbed
The Light Of Christmas Day, Robert Plant and Alison Krauss
The Lights, Becky G
The Love Within, Bloc Party
The Loxian Gate, Enya
The Madness, Buckcherry
The Maker, Chris August
The Man Who Broke His Own Heart, Everclear
The Matrimony, Wale
The Message , Jay Rock
The Mexican, Noel Gallagher's High Flying Birds
The Mighty Sword Of Justice, Tom Robinson
The Milkman's Horse , The Libertines
The Next Storm, Frank Turner
The Night Josh Tillman Came to Our Apartment, Father John Misty
The One, Kodaline
The Only Conclusion, Jamie Lawson
The Only Thing Worth Fighting For, Lera Lynn
The Original High , Adam Lambert
The Other Side Of Love, Jack Savoretti
The Party Line, Belle & Sebastian
The Proposal, Rico Love
The Quiet, Troye Sivan
The Reckoning, Halestorm
The Red And The Black , Iron Maiden
The Rest Is Noise, Jamie xx
The Ride Majestic, Soilwork
The Right Stuff, Noel Gallagher's High Flying Birds
The Season / Carry Me, Anderson Paak
The Shade, Metric
The Shape of You, Jewel
The Singer Addresses His Audience, The Decemberists
The State I'm In, Leigh Nash
The Strays, Sleeping with Sirens
The Sun Will Shine on You, Electric Light Orchestra
The Thing That's Killing Me, Trivium
The Tortoise and The Tourist, Modest Mouse
The Traveler, Harper Vedder
The Traveling Kind, Emmylou Harris & Rodney Crowell
The Trouble With Drinkin', Aaron Lee Tasjan
The Universe Alone, Duran Duran
The Valley, Miguel
The Vengeful One, Disturbed
The Wake, August Burns Red
The Way, Kehlani
The Way It's Always Been, Brandon Flowers
The Way We Are, Alesha Dixon
The Wheel (Is Turning Now), Everything Everything
The White Shoes, Wale
The Wolf, Mumford & Sons
The Wonderwhy, Wolf Alice
The World I Used to Know , We Came as Romans
The World Looks Down, Richard Hawley
There Are Too Many of Us, Blur
There I Said It, Adam Lambert
There's A Place , The All-American Rejects
These Walls, Kendrick Lamar
They Don't Make 'Em Like They Used To, Will Hoge
Think a Little Less , Michael Ray
Think Of You, Chris Young
Thinking About Drinking for Christmas, Kristian Bush
Third Eye, Florence + the Machine
This Ain't Just A Song, Alabama
This Beautiful Day, Brian Wilson
This Could Be Us, Rae Sremmurd
This Is Not a Party, The Wombats
This Is Not a Test, tobyMac
This Is What You Came For, Calvin Harris
This Probably Won't End Well, All That Remains
This Summer's Gonna Hurt, Maroon 5
This Time, Lea Michele
This Town, Kacey Musgraves
Thotful, Cody Simpson
Thought I Was a Spaceman, Blur
Three Bells, Guy Garvey
Three Dollar Hat, The Dead Weather
Three Year Old, Eric Church
Throne, Bring Me The Horizon
Throw Down the Roses, Kate Pierson
Throwback, Act of Defiance
Thunderstorm / Hurricane, Allison Moorer
Thunderstruck, Owl City
Thy Lord Belial, Act of Defiance
Tidal Waves, All Time Low
Tight Pants, Buckcherry
Tightrope, Kelly Clarkson
Til It Happens To You, Lady Gaga
Til' the Wheels Fall Off, LoCash
Till The End, Lucy Rose
Tilted, Christine and the Queens
Time, Mikky Ekko
Time for That , Clint Black
"Time, As a Symptom", Joanna Newsom
Tiring Game, John Newman
To a Band That I Loved , Jason Isbell
To Be Free, Tonight Alive
To My Brother, Swim Deep
To The Blade, Everything Everything
To the Moon and Back, Luke Bryan
To The Wire, Gaz Coombes
To Ü, Jack U
Today, David Gilmour
Together, Ella Eyre
Tokyo, Lianne La Havas
Tomato Can, The Arcs
Tomorrow, Ca$h Out
Tomorrow Tonight, Craig Campbell
Tompkins Square Park, Mumford & Sons
Tonight Again, Guy Sebastian
Tonight Belongs to U!, Jeremih
Too High, Blackberry Smoke
Too Late to Die Young, Beach Slang
Too Many Miles, Nils Lofgren
Toothbrush, DNCE
Top of the World, Tim McGraw
Torches, Lamb Of God
Touch the Sky, Hillsong United
Towards the Sun, Rihanna
Trade Hearts, Jason Derulo
Train In The Distance , Don Henley
Tranquility, Matthew E. White
Trans Am, Thompson Square
Traveller, Chris Stapleton
Tropic of Cancer, Panda Bear
Trouble, Keith Richards
Trouble, Cage the Elephant
Tru-Kvlt-Metal, All That Remains
True Affection, Father John Misty
True Believer , Avicii
True Colors, Zedd
True Friends, Bring Me The Horizon
True Love, Ariana Grande
Trust, Justin Bieber
Trust in You , Lauren Daigle
Trust You, Rob Thomas
Try Me, Jason Derulo
Trying So Hard Not to Know, Nathaniel Rateliff & the Night Sweats
Turn It On, Eli Young Band
Turn Me Up, Twin Shadow
Turn the Music Louder (Rumble) , KDA
Tutti Frutti, New Order
Tuxedo, Clare Dunn
Twin Skeleton's (Hotel In NYC), Fall Out Boy
Twinkle Song , Miley Cyrus
Twist My Fingaz, YG
Twistin' & Groovin', Leon Bridges
Two of a Crime, Miranda Lambert
Two Years Ago, Ellie Goulding
Typhoon, Shayna Leigh
U, Kendrick Lamar
U Mad, Vic Mensa
U Use to Call Me, Erykah Badu
UGH!, The 1975
Uma Thurman, Fall Out Boy
Unbelievable, Owl City
Unbreakable, Janet Jackson
Unbreakable Smile, Tori Kelly
Uncomfortable, Andy Mineo
Under Neon Lights, The Chemical Brothers
Under The Moon, Peace
Under The Shadows, Rae Morris
Underdogs, Chris Young
Unfair Weather Friend, Willie Nelson and Merle Haggard
Unguarded, Rae Morris
Unlock the Swag , Rae Sremmurd
Unlove You, Jennifer Nettles
Unsteady, X Ambassadors
Unstoppable, Lianne La Havas
Untamed, Cam
Until the World Goes Cold, Trivium
Until They Don't Love You, Reba McEntire
Until We Can't (Let's Go), Passion Pit
Untold, Matthew West
Untouchable, Pusha T
Unwind, Guy Garvey
Up & Up, Coldplay
Up Like Trump, Rae Sremmurd
Uptown's First Finale, Mark Ronson
Used To, Drake
Used To, MUTEMATH
Used To Love You, Gwen Stefani
Usual Suspects, Hollywood Undead
Vacation, Thomas Rhett
Valtz De Mon Pere (Lovers' Oath), Rickie Lee Jones
Various Storms & Saints , Florence + the Machine
Vegas, Shamir
Veil of Elysium, Kamelot
Velvet Ditch, The Arcs
Veni Vidi Vici, Madonna
Venom, Bullet For My Valentine
Verge, Owl City
Versions, August Rigo
Victorious, Panic! At The Disco
Vous Deux (Denzel Washington), k-os
Wait For It, Leslie Odom Jr.
Waitin For You, Demi Lovato
Waitin' on a Plane, Maddie & Tae
Waiting for Love, Avicii
Wake Me Up, Billy Currington
Wake Up, Joss Stone
Wake Up, The Vamps
Wake Up! Go! Go! Forward!, Pope Francis
Walk Alone, Laura Marling
Walk Into The Sun, Maverick Sabre
Walk Out On Me, Empire Cast
Walk Tall, Kristian Bush
Walking In The Sunshine , Rod Stewart
Walking In The Wind, One Direction
Waltz of the 101st Lightborne, Joanna Newsom
Wanna Be Happy?, Kirk Franklin
Wanna Be That Song, Brett Eldredge
Wanna Be There, R. Kelly
Wanna Know, Meek Mill
Want to Want Me, Jason Derulo
Want You So Bad, The Vaccines
Wanted, Kehlani
War Child, Hollywood Undead
War of Kings, Europe
War Over Me, Papa Roach
War Paint, Kelly Clarkson
Warm Enough, Donnie Trumpet & The Social Experiment
Warm Healer, Everything Everything
Warrior, Laura Marling
Was It 26, Chris Stapleton
Wash All Over Me, Madonna
Wash It All Away , Five Finger Death Punch
Wasn't Expecting That, Jamie Lawson
Wasn't That Drunk, Josh Abbott Band
Wasn't Through Lovin' You Yet, Alabama
Waste The Night, 5 Seconds of Summer
Wasted, Jack Savoretti
Wasted Time, Best Coast
Watch Me (Whip/Nae Nae), Silento
Watch Out, 2 Chainz
Water, Pentatonix
Water Under the Bridge, Adele
Waving Flag, Will Butler
Way Down We Go, Kaleo
Way She Moves, Scott Weiland and the Wildabouts
Ways To Get High, Pop Evil
We All Get Lonely, John Newman
We Are, Justin Bieber
We Be Moving, Seasick Steve
We Belong, Def Leppard
We Bleed Metal , Chastain
We Built This House, Scorpions
We Did It All, Bryan Adams
We Don't Run, Bon Jovi
We Sold Our Souls to Metal, Soulfly
We Went, Randy Houser
We Were the Dreamers, Richie Furay
We've Got Love, Babyface
Weekend, Mac Miller
Weird People, Little Mix
Welcome, Fort Minor
Welcome To My Life, Empire of the Sun
Well Enough Alone, Rissi Palmer
Wesley's Theory, Kendrick Lamar
West End Kids, New Politics 
What a Feeling, One Direction
What Are the Chances?, Duran Duran
What Color Is Your Sky, Jason Michael Carroll
What Do You Mean?, Justin Bieber
What I Never Knew I Always Wanted, Carrie Underwood
What If, Prince
What If I, Meghan Trainor
What Kind Of Man, Florence + the Machine
What Love Means, Richard Hawley
What Sober Couldn't Say, Halestorm
What They Want, Russ
What This World Is Coming To, Nate Ruess
What Time Do You Call This?, Elbow
What Went Down, Foals
What You Don't Do, Lianne La Havas
What You Need , Bring Me The Horizon
What's Behind Me, Leigh Nash
What's Normal Anyway, Miguel
Whatever Way It Hurts the Least, Reba McEntire
When God Paints , Alan Jackson
When I Stop Dreaming, Don Henley
When I Was a Boy, Electric Light Orchestra
When I Was Young, Brandon Heath
When I'm Gone , Craig Morgan
When Love Hurts, JoJo
When the Angels Played , Calexico
When The Stars Come Out, Chris Stapleton
When The Stillness Comes, Slayer
When We Were On Fire, James Bay
When We Were Young , Adele
When You're Smiling and Astride Me, Father John Misty
Where Are U Now, Jack U
Where I Am Now, Don Henley
Where It All Begins, Hunter Hayes
Where Ya At, Future
Wherever I Go, Mark Knopfler
Wherever You Go, Sublime with Rome
While I Was Away, Pat Green
While The Song Remains The Same, Noel Gallagher's High Flying Birds
Whiskey And You, Chris Stapleton
Whisky Story, Example
White Iverson, Post Malone
White Light, The Corrs
White Lightning, Scott Weiland and the Wildabouts
White Lightning, The Cadillac Three
White Walker, Mastodon
White Wine and Fried Chicken, Hot Chip
Who be Lovin' Me, Santigold
Who Taught You How To Hate, Disturbed
Who Will Pray? , We Came as Romans
Whole Lot of Love, Duffy
Why Don't You Believe in Me, Natalie Prass
Why I Farm, The Henningsens
Why Me, Jess Glynne
Why We Live Here, Tyler Farr
WickedSkengMan 4, Stormzy
Wide Open, The Chemical Brothers
Wild, Troye Sivan
Wild Horses, Bishop Briggs
Wild Ones, Kip Moore
Wild Things, Alessia Cara
Wilderness, Cody Simpson
Will O' The Wisp, Blackmore's Night
Willing & Able, Disclosure
"Win Some, Lose Some", Big Sean
Winning Streak, Ashley Monroe
Winter Things, Ariana Grande
Winter Wonderland, The Courteeners
Wish I Knew You, The Revivalists
Withdrawals, Tyler Farr
Wither, Tech N9ne
Without, Years & Years
Without End, Anti-Flag
Wolves, Kanye West
Wolves, One Direction
Woman, City and Colour
Woman (Oh Mama) , Joy Williams
Woman In Red, San Fermin
Won't Be Going Home, The Mohrs
Won't Stop Running, A Great Big World
Words Can Break Your Heart, Don Henley
Work of Art, Deborah Cox
Working Girl, Little Boots
World on Time, Trent Dabbs
World Pleasure, Peace
Worship, Years & Years
Worth It, Fifth Harmony
Wow, Beck
Writing's On The Wall, Sam Smith
Written in the Water, Gin Wigmore
WTF (Where They From), Missy Elliott
WW1 Portraits, The Maccabees
X Marks the Spot, Coldplay
X-Ray Visions, Clutch
XO, Kelsea Ballerini
Y2K Time Capsule, X Ambassadors
Yahweh, Stryper
Yeah Boy, Kelsea Ballerini
Yes I'm Changing, Tame Impala
Yes Man, Ben Folds
Yesterday, The Black Eyed Peas
Yesterday's Son, Lifehouse
Yoga, Janelle Monáe
You, Everclear
You & Him, John Grant
You & The 6, Drake
You Against You, Slayer
You and I Again, James Taylor
You And I Alone, Daphne & Celeste
You And The Beach, Luke Bryan
You Are My One Thing, Bethel Music
You Can, Jamey Johnson
You Can Always Come Home, Alan Jackson
You Can Never Go Home Again, Gangstagrass
You Don't Know, Jill Scott
You Don't Miss a Thing , Bethel Music
You Don't Own Me, Grace
You Felt Like I Did, Hannah Bethel
You Found Me, Passion
You Got Me, G-Eazy
"You Got Spirit, Kid", Coheed and Cambria
You Kill Me With Silence, Duran Duran
You Knew Me When, Leona Lewis
You Know We Can't Go Back, Noel Gallagher's High Flying Birds
You Light My Fire, Nate Ruess
You Look Like I Need a Drink, Justin Moore
You Love Me?, Melissa Steel
You Mine, DJ Khaled
You Must Be Kidding, Will Butler
You Part Two, Olivia Lane
You Should Be Here, Cole Swindell
You Still Get to Me, Clint Black
You Want A Battle? (Here's A War) , Bullet For My Valentine
You Will, Jennifer Hudson & Jennifer Nettles
You Will Never Run, Rend Collective
You'll Always Be My Girl, Drew Holcomb & the Neighbors
You're a F--king Nerd and No One Likes You, OK Go
You're A Germ, Wolf Alice
You're Mine, Disturbed
You're My Waterloo, The Libertines
You're So Beautiful , Empire Cast
Young Chasers, Circa Waves
Young Gods, Prayers
Young Jesus, Logic
Young Love, Coheed and Cambria
Your Love Is Enough, Jon Foreman
Your Love Is Where I Live, Melissa Manchester
Your Place or Mine, Eli Young Band
Your Side of Town, Maddie & Tae
Yours, Russell Dickerson
Youth, The Mohrs
Youth, Troye Sivan
Yukon, Lindemann
Yup, Easton Corbin
Yuppie Supper, Everything Everything
Zero, Chris Brown
Zero Pharoah, Everything Everything
