title,artist
It's a Wonderful Time for Love,Norah Jones
It's All About Him,Alan Jackson
It's Better to Dream,Cliff Richard
It's Different For Girls,Of Montreal
It's Quiet Uptown,Kelly Clarkson
It's You,Zayn
It's Your Move,Josh Kelley
Ivy,Frank Ocean
Jam,Kevin Gates
Jealousy,Tom Odell
Jermaine's Interlude,DJ Khaled
Jesus Alone,Nick Cave & the Bad Seeds
Jesus and Elvis,Kenny Chesney
Jesus and Jones,Trace Adkins
Joanne,Lady Gaga
John Wayne,Lady Gaga
John Wayne Gacy,Rich Hillen Jr.
Jokers & Fools,Lucifer's Friend
Joyride (Omen),Chevelle
JuJu On Dat Beat (TZ Anthem),Zay Hilfigerrr and Zayion McCall
Just a Friend to You,Meghan Trainor
Just A Lil Thick (She Juicy),Trinidad James
Just Another Day,Lady Gaga
Just Around the Corner,Martina McBride
Just Hold On,Louis Tomlinson
Just Let Go,Killswitch Engage
Just Like Fire,Pink
Just Like Me,Britney Spears
Justified,A Day to Remember
Karate,BABYMETAL
Keep it Simple,Raleigh Ritchie
Keep Me Close,The Boxer Rebellion
Keep Singing,Rick Astley
Keep Swingin',Good Charlotte
Keep the Family Close,Drake
Keep Your Eyes on Me,Tim McGraw
Keeper of the Flame,Miranda Lambert
Kern River Blues,Merle Haggard
Key To The Streets,YFN Lucci
Kicked Outta Country,George Strait
Kids,OneRepublic
Kill For You,Skylar Grey
Kill Your Mama,Alicia Keys
Killing a Little Time,David Bowie
KIN,KT Tunstall
Kinda Don't Care,Justin Moore
Kindly Calm Me Down,Meghan Trainor
King of the Road,Weezer
Kiss It Better,Rihanna
Kisses at Airports,Cassadee Pope
Knock Knock (Who's That Knocking' On My Coffin Lid Door?),Dex Romweber
Knockout,Bon Jovi
Konnichiwa,Skepta
Ladies Hit Squad,Skepta
Lady Gypsy,David Brent
Lady Wood,Tove Lo
Lake By the Ocean,Maxwell
Last Days,Chevelle
Laughter Is The Best Medicine,Cass McCombs
LAX,Jake Owen
Lay Me Down,Loretta Lynn
Lay You Down Easy,Magic!
Learning,Kane Brown
Leave Before The Lights Come On,Arctic Monkeys
Leave Me Alone,Santana
Leave Me Lonely,Ariana Grande
Leaving Nashville,Charles Kelley
Leaving the Monsters Behind,The Jayhawks
Left Handed Kisses,Andrew Bird
Left Right Left,Charlie Puth
Leg Day,Tinchy Stryder
Les Chants de Maldoror,Of Montreal
Let Em Know,Jeezy
Let It Burn,Blackberry Smoke
Let It Sleep,Asking Alexandria
Let Me In,Rick Springfield
Let Me Love You,Ariana Grande
Let Me Love You,DJ Snake
Let the Beauty Out,Jonathan Jackson + Enation
Let's Eat,Macklemore & Ryan Lewis
Let's Get Lost,Pretenders
Letter To Krept,Cadet
Library Magic,The Head and the Heart
Lie With Me,David Nail
Lies,Charred Walls of the Damned
Life,Sonata Arctica
Life Goes On,Fergie
Life Is a Honeymoon,Florida Georgia Line
Life Itself,Glass Animals
Lifeline,Thousand Foot Krutch
Lifted,CL
Light of the World,Lauren Daigle
Light Tunnels,Macklemore & Ryan Lewis
Lights Come On,Jason Aldean
Lights Down Low,Max
Like an Arrow,Blackberry Smoke
Like I Would,Zayn
Like Sand,In Flames
Limerent Death,The Dillinger Escape Plan
Line Without A Hook,Ricky Montgomery
Lion and the Lamb,Leeland
Lions,Skillet
Liquor Locker,Vic Mensa
Lit,Trace Adkins
Little Baby,M. Ward
Little Drum,Frightened Rabbit
Litty,Meek Mill
Live It Well,Switchfoot
Living Lux,Bloc Party
Lo Lamento,Love and Death
Location,Khalid
Lock & Load,The Devil Wears Prada
Lockjaw,French Montana
London Bridge,Twenty88
London Lights,With Confidence
Lone Ranger,Rachel Platten
Lonely Call,RaeLynn
Lonely Girl,Charles Kelley
Lonely Woman,Devendra Banhart
Lonesomeville,William Michael Morgan
Long Live Love,LeAnn Rimes
Longer,Lydia Loveless
Look Alive,Rae Sremmurd
Look in Their Eyes,David Crosby
Look Out Yonder,Randy Rogers Band
Lord Intended,De La Soul
Los Angeles,blink-182
Lose It,Flume
Lose Your Head,Katy B
Loser,Beartooth
Losin Control,Russ
Losing My Mind,Charlie Puth
Lost Weekend,Pete Yorn
Lostmyhead,The 1975
Louder than the DJ,Billy Talent
Louisiana Story,Lucinda Williams
Love Can Go to Hell,Brandy Clark
Love Drought,Beyoncé
Love Is The Truth,Jack White
Love Is..,Dinosaur Jr.
Love Line,LeAnn Rimes
Love Makes the World Go Round,Santana
Love Me Now,John Legend
Love on Me,Galantis
Love on the Brain,Rihanna
Love on the Weekend,John Mayer
Love Somebody,St. Lucia
Love Triangle,RaeLynn
Love Will Find You,Kris Allen
"Love, Hope and Misery",Jake Bugg
Loving Me Back,Brothers Osborne
Low Lands,Gojira
Low Life,Future
Low Lights,Kanye West
Lucky,Aurora
Luv,Tory Lanez
Lying In State,Megadeth
M.I.L.F. $,Fergie
Machines,Camryn
Mad,Solange
Mad Behaviour,Izzy Bizu
Mad Love,The Pretty Reckless
Mad Love.,JoJo
Magma,Gojira
Magnetised,Tom Odell
Make Me,Britney Spears
Make Me (Cry),Noah Cyrus
Make Me Like You,Gwen Stefani
Make You Mine,High Valley
Makin' Me Look Good Again,Drake White
Mama,Dolly Parton
Mama's Gun,Glass Animals
Man,Skepta
Man On The Moon,Britney Spears
ManUNkind,Metallica
Map Of My Heart,Mary Chapin Carpenter
Marching Into the Dark,John Legend
Mardi Gras,Dierks Bentley
Marie Laveau,Volbeat
Mary Jane Kelly,Volbeat
"May 21, 2012",Donovan Woods
May We All,Florida Georgia Line
Maybe It's A Good Thing,KT Tunstall
Mayday,Boys Noize
Me & You,George Ezra
Me and Your Mama,Childish Gambino
Me Too,Meghan Trainor
Me Without You,Gwen Stefani
Mean What I Mean,AlunaGeorge
Medicine,Biffy Clyro
Medieval Warfare,Grimes
Memento Mori,Architects
Mercy,Shawn Mendes
Merica,Granger Smith
Messin' Around,Pitbull
Meteorite,Years & Years
Mexico,Danny Worsnop
Middle of a Memory,Cole Swindell
Might Be,Luke Nasty
Might Not,Belly
Million Eyes,The Coral
Million Reasons,Lady Gaga
Millionaire,Cash Cash
Mind of Mindd (Intro),Zayn
Mindful,K. Michelle
Miracle Aligner,The Last Shadow Puppets
Misery,Gwen Stefani
Missin U,Usher
Missing,William Michael Morgan
Mixed Signals,Robbie Williams
MLK Song,Mavis Staples
Mobbin' Out,I See Stars
Modern Love,The Courteeners
Mom,Meghan Trainor
Moment of Betrayal,Dream Theater
Momma and Jesus,Tucker Beathard
Mona Lisa,The Lonely Island
Monday,Matt Corby
Money,Lawson
Money Longer,Lil Uzi Vert
Mood Ring,Britney Spears
Moonbeam Levels,Prince
Moonlight,Ariana Grande
More Middle Fingers,Justin Moore
Morning in LA,White Lies
Moth Into Flame,Metallica
Mother E,Filter
Mother Earth,Banks
Motherf---ker,Robbie Williams
Move,Rat Boy
Move Your Body,Sia
Mr. Know It All,Young the Giant
Muchacho,Kings of Leon
Murder Mack (Roy Norris & Lawrence Bittaker),Rich Hillen Jr.
Murder One,Metallica
Murdered Out,Kim Gordon
Music Is Healing,Florida Georgia Line
Music Takes Me,School of Seven Bells
Music.,JoJo
My Blood,AlunaGeorge
My Champion,Alter Bridge
My Eyes,The Lumineers
My Eyes,Charred Walls of the Damned
My Favorite Part,Mac Miller
My Girl,Dylan Scott
My Gospel,Charlie Puth
My Hood,Ray BLK
My House,Jennifer Nettles
My Night Sky,DevilDriver
My P.Y.T.,Wale
My S---,A Boogie Wit Da Hoodie
My Shot (Rise Up Remix),The Roots
My Way,Calvin Harris
My Willing Heart,James Blake
Myself At Last,Graham Nash
Mystery of a Blood Red Rose,Avantasia
Naivety,A Day to Remember
Nan,Laura Mvula
Nana,The 1975
Napoleon Complex,The Divine Comedy
Nas Album Done,DJ Khaled
Nature Driver,Steve Gunn
Naughty,Gwen Stefani
Need Freedom,Empire Cast
Needed Me,Rihanna
Neighbors,J. Cole
Never Be Like You,Flume
Never Better,Raleigh Ritchie
Never Ending,Rihanna
Never Ever,Röyksopp
Never Wanna Dance,Jake Bugg
Nevermind,Dennis Lloyd
New Bae,Vic Mensa
New Level,A$ap Ferg
New Song,Warpaint
New Year's Day,Bon Jovi
Night Drive,Garbage
Night People,You Me at Six
Night Shift,Jon Pardi
Night Wander,Steve Gunn
Nights,Frank Ocean
Nightstand,K. Michelle
Nihilist,Architects
Nikes,Frank Ocean
No,Meghan Trainor
No Broken Hearts,Bebe Rexha
No Heart,21 Savage and Metro Boomin
No Justice,Ty Dolla $ign
No Lie,Sean Paul
No Limit,Usher
No Love Like Yours,Edward Sharpe & the Magnetic Zeros
No Money,Galantis
No More Interviews,Big Sean
No More Parties in L.A.,Kanye West
No More Sad Songs,Little Mix
No One Knows,Justin Rutledge
No One Will Ever Replace Us,The Courteeners
No Plan,David Bowie
No Problem,Chance the Rapper
No Roots,Alice Merton
No Shopping,French Montana
No Sleep,Twin Atlantic
No Time For It,Fantasia
Nobody Wins,Brian Fallon
Noise,Kenny Chesney
Not a Little Bit,K. Michelle
Not Above Love,AlunaGeorge
Not Enough Whiskey,Kiefer Sutherland
Not Gonna Break Me,Jamie N Commons
Not Nice,PartyNextDoor
Not That Kinda Girl,Fifth Harmony
Not Today,Imagine Dragons
Nothing But Love,James
Nothing Like This,Blonde & Craig David
Nothing's Real,Shura
Novocaine Heart,Kandace Springs
Now and Later,Sage The Gemini
Now That We're Dead,Metallica
Nowhere Without You,Craig Morgan
Numb,Melanie C
Numbers,Skepta
O B 1,Jagwar Ma
Obsessed,Dan + Shay
Ocean Eyes,Billie Eilish
Ode to Meadow,Yoko Ono
Of All Kind,Maxwell
Oh My God,The Pretty Reckless
Oh My Soul,Casting Crowns
Oh Rosetta,Mary Chapin Carpenter
"Oh, Sunday Night",Carrie Underwood
Ojai,Lissie
Old Church Choir,Zach Williams
Old Man's Symphony,David Nail
Old Skool,Metronomy
Olé,John Newman
OMFG,Lil Peep
On a Bang,Biffy Clyro
On Hold,The xx
On My Heart,School of Seven Bells
On My One,Jake Bugg
On My Own,Bear Mountain
On the Nights You Stay Home,Donovan Woods
On the Way,Twenty88
On Your Side,The Veronicas
Once,Maren Morris
Once For All,Paul Baloche
One Dance,Drake
One Day I'll Fly Away,Vaults
One Hell Of A Song,Mike Posner
One More Thrill,KOLARS
One More Time,Craig David
One of Those Days,Little Big Town
One Sided War,Michael Sweet
One Step Away,Casting Crowns
One Strike,All Saints
One Woman Man,All Saints
Only He Can Heal Me,Bloc Party
OOOUUU,Young M.A
Open Water,Steady Holiday
Ophelia,The Lumineers
Ordinary World,Green Day
Other People,The Divine Comedy
Other People,LP
Our Town,Tyler Farr
Out of Style,Jon Pardi
Outlaws,Green Day
Over,Kings of Leon
Over And Over,The Goo Goo Dolls
Overcome,Laura Mvula
Overtime,ScHoolboy Q
Oxygen,Catfish and the Bottlemen
Paid,Pusha T & Jeremih
Pain,Of Mice & Men
Pain,De La Soul
Painkillers,Brian Fallon
Pam the Hawk,Madness
Paracetamol,Declan McKenna
Parachute,Kaiser Chiefs
Paradigm,Avenged Sevenfold
Paradise,Benny Benassi
Paraguay,Iggy Pop
Paranoia,A Day to Remember
Paris,The 1975
Party,Chris Brown
Party Like A Russian,Robbie Williams
Party Monster,The Weeknd
Pass The Baby,Jimmy Eat World
Patience,Shawn Mendes
Patient,Post Malone
Pave,Britt Nicole
Pawn Shop,Brothers Osborne
Penthouse Floor,John Legend
People,Laura Mvula
Pep Rally,Missy Elliott
Perfect Illusion,Lady Gaga
Perfect Strangers,Jonas Blue
Perm,Bruno Mars
Phantom Bride,Deftones
Phenomenal Woman,Laura Mvula
Piano,Cassadee Pope
Pick Up,Dierks Bentley
Pick Up The Phone,Travis Scott
Pick Up the Pieces (Outro),Gucci Mane
Picture Perfect,Skylar Grey
Pillowtalk,Zayn
Pink + White,Frank Ocean
Pipe Dreams,Nelly Furtado
Pity Party,Melanie Martinez
Plane Song,Katie Melua
Play God,Ani DiFranco
Play That Song,Train
Please Come for Me,Korn
Please Don't Go,Joel Adams
Pneumonia,Danny Brown
Poison In Your Veins,Alter Bridge
Poisonous Shadows,Megadeth
Pol Roger,Jimmy Eat World
Police Get Away Wit Murder,YG
Police Tapes,Jamie T.
Polymorphing,Chairlift
Pop Style,Drake
Pops,Angel Olsen
Pork Soda,Glass Animals
Power,Little Mix
Power Over Men,Jamie T.
PPAP (pen-pineapple-apple-pen),Piko-Taro
Praise Poison,The Devil Wears Prada
Pray You Catch Me,Beyoncé
Prayers for the Damned,Sixx: A.M.
Prayers/Triangles,Deftones
Present Tense,Radiohead
Press Rewind,Kaiser Chiefs
Pretty Grids,Jimmy Eat World
Pretty Peggy,Wolfmother
Pretty Woman,Robbie Williams
Priceless,For King & Country
Pride,Kevin Gates
Primary Colours,Magic!
Prisoner,Steve Angello
Private,Olly Murs
Private Show,Britney Spears
Private Wars,Primal Scream
Problems & Selfless,PartyNextDoor
Proof of Love,Paul Simon
Prophets Of Rage,Prophets Of Rage
Pure and Simple,Dolly Parton
Purple Lamborghini,Skrillex & Rick Ross
Pushin' Time,Miranda Lambert
Put That Away and Talk to Me,James Blake
Queen Street Lost,Justin Rutledge
Quicksand,Tom Chaplin
Quiet Distress,Killswitch Engage
Quit You,Anderson East
Rabbit Down the Hole,Billy Talent
Rabbit Hole,blink-182
Race to the Bottom,Dan Mangan
Radio,Michael Sweet
Radio Silence,James Blake
Randy,Justice
Rare,Gwen Stefani
Real,Of Mice & Men
Real Friends,Kanye West
Real Love Baby,Father John Misty
Really Doe,Danny Brown
Reaper,Sia
Rearrange,Biffy Clyro
Reassemble,A Day to Remember
Rebound,Volbeat
Reckless,Martina McBride
Recovering,Celine Dion
Red Dress,Magic!
Red Earth & Pouring Rain,Bear's Den
Red Flag,Gwen Stefani
"Red, White & You",Steven Tyler
Redbone,Childish Gambino
Redemption,Drake
Reggaetón Lento (Bailemos),CNCO
Remember,Joey Landreth
Remember Boys,Cole Swindell
Reminder,The Weeknd
Reverend,Kings of Leon
Revolution,Steve Angello
Revolution Radio,Green Day
Rewear It,M.I.A.
Rhythm Inside,Calum Scott
Rich,Maren Morris
Rich and Miserable,Kenny Chesney
Rich Man,Slaves
Right By You (for Luna),John Legend
Ring on Every Finger,LoCash
Rinse & Repeat,Riton
Riot,Childish Gambino
Rise,Sixx: A.M.
Rise,Katy Perry
Rise,Solange
Rise of the Melancholy Empire,Sixx: A.M.
Rise Up,Andra Day
Rising Down,Kaia Kater
Rising Water,James Vincent McMorrow
Ritual Spirit,Massive Attack
Rivalry,Airbourne
River,Bishop Briggs
River Anacostia,PJ Harvey
Rock Is Dead,Beartooth
Rock On,Tucker Beathard
Rockabye,Clean Bandit
Rockin',The Weeknd
Room to Breathe,Chase Bryant
Roots,Parmalee
Roses,Saint Jhn
Rotting in Vain,Korn
Round in Circles,Charles Kelley
Rule Number One,Sleigh Bells
Run Sister Run,Cass McCombs
Runaway,Aurora
Runnin',Pharrell Williams
Running Out of Time,Amos Lee
Running With Giants,Thousand Foot Krutch
Sad One Comin' On (A Song for George Jones),Vince Gill
Sad Person,Savages
Safe And Sound,Justice
Safe Inside,James Arthur
Saint Pablo,Kanye West
Sally,Bibi Bourelly
Saltwater Gospel,Eli Young Band
Salvation Works,Jennifer Nettles
Same About You,A Day to Remember
Same Drugs,Chance the Rapper
Same Ol' Mistakes,Rihanna
Same Thing,Marian Hill
San Antone,Randy Rogers Band
San Diego,Hinds
San Diego,blink-182
Sandcastles,Beyoncé
Santiago Cuatro,Underworld
Satan Pulls the Strings,The Avett Brothers
Saturday Night Inside Out,The Avalanches
Savior's Shadow,Blake Shelton
Say,RaeLynn
Say Goodbye,Green Day
Say It,Flume
Say It Again,Frances
Say What You Feel,Jagwar Ma
Say You Do,Sigala
Say You Won't Let Go,James Arthur
Scars,Miranda Lambert
Sea Of Promises,Lucifer's Friend
Seal The Deal,Volbeat
Season 2 Episode 3,Glass Animals
Secrets,The Weeknd
Section,2 Chainz
Seein' Red,Dustin Lynch
Seigfried,Frank Ocean
Self Control,Frank Ocean
Selfish,PnB Rock
Send Me Home,Asking Alexandria
Send Them Off!,Bastille
Senior Year,Randy Houser
September Song,JP Cooper
Setting Fires,The Chainsmokers
Setting the World on Fire,Kenny Chesney
Seven Enemies,Hatebreed
Sex,Cheat Codes and Kris Kross Amsterdam
Sex With Me,Rihanna
Sexual,Neiked
Shades,Alexandra Savior
Shades of Blue,Vic Mensa
Shameless,Tyler Glenn
She,Zayn
She Ain't In It,Jon Pardi
She Don't,Ella Mai
She Don't Really Care_1 Luv,Alicia Keys
She Lays Down,The 1975
She Sets the City on Fire,Gavin DeGraw
She's American,The 1975
She's Got a Way With Words,Blake Shelton
She's Mine Pt. 1,J. Cole
She's Mine Pt. 2,J. Cole
She's Out Of Her Mind,blink-182
Should've Been Me,Naughty Boy
Shout Out To My Ex,Little Mix
Show Me a Leader,Alter Bridge
Show Me Love,Laura Mvula
Show U Off,Chairlift
Siberian Nights,The Kills
Sick Love,Red Hot Chili Peppers
Sick of Me,Beartooth
Side to Side,Ariana Grande
Sidewalks,The Weeknd
Signs of Light,The Head and the Heart
Siiiiiiiiilver Surffffeeeeer Intermission,Kanye West
Since You've Gone to Heaven,Brandy Clark
Sing To You,John Splithoff
Sinner's Prayer,Lady Gaga
Sister,White Lung
Six Feet Under,The Weeknd
Six Pack Lines,Cole Swindell
Skyline To,Frank Ocean
Slave II,Logic
Sledgehammer,Rihanna
Sleep In The Park,Old Sea Brigade
Sleep Without You,Brett Young
Slippin',Meek Mill
Slipping,Jagwar Ma
Slumber Party,Britney Spears
Small Wishes,Biffy Clyro
Smashed Pianos,Blossoms
Smoke & Retribution,Flume
Smoke and Dream,Dirty Heads
Smoking Jacket,Miranda Lambert
Smooth,Florida Georgia Line
Sneakin,Drake
Snow Cats,AFI
Snowshoe,Anna Atkinson
So Alive,The Goo Goo Dolls
So We Can Stay Alive,Garbage
Soap,Melanie Martinez
Soap Opera,Brandy Clark
Sober,blink-182
Soldier,High Valley
Solid Gold,Tom Chaplin
Solid Wall of Sound,A Tribe Called Quest
Solo (Reprise),Frank Ocean
Solomon Eagle,Jamie T.
Some Type Of Love,Charlie Puth
Somebody Else,The 1975
Somebody Else Will,Tweet
Somebody Else Will,Justin Moore
Somebody Other than You,David Crosby
Somebody's Knockin',Eric Clapton
Someday,Michael Bublé
Something Blue,Rich Hillen Jr.
Something New,Zendaya
Something To Believe In,Sister Hazel
Sometimes,Luke Bell
Sometimes It Ends,Asking Alexandria
Somewhere Now,Green Day
Somewhere on a Beach,Dierks Bentley
Song For Gary,Eric Bell
Song For Judee,case/lang/veirs
Song Number 7,Randy Houser
Sooth Lady Wine,Matt Corby
Sorceress,Opeth
Sorry,Beyoncé
Soulmate,Mac Miller
Sound and Fury,The Cult
Soundcheck,Catfish and the Bottlemen
Soundtrack to a Six Pack,The Cadillac Three
Southern Boy,Jordan Rager
Southern Gentleman,Luke Bryan
Space Between,Sia
Sparrows,Jason Gray
Speechless,Rachel Platten
Speedway Sonora,Banks and Steelz
Spend It,Dae Dae
Spend It All on You,William Michael Morgan
Spiral,Eric Clapton
Spirit,Amos Lee
Spirit,Wintersleep
Spiritual,Jay-Z
Spit Out The Bone,Metallica
Standing In The Rain,Action Bronson & Dan Auerbach
Standing In The Sun,Grouplove
Star of the Show,Thomas Rhett
Starboy,The Weeknd
Stars,Skillet
Start a Fire,John Legend
Starving,Hailee Steinfeld
Stay Downtown,Cole Swindell
Steve McQueen,Brian Fallon
Stick To Your Guns,Sick Puppies
Still Brazy,YG
Still Breathing,Green Day
Still Falling for You,Ellie Goulding
Still Feel Gone,Joey Landreth
Still Feels Like Mexico,Ronnie Dunn
Still Here,Drake
Still Waiting,Tom Chaplin
Stockholm,Judah & the Lion
Stole The Show,Kygo
Stop Where You Are,Corinne Bailey Rae
Straight For The Heart,Lucifer's Friend
Straight Outta Cold Beer,Blake Shelton
Stranger Things,Survive
Stranger to Stranger,Paul Simon
Street Angel,Paul Simon
Strive,A$ap Ferg
Stronghold,Testament
Stunt Queen,Bloc Party
Stupid Girl,Jennifer Nettles
Subways,The Avalanches
Sucker For Pain,"Lil Wayne, Wiz Khalifa & Imagine Dragons"
Sugar Daddy,Sturgill Simpson
Suit and Jacket,Judah & the Lion
Sullen Mind,Ryley Walker
Summer,Cassadee Pope
Summer Nights,Tiesto
Summer Sixteen,Drake
Summer Was A Day,Pete Yorn
Summer's Almost Gone,The Temper Trap
Summers Over Interlude,Drake
Summing The Wretch,Animal Collective
Sun Don't Let Me Down,Keith Urban
Sunday,Iggy Pop
Sunday Morning,Kaiser Chiefs
Sunday Morning,Parmalee
Sunny Disposition,Avenged Sevenfold
Sunshine,Tieks
Super Natural,Danny L Harle
Super Powers,Lil Durk
Superlove,Tinashe
Superman,Rachel Platten
Supermoon,case/lang/veirs
Supernova,Candlebox
Sure and Certain,Jimmy Eat World
Sure Feels Good,Phil Vassar
Surefire,John Legend
Surrender Under Protest,Drive-By Truckers
Survivor,Zach Williams
Suzerain,Anthrax
Swang,Rae Sremmurd
Sweet Architect,Emeli Sandé
Sweet Design,Sia
"Sweet Dreams, TN",The Last Shadow Puppets
Sweet Poison,Dragonette
Sweet Thing,Pixie Geldof
Symptom of Terminal Illness,The Dillinger Escape Plan
Take a Break (Interlude),!llmind
Take Control,Slaves
Take Cover,Evanescence
Take It All Back,Judah & the Lion
Take It From Me,Kongos
Take It Out On Me,White Lies
Take It There,Massive Attack
Take Me,Korn
Take Me Down,The Pretty Reckless
Take Me To Heaven,Filter
Take Me To The Alley,Gregory Porter
Take The Chance,Mo Pitney
Take Us Back,Mavis Staples
Take A Knee,SiNiCaL
Taking It As It Comes,Randy Rogers Band
Talking To You,Izzy Bizu
Target,Graham Nash
Team,Iggy Azalea
Tear You Up,Pineapple Thief
Tears,Clean Bandit
Teenage Fantasy,Jorja Smith
Tell Me What I Don't Know,Danny Brown
Tell Me What You Need,Alex Clare
Tell Me Why,Lucifer's Friend
Temple,Baauer
Tenderly,Emeli Sandé
Tequila Eyes,Randy Rogers Band
Terrified,Childish Gambino
Tescoland,Jamie T.
Testify,Hifi Sean
Texas Is Forever,Pierce the Veil
That Ain't Country,Aaron Lewis
That Could Still Be Us,Keith Urban
That Love,The Kills
THat Part,ScHoolboy Q
That's My Girl,Fifth Harmony
That's What I Like,Bruno Mars
The American Dreamer,Jacob Seales
The Ballad of Me and My Brain,The 1975
The Bliss,Volbeat
The Bullfighter,Luke Bell
The Chaser,Twin Atlantic
The City,David Crosby
The Comin' Round Is Going Through,Bonnie Raitt
The Community of Hope,PJ Harvey
The Condition,The Devil Wears Prada
The Currents,Bastille
The Devil's Bleeding Crown,Volbeat
The Devil's in the Temple,Bon Jovi
The Dictator Decides,Pet Shop Boys
The Dream Synopsis,The Last Shadow Puppets
The Duke,Lamb Of God
The Empty Chair,Sting
The End,In Flames
The End Is Beautiful,Jimmy Eat World
The Ends,Travis Scott
The Fighter,Keith Urban
The Fighters,LoCash
The Getaway,Red Hot Chili Peppers
The Ghosts of Highway 20,Lucinda Williams
"The Good, The Bad And The Dirty",Panic! At The Disco
The Great Ascension,Justin Rutledge
The Great Deceit,Killswitch Engage
The Greatest,Sia
The Grow Up Song,The Dandy Warhols
The Hunger,Of Mice & Men
The Hunter,Red Hot Chili Peppers
The Hustle,Lambchop
The Isle of Arran,Loyle Carner
The Last Hero,Alter Bridge
The Lie,Of Mice & Men
The Life,Fifth Harmony
The Long Goodbye,Barry Gibb
The Longest Wave,Red Hot Chili Peppers
The Love We're Hoping For,Jake Bugg
The Mack,Nevada
The Madness,Art of Anarchy
The Middle Ages,Mary Chapin Carpenter
The Ministry of Social Affairs,PJ Harvey
The New Cupid,BJ the Chicago Kid
The New Kings,Marillion
The Noisy Eater,The Avalanches
The Numbers,Radiohead
The Ones We Couldn't Be,Bonnie Raitt
The Only One Who Gets Me,Charles Kelley
The Only Thing That Matters,blink-182
The Other Side,Alter Bridge
The Party's Over,Prophets Of Rage
The Pin,The Goo Goo Dolls
The Pop Kids,Pet Shop Boys
The Rambler,Black Stone Cherry
The Real Thing,Martina McBride
The Resume,BJ the Chicago Kid
The River,Hillary Scott & The Scott Family
The Riverbank,Paul Simon
The Ship,Brian Eno
The Shooting Star,Gojira
The Skies Will Break,Corinne Bailey Rae
The Sound,The 1975
The Space Program,A Tribe Called Quest
The Stage,Avenged Sevenfold
The Story,LeAnn Rimes
The Story of Adidon,Pusha T
The Threat Is Real,Megadeth
The Violent Sleep of Reason,Meshuggah
The Way Back,Funeral Suits
The Way God Made Me,Magic!
The Weekend,Brantley Gilbert
The Werewolf,Paul Simon
The Wheel,PJ Harvey
The Wilde Flowers,Opeth
The Work,Speech Debelle
The World Is On Fire,Ed Harcourt
The Wozard of Iz,The Avalanches
Then There's You,Charlie Puth
Therapy Session,NF
There Will Be Time,Mumford & Sons
There's a Girl,Trent Harmon
There's Alot Going On,Vic Mensa
These Creatures,Jean-Michel Jarre
These Days,Wet
They Don't Know,Jason Aldean
They Don't Make Anything in That Town,Donovan Woods
They Don't Own Me,Richard Ashcroft
Thiago Silva,Dave
Thick as Thieves,The Temper Trap
Thick Of It,Mary J. Blige
Think It Over,Islander
This Girl,Kungs vs. Cookin' on 3 Burners
This House Is Not for Sale,Bon Jovi
This Is for My Girls,Michelle Obama
This One's For You,David Guetta
This Path Tonight,Graham Nash
This Plane Don't Go There,Jason Aldean
This Ride,Shovels & Rope
This Ticonderoga,Red Hot Chili Peppers
This Town,Niall Horan
This Town,Ashley Riley
This Town Gets Around,Margo Price
Three Bulleits,The Temperance Movement
Three Days in Bed,Jennifer Nettles
Three Kids No Husband,Brandy Clark
Three Packs a Day,Courtney Barnett
Through It All,Tamela Mann
Through the Eyes of a Child,Aurora
Through The Late Night,Travis Scott
Thunder In The Rain,Kane Brown
Thy Will,Hillary Scott & The Scott Family
Tiimmy Turner,Desiigner
Till the End,Jessie Ware
Time For Bedlam,Deep Purple
Time Served,Joey Landreth
Timeless,James Blake
Tin Man,Miranda Lambert
Tina Taught Me (Interlude),Solange
Tinfoil Boy,Jamie T.
Tiny Cities,Flume
To Her Door,Empire of the Sun
To the Hilt,Banks
To The Key Of Evergreen,The Devil Wears Prada
Today,Brad Paisley
Together Stronger (C'mon Wales),Manic Street Preachers
Too Dumb To Die,Green Day
Too Good,Drake
Too Good to Say Goodbye,Bruno Mars
Too Much Is Never Enough,Florence + the Machine
Too Much Sauce,DJ Esco
Top Of The World,Zayde Wolf
Torches,DAUGHTRY
Torn Clean,Sleigh Bells
Touch,Little Mix
Tractor,Granger Smith
Train Wreck,James Arthur
Trainwreck,Banks
Transparency,PartyNextDoor
Trap Phone,Belly
Trapped,The Word Alive
Trash,Tyler Glenn
Traumatized,Grouplove
Travelin' Soldier,Aaron Lewis
Traveling Light,Leonard Cohen
Traveling Solves Everything,Violent Femmes
Treat You Better,Shawn Mendes
Treaty,Leonard Cohen
Tree Of Life,Funeral Suits
Trippin' On Your Love,Primal Scream
Troubled Souls,Jack Savoretti
Troubled Times,Green Day
Truck,Hifi Sean
True,Randy Houser
True Sadness,The Avett Brothers
Truth,Gwen Stefani
Truth In Your Eyes,Kiefer Sutherland
Truthfully,DNCE
Try Everything,Shakira
Turn Off The Radio,A Day to Remember
Twice,Catfish and the Bottlemen
Twin Thing,Pixie Geldof
Twist,Nathan Sykes
Two,Heart
"Two Birds, One Stone",Drake
Two Dead Cops,Parquet Courts
Two Vines,Empire of the Sun
Two Way,KT Tunstall
U with Me?,Drake
Uber Everywhere,Madeintyo
Ugly Lights,Miranda Lambert
Ultralight Beam,Kanye West
Unbreakable,Chrisette Michele
Under You,Nick Jonas
Underage,Jordan Rager
Undertow,Lisa Hannigan
Undone,Bonnie Raitt
